obsval,obsnme,obgnme
45.0,i001cr03c10_19700101,i001cr03c10
21.431156,i001cr03c10_19700102,i001cr03c10
21.400314,i001cr03c10_19750101,i001cr03c10
21.056992,i001cr03c10_19750102,i001cr03c10
45.0,i001cr03c16_19700101,i001cr03c16
19.520039,i001cr03c16_19700102,i001cr03c16
19.54677,i001cr03c16_19750101,i001cr03c16
19.432219,i001cr03c16_19750102,i001cr03c16
45.0,i001cr04c9_19700101,i001cr04c9
21.769241,i001cr04c9_19700102,i001cr04c9
21.704702,i001cr04c9_19750101,i001cr04c9
21.295048,i001cr04c9_19750102,i001cr04c9
45.0,i001cr10c2_19700101,i001cr10c2
26.708902,i001cr10c2_19700102,i001cr10c2
26.597647,i001cr10c2_19750101,i001cr10c2
25.648752,i001cr10c2_19750102,i001cr10c2
45.0,i001cr14c11_19700101,i001cr14c11
17.728949,i001cr14c11_19700102,i001cr14c11
17.66483,i001cr14c11_19750101,i001cr14c11
17.525637,i001cr14c11_19750102,i001cr14c11
45.0,i001cr16c17_19700101,i001cr16c17
17.081364,i001cr16c17_19700102,i001cr16c17
17.04977,i001cr16c17_19750101,i001cr16c17
17.040236,i001cr16c17_19750102,i001cr16c17
45.0,i001cr22c11_19700101,i001cr22c11
16.564827,i001cr22c11_19700102,i001cr22c11
16.447199,i001cr22c11_19750101,i001cr22c11
16.26074,i001cr22c11_19750102,i001cr22c11
45.0,i001cr23c16_19700101,i001cr23c16
15.5478735,i001cr23c16_19700102,i001cr23c16
15.484225,i001cr23c16_19750101,i001cr23c16
15.495531,i001cr23c16_19750102,i001cr23c16
45.0,i001cr25c5_19700101,i001cr25c5
19.704567,i001cr25c5_19700102,i001cr25c5
19.576694,i001cr25c5_19750101,i001cr25c5
18.92736,i001cr25c5_19750102,i001cr25c5
45.0,i001cr27c7_19700101,i001cr27c7
18.040215,i001cr27c7_19700102,i001cr27c7
17.904537,i001cr27c7_19750101,i001cr27c7
17.39509,i001cr27c7_19750102,i001cr27c7
45.0,i001cr30c16_19700101,i001cr30c16
13.990651,i001cr30c16_19700102,i001cr30c16
13.945924,i001cr30c16_19750101,i001cr30c16
13.89107,i001cr30c16_19750102,i001cr30c16
45.0,i001cr34c8_19700101,i001cr34c8
15.869706,i001cr34c8_19700102,i001cr34c8
15.751833,i001cr34c8_19750101,i001cr34c8
15.495491,i001cr34c8_19750102,i001cr34c8
45.0,i001cr35c11_19700101,i001cr35c11
13.827847,i001cr35c11_19700102,i001cr35c11
13.706552,i001cr35c11_19750101,i001cr35c11
13.631643,i001cr35c11_19750102,i001cr35c11
45.0,i001fr01c13_19700101,i001fr01c13
19.937197,i001fr01c13_19700102,i001fr01c13
20.382492,i001fr01c13_19750101,i001fr01c13
20.345669,i001fr01c13_19750102,i001fr01c13
45.0,i001fr02c02_19700101,i001fr02c02
25.568008,i001fr02c02_19700102,i001fr02c02
25.46322,i001fr02c02_19750101,i001fr02c02
24.717825,i001fr02c02_19750102,i001fr02c02
45.0,i001fr03c10_19700101,i001fr03c10
21.431156,i001fr03c10_19700102,i001fr03c10
21.400314,i001fr03c10_19750101,i001fr03c10
21.056992,i001fr03c10_19750102,i001fr03c10
45.0,i001fr03c16_19700101,i001fr03c16
19.520039,i001fr03c16_19700102,i001fr03c16
19.54677,i001fr03c16_19750101,i001fr03c16
19.432219,i001fr03c16_19750102,i001fr03c16
45.0,i001fr04c9_19700101,i001fr04c9
21.769241,i001fr04c9_19700102,i001fr04c9
21.704702,i001fr04c9_19750101,i001fr04c9
21.295048,i001fr04c9_19750102,i001fr04c9
