obsnme,obsnme,obsval,obgnme
fa_1_19700102,fa_1_19700102,-146.6,flaqx
fo_1_19700102,fo_1_19700102,146.6,flout
fa_10_19700102,fa_10_19700102,14.642,flaqx
fo_10_19700102,fo_10_19700102,1035.5,flout
fa_11_19700102,fa_11_19700102,-15.604,flaqx
fo_11_19700102,fo_11_19700102,1051.1,flout
fa_12_19700102,fa_12_19700102,-36.66,flaqx
fo_12_19700102,fo_12_19700102,1087.8,flout
fa_13_19700102,fa_13_19700102,-58.001,flaqx
fo_13_19700102,fo_13_19700102,1145.8,flout
fa_14_19700102,fa_14_19700102,-73.652,flaqx
fo_14_19700102,fo_14_19700102,1219.5,flout
fa_15_19700102,fa_15_19700102,-84.023,flaqx
fo_15_19700102,fo_15_19700102,1303.5,flout
fa_16_19700102,fa_16_19700102,-90.251,flaqx
fo_16_19700102,fo_16_19700102,1393.7,flout
fa_17_19700102,fa_17_19700102,-93.453,flaqx
fo_17_19700102,fo_17_19700102,1487.2,flout
fa_18_19700102,fa_18_19700102,-93.327,flaqx
fo_18_19700102,fo_18_19700102,1580.5,flout
fa_19_19700102,fa_19_19700102,-88.946,flaqx
fo_19_19700102,fo_19_19700102,1669.5,flout
fa_2_19700102,fa_2_19700102,-145.89,flaqx
fo_2_19700102,fo_2_19700102,292.5,flout
fa_20_19700102,fa_20_19700102,-78.03,flaqx
fo_20_19700102,fo_20_19700102,1747.5,flout
fa_21_19700102,fa_21_19700102,-61.611,flaqx
fo_21_19700102,fo_21_19700102,1809.1,flout
fa_22_19700102,fa_22_19700102,-83.717,flaqx
fo_22_19700102,fo_22_19700102,1892.8,flout
fa_23_19700102,fa_23_19700102,-99.99,flaqx
fo_23_19700102,fo_23_19700102,1992.8,flout
fa_24_19700102,fa_24_19700102,-109.58,flaqx
fo_24_19700102,fo_24_19700102,2102.4,flout
fa_25_19700102,fa_25_19700102,-115.46,flaqx
fo_25_19700102,fo_25_19700102,2217.8,flout
fa_26_19700102,fa_26_19700102,-118.28,flaqx
fo_26_19700102,fo_26_19700102,2336.1,flout
fa_27_19700102,fa_27_19700102,-118.8,flaqx
fo_27_19700102,fo_27_19700102,2454.9,flout
fa_28_19700102,fa_28_19700102,-117.84,flaqx
fo_28_19700102,fo_28_19700102,2572.8,flout
fa_29_19700102,fa_29_19700102,-115.05,flaqx
fo_29_19700102,fo_29_19700102,2687.8,flout
fa_3_19700102,fa_3_19700102,-141.36,flaqx
fo_3_19700102,fo_3_19700102,433.85,flout
fa_30_19700102,fa_30_19700102,-111.15,flaqx
fo_30_19700102,fo_30_19700102,2799.0,flout
fa_31_19700102,fa_31_19700102,-105.18,flaqx
fo_31_19700102,fo_31_19700102,2904.1,flout
fa_32_19700102,fa_32_19700102,-97.277,flaqx
fo_32_19700102,fo_32_19700102,3001.4,flout
fa_33_19700102,fa_33_19700102,-87.644,flaqx
fo_33_19700102,fo_33_19700102,3089.1,flout
fa_34_19700102,fa_34_19700102,-76.636,flaqx
fo_34_19700102,fo_34_19700102,3165.7,flout
fa_35_19700102,fa_35_19700102,-66.152,flaqx
fo_35_19700102,fo_35_19700102,3231.8,flout
fa_36_19700102,fa_36_19700102,-58.884,flaqx
fo_36_19700102,fo_36_19700102,3290.7,flout
fa_37_19700102,fa_37_19700102,-51.923,flaqx
fo_37_19700102,fo_37_19700102,3342.7,flout
fa_38_19700102,fa_38_19700102,-43.103,flaqx
fo_38_19700102,fo_38_19700102,3385.8,flout
fa_39_19700102,fa_39_19700102,-33.21,flaqx
fo_39_19700102,fo_39_19700102,3419.0,flout
fa_4_19700102,fa_4_19700102,-140.15,flaqx
fo_4_19700102,fo_4_19700102,574.0,flout
fa_40_19700102,fa_40_19700102,0.0,flaqx
fo_40_19700102,fo_40_19700102,3419.0,flout
fa_5_19700102,fa_5_19700102,-133.32,flaqx
fo_5_19700102,fo_5_19700102,707.32,flout
fa_6_19700102,fa_6_19700102,-121.58,flaqx
fo_6_19700102,fo_6_19700102,828.89,flout
fa_7_19700102,fa_7_19700102,-104.2,flaqx
fo_7_19700102,fo_7_19700102,933.1,flout
fa_8_19700102,fa_8_19700102,-78.656,flaqx
fo_8_19700102,fo_8_19700102,1011.8,flout
fa_9_19700102,fa_9_19700102,-38.428,flaqx
fo_9_19700102,fo_9_19700102,1050.2,flout
fa_hhwt_19700102,fa_hhwt_19700102,-1747.489,flaqx
fo_hhwt_19700102,fo_hhwt_19700102,20699.86,flout
