obsnme,obsnme,obsval,obgnme
flx_constan_19700102,flx_constan_19700102,-683.9123,flx_constan
flx_in-out_19700102,flx_in-out_19700102,-0.081055,flx_in-out
flx_percent_19700102,flx_percent_19700102,0.0,flx_percent
flx_recharg_19700102,flx_recharg_19700102,6004.8,flx_recharg
flx_storage_19700102,flx_storage_19700102,0.0,flx_storage
flx_stream__19700102,flx_stream__19700102,-3418.968,flx_stream_
flx_total_19700102,flx_total_19700102,-0.08105469,flx_total
flx_wells_19700102,flx_wells_19700102,-1902.0,flx_wells
vol_constan_19700102,vol_constan_19700102,-683.9123,vol_constan
vol_in-out_19700102,vol_in-out_19700102,-0.081055,vol_in-out
vol_percent_19700102,vol_percent_19700102,0.0,vol_percent
vol_recharg_19700102,vol_recharg_19700102,6004.8,vol_recharg
vol_storage_19700102,vol_storage_19700102,0.0,vol_storage
vol_stream__19700102,vol_stream__19700102,-3418.968,vol_stream_
vol_total_19700102,vol_total_19700102,-0.08105469,vol_total
vol_wells_19700102,vol_wells_19700102,-1902.0,vol_wells
