obsnme obsval
hds_00_000_000_000 42.466965
hds_00_000_001_000 42.35751
hds_00_000_002_000 42.133617
hds_00_000_003_000 41.826805
hds_00_000_004_000 41.46862
hds_00_000_005_000 41.036148
hds_00_000_006_000 40.577145
hds_00_000_007_000 40.10465
hds_00_000_008_000 39.580666
hds_00_000_009_000 39.055984
hds_00_000_010_000 38.53889
hds_00_000_011_000 38.014168
hds_00_000_012_000 37.458435
hds_00_000_013_000 36.867985
hds_00_000_014_000 36.252083
hds_00_000_015_000 35.59411
hds_00_000_016_000 35.750454
hds_00_000_017_000 35.860317
hds_00_000_018_000 35.92902
hds_00_000_019_000 35.964157
hds_00_001_000_000 42.49251
hds_00_001_001_000 42.377316
hds_00_001_002_000 42.14999
hds_00_001_003_000 41.84247
hds_00_001_004_000 41.485943
hds_00_001_005_000 41.048805
hds_00_001_006_000 40.57519
hds_00_001_007_000 40.09085
hds_00_001_008_000 39.55873
hds_00_001_009_000 39.021656
hds_00_001_010_000 38.507866
hds_00_001_011_000 37.9869
hds_00_001_012_000 37.432713
hds_00_001_013_000 36.85158
hds_00_001_014_000 36.242756
hds_00_001_015_000 35.598434
hds_00_001_016_000 35.741657
hds_00_001_017_000 35.847847
hds_00_001_018_000 35.915848
hds_00_001_019_000 35.949764
hds_00_002_000_000 42.546783
hds_00_002_001_000 42.42885
hds_00_002_002_000 42.190807
hds_00_002_003_000 41.877842
hds_00_002_004_000 41.51363
hds_00_002_005_000 41.05606
hds_00_002_006_000 40.565723
hds_00_002_007_000 40.061752
hds_00_002_008_000 39.517532
hds_00_002_009_000 38.972343
hds_00_002_010_000 38.446995
hds_00_002_011_000 37.927727
hds_00_002_012_000 37.383186
hds_00_002_013_000 36.82267
hds_00_002_014_000 36.228344
hds_00_002_015_000 35.58553
hds_00_002_016_000 35.725254
hds_00_002_017_000 35.822647
hds_00_002_018_000 35.8868
hds_00_002_019_000 35.919292
hds_00_003_000_000 42.629734
hds_00_003_001_000 42.512142
hds_00_003_002_000 42.26912
hds_00_003_003_000 41.93715
hds_00_003_004_000 41.552704
hds_00_003_005_000 41.073956
hds_00_003_006_000 40.547573
hds_00_003_007_000 40.02341
hds_00_003_008_000 39.447876
hds_00_003_009_000 38.871372
hds_00_003_010_000 38.353054
hds_00_003_011_000 37.844196
hds_00_003_012_000 37.318035
hds_00_003_013_000 36.770473
hds_00_003_014_000 36.190235
hds_00_003_015_000 35.585052
hds_00_003_016_000 35.696903
hds_00_003_017_000 35.783516
hds_00_003_018_000 35.840908
hds_00_003_019_000 35.87065
hds_00_004_000_000 42.74617
hds_00_004_001_000 42.621456
hds_00_004_002_000 42.37689
hds_00_004_003_000 42.03488
hds_00_004_004_000 41.60668
hds_00_004_005_000 41.088173
hds_00_004_006_000 40.546204
hds_00_004_007_000 39.96168
hds_00_004_008_000 39.33305
hds_00_004_009_000 38.761948
hds_00_004_010_000 38.244938
hds_00_004_011_000 37.74423
hds_00_004_012_000 37.232155
hds_00_004_013_000 36.699173
hds_00_004_014_000 36.141697
hds_00_004_015_000 35.561535
hds_00_004_016_000 35.648445
hds_00_004_017_000 35.720978
hds_00_004_018_000 35.77416
hds_00_004_019_000 35.80243
hds_00_005_000_000 42.891544
hds_00_005_001_000 42.77333
hds_00_005_002_000 42.518906
hds_00_005_003_000 42.15865
hds_00_005_004_000 41.691566
hds_00_005_005_000 41.13406
hds_00_005_006_000 40.510475
hds_00_005_007_000 39.85858
hds_00_005_008_000 39.21517
hds_00_005_009_000 38.605656
hds_00_005_010_000 38.089146
hds_00_005_011_000 37.61392
hds_00_005_012_000 37.121277
hds_00_005_013_000 36.609077
hds_00_005_014_000 36.073215
hds_00_005_015_000 35.517815
hds_00_005_016_000 35.577255
hds_00_005_017_000 35.632504
hds_00_005_018_000 35.682945
hds_00_005_019_000 35.71323
hds_00_006_000_000 43.059105
hds_00_006_001_000 42.956215
hds_00_006_002_000 42.716335
hds_00_006_003_000 42.33542
hds_00_006_004_000 41.782898
hds_00_006_005_000 41.151913
hds_00_006_006_000 40.45565
hds_00_006_007_000 39.700912
hds_00_006_008_000 39.010593
hds_00_006_009_000 38.402493
hds_00_006_010_000 37.91294
hds_00_006_011_000 37.457954
hds_00_006_012_000 36.986515
hds_00_006_013_000 36.493713
hds_00_006_014_000 35.98001
hds_00_006_015_000 35.45103
hds_00_006_016_000 35.4643
hds_00_006_017_000 35.511677
hds_00_006_018_000 35.565544
hds_00_006_019_000 35.603073
hds_00_007_000_000 43.283775
hds_00_007_001_000 43.188515
hds_00_007_002_000 42.989716
hds_00_007_003_000 42.619587
hds_00_007_004_000 41.886303
hds_00_007_005_000 41.15606
hds_00_007_006_000 40.372234
hds_00_007_007_000 39.41763
hds_00_007_008_000 38.695892
hds_00_007_009_000 38.144585
hds_00_007_010_000 37.703033
hds_00_007_011_000 37.276615
hds_00_007_012_000 36.823895
hds_00_007_013_000 36.348778
hds_00_007_014_000 35.85828
hds_00_007_015_000 35.350925
hds_00_007_016_000 35.271362
hds_00_007_017_000 35.33625
hds_00_007_018_000 35.424747
hds_00_007_019_000 35.480793
hds_00_008_000_000 43.537804
hds_00_008_001_000 43.46897
hds_00_008_002_000 43.352997
hds_00_008_003_000 43.219067
hds_00_008_007_000 38.835064
hds_00_008_008_000 38.270958
hds_00_008_009_000 37.85446
hds_00_008_010_000 37.471447
hds_00_008_011_000 37.071793
hds_00_008_012_000 36.641163
hds_00_008_013_000 36.183273
hds_00_008_014_000 35.70508
hds_00_008_015_000 35.191307
hds_00_008_016_000 34.892845
hds_00_008_017_000 35.092808
hds_00_008_018_000 35.274593
hds_00_008_019_000 35.36716
hds_00_009_000_000 43.78203
hds_00_009_001_000 43.731857
hds_00_009_002_000 43.672173
hds_00_009_003_000 43.619564
hds_00_009_008_000 37.75763
hds_00_009_009_000 37.52821
hds_00_009_010_000 37.22284
hds_00_009_011_000 36.862427
hds_00_009_012_000 36.442585
hds_00_009_013_000 35.989223
hds_00_009_014_000 35.54081
hds_00_009_015_000 34.97929
hds_00_009_016_000 33.962597
hds_00_009_017_000 34.830585
hds_00_009_018_000 35.1724
hds_00_009_019_000 35.30512
hds_00_010_000_000 43.986248
hds_00_010_001_000 43.949795
hds_00_010_002_000 43.91761
hds_00_010_003_000 43.892982
hds_00_010_008_000 37.415108
hds_00_010_009_000 37.258404
hds_00_010_010_000 37.00669
hds_00_010_011_000 36.666824
hds_00_010_012_000 36.23333
hds_00_010_013_000 35.74311
hds_00_010_014_000 35.44595
hds_00_010_015_000 35.100285
hds_00_010_016_000 34.828876
hds_00_010_017_000 35.04687
hds_00_010_018_000 35.236057
hds_00_010_019_000 35.331398
hds_00_011_000_000 44.116207
hds_00_011_001_000 44.09952
hds_00_011_002_000 44.0804
hds_00_011_003_000 44.070614
hds_00_011_008_000 37.18741
hds_00_011_009_000 37.063602
hds_00_011_010_000 36.842613
hds_00_011_011_000 36.515606
hds_00_011_012_000 36.037537
hds_00_011_013_000 35.25542
hds_00_011_014_000 35.35714
hds_00_011_015_000 35.185074
hds_00_011_016_000 35.156826
hds_00_011_017_000 35.24736
hds_00_011_018_000 35.34804
hds_00_011_019_000 35.407623
hds_00_012_000_000 44.184464
hds_00_012_001_000 44.176025
hds_00_012_002_000 44.166523
hds_00_012_003_000 44.159786
hds_00_012_008_000 37.043022
hds_00_012_009_000 36.936584
hds_00_012_010_000 36.74363
hds_00_012_011_000 36.468185
hds_00_012_012_000 36.1063
hds_00_012_013_000 35.694786
hds_00_012_014_000 35.493225
hds_00_012_015_000 35.27145
hds_00_012_016_000 35.32074
hds_00_012_017_000 35.390694
hds_00_012_018_000 35.457943
hds_00_012_019_000 35.498173
hds_00_013_000_000 44.195057
hds_00_013_001_000 44.18842
hds_00_013_002_000 44.178703
hds_00_013_003_000 44.172607
hds_00_013_008_000 36.957455
hds_00_013_009_000 36.86342
hds_00_013_010_000 36.69715
hds_00_013_011_000 36.466797
hds_00_013_012_000 36.178825
hds_00_013_013_000 35.86932
hds_00_013_014_000 35.603886
hds_00_013_015_000 35.335434
hds_00_013_016_000 35.41861
hds_00_013_017_000 35.492733
hds_00_013_018_000 35.550613
hds_00_013_019_000 35.582
hds_00_014_000_000 44.142826
hds_00_014_001_000 44.136906
hds_00_014_002_000 44.12614
hds_00_014_003_000 44.12112
hds_00_014_008_000 36.914413
hds_00_014_009_000 36.82955
hds_00_014_010_000 36.68185
hds_00_014_011_000 36.480934
hds_00_014_012_000 36.23025
hds_00_014_013_000 35.95346
hds_00_014_014_000 35.673138
hds_00_014_015_000 35.37853
hds_00_014_016_000 35.482586
hds_00_014_017_000 35.5648
hds_00_014_018_000 35.621677
hds_00_014_019_000 35.651756
hds_00_015_000_000 44.029305
hds_00_015_001_000 44.018303
hds_00_015_002_000 44.010868
hds_00_015_003_000 44.010235
hds_00_015_008_000 36.903904
hds_00_015_009_000 36.824326
hds_00_015_010_000 36.688236
hds_00_015_011_000 36.500267
hds_00_015_012_000 36.26548
hds_00_015_013_000 35.999146
hds_00_015_014_000 35.712566
hds_00_015_015_000 35.405174
hds_00_015_016_000 35.523422
hds_00_015_017_000 35.614174
hds_00_015_018_000 35.67539
hds_00_015_019_000 35.707233
hds_00_016_000_000 43.856846
hds_00_016_001_000 43.84176
hds_00_016_002_000 43.835068
hds_00_016_003_000 43.83892
hds_00_016_008_000 36.92275
hds_00_016_009_000 36.84413
hds_00_016_010_000 36.70711
hds_00_016_011_000 36.52199
hds_00_016_012_000 36.289303
hds_00_016_013_000 36.021736
hds_00_016_014_000 35.730923
hds_00_016_015_000 35.419765
hds_00_016_016_000 35.5475
hds_00_016_017_000 35.64696
hds_00_016_018_000 35.71432
hds_00_016_019_000 35.74835
hds_00_017_000_000 43.636127
hds_00_017_001_000 43.6229
hds_00_017_002_000 43.606384
hds_00_017_003_000 43.60955
hds_00_017_008_000 36.97076
hds_00_017_009_000 36.886055
hds_00_017_010_000 36.741688
hds_00_017_011_000 36.54783
hds_00_017_012_000 36.30458
hds_00_017_013_000 36.02578
hds_00_017_014_000 35.7265
hds_00_017_015_000 35.42103
hds_00_017_016_000 35.558117
hds_00_017_017_000 35.6663
hds_00_017_018_000 35.740112
hds_00_017_019_000 35.777046
hds_00_018_000_000 43.35932
hds_00_018_001_000 43.342556
hds_00_018_002_000 43.3214
hds_00_018_003_000 43.319687
hds_00_018_008_000 37.051216
hds_00_018_009_000 36.95553
hds_00_018_010_000 36.79403
hds_00_018_011_000 36.580402
hds_00_018_012_000 36.313488
hds_00_018_013_000 36.005135
hds_00_018_014_000 35.68403
hds_00_018_015_000 35.405186
hds_00_018_016_000 35.556293
hds_00_018_017_000 35.676006
hds_00_018_018_000 35.757126
hds_00_018_019_000 35.798347
hds_00_019_000_000 43.028057
hds_00_019_001_000 43.007282
hds_00_019_002_000 42.98448
hds_00_019_003_000 42.964542
hds_00_019_008_000 37.17598
hds_00_019_009_000 37.056404
hds_00_019_010_000 36.86809
hds_00_019_011_000 36.62457
hds_00_019_012_000 36.318905
hds_00_019_013_000 35.952957
hds_00_019_014_000 35.55437
hds_00_019_015_000 35.36303
hds_00_019_016_000 35.544098
hds_00_019_017_000 35.68047
hds_00_019_018_000 35.77092
hds_00_019_019_000 35.81569
hds_00_020_000_000 42.661427
hds_00_020_001_000 42.629093
hds_00_020_002_000 42.582756
hds_00_020_003_000 42.540398
hds_00_020_008_000 37.367928
hds_00_020_009_000 37.19591
hds_00_020_010_000 36.966614
hds_00_020_011_000 36.686676
hds_00_020_012_000 36.340046
hds_00_020_013_000 35.88552
hds_00_020_014_000 35.172714
hds_00_020_015_000 35.29859
hds_00_020_016_000 35.536354
hds_00_020_017_000 35.688732
