,0,i,j,kper,obsnme
hds_00_003_010_000,42.190544128418004,3,10,0,hds_00_003_010_000
hds_00_003_010_001,41.5263328552246,3,10,1,hds_00_003_010_000
hds_00_003_010_002,39.800262451171896,3,10,2,hds_00_003_010_000
hds_00_003_010_003,41.0846061706543,3,10,3,hds_00_003_010_000
hds_00_003_010_004,42.6951179504395,3,10,4,hds_00_003_010_000
hds_00_003_010_005,39.2626991271973,3,10,5,hds_00_003_010_000
hds_00_003_010_006,40.6044883728027,3,10,6,hds_00_003_010_000
hds_00_003_010_007,37.957981109619105,3,10,7,hds_00_003_010_000
hds_00_003_010_008,43.5372314453125,3,10,8,hds_00_003_010_000
hds_00_003_010_009,37.4373779296875,3,10,9,hds_00_003_010_000
hds_00_003_010_010,40.0819854736328,3,10,10,hds_00_003_010_000
hds_00_003_010_011,40.0436782836914,3,10,11,hds_00_003_010_000
hds_00_003_010_012,30.9377365112305,3,10,12,hds_00_003_010_000
hds_00_003_010_013,33.9072875976562,3,10,13,hds_00_003_010_000
hds_00_003_010_014,31.951618194580103,3,10,14,hds_00_003_010_000
hds_00_003_010_015,36.2424964904785,3,10,15,hds_00_003_010_000
hds_00_003_010_016,29.9290828704834,3,10,16,hds_00_003_010_000
hds_00_003_010_017,23.038782119751,3,10,17,hds_00_003_010_000
hds_00_003_010_018,28.5570335388184,3,10,18,hds_00_003_010_000
hds_00_003_010_019,28.7708053588867,3,10,19,hds_00_003_010_000
hds_00_003_010_020,25.3641376495361,3,10,20,hds_00_003_010_000
hds_00_003_010_021,15.773806571960401,3,10,21,hds_00_003_010_000
hds_00_003_010_022,-2.57449507713318,3,10,22,hds_00_003_010_000
hds_00_003_010_023,12.4270601272583,3,10,23,hds_00_003_010_000
hds_00_003_010_024,13.7865514755249,3,10,24,hds_00_003_010_000
hds_00_003_010_025,3.4817779064178502,3,10,25,hds_00_003_010_000
hds_00_003_010_026,24.103103637695302,3,10,26,hds_00_003_010_000
hds_00_003_010_027,16.906286239624,3,10,27,hds_00_003_010_000
hds_00_003_010_028,24.419004440307603,3,10,28,hds_00_003_010_000
hds_00_003_010_029,29.052392959594698,3,10,29,hds_00_003_010_000
hds_00_003_010_030,27.384752273559602,3,10,30,hds_00_003_010_000
hds_00_003_010_031,29.9363117218018,3,10,31,hds_00_003_010_000
hds_00_003_010_032,36.3989715576172,3,10,32,hds_00_003_010_000
hds_00_003_010_033,30.712760925293,3,10,33,hds_00_003_010_000
hds_00_003_010_034,30.9684238433838,3,10,34,hds_00_003_010_000
hds_00_003_010_035,35.3347930908203,3,10,35,hds_00_003_010_000
hds_00_003_010_036,34.915573120117195,3,10,36,hds_00_003_010_000
hds_00_003_010_037,37.8262367248535,3,10,37,hds_00_003_010_000
hds_00_003_010_038,37.5149803161621,3,10,38,hds_00_003_010_000
hds_00_003_010_039,39.2606925964355,3,10,39,hds_00_003_010_000
hds_00_003_010_040,34.8599891662598,3,10,40,hds_00_003_010_000
hds_00_003_010_041,36.1182823181152,3,10,41,hds_00_003_010_000
hds_00_003_010_042,35.9717559814453,3,10,42,hds_00_003_010_000
hds_00_003_010_043,44.3212890625,3,10,43,hds_00_003_010_000
hds_00_003_010_044,44.040714263915994,3,10,44,hds_00_003_010_000
hds_00_003_010_045,46.9151725769043,3,10,45,hds_00_003_010_000
hds_00_003_010_046,43.381462097168,3,10,46,hds_00_003_010_000
hds_00_003_010_047,46.0654907226562,3,10,47,hds_00_003_010_000
hds_00_003_010_048,49.6958541870117,3,10,48,hds_00_003_010_000
hds_00_003_010_049,49.57514953613279,3,10,49,hds_00_003_010_000
hds_00_003_010_050,48.9411392211914,3,10,50,hds_00_003_010_000
hds_00_003_010_051,47.2241287231445,3,10,51,hds_00_003_010_000
hds_00_003_010_052,49.108707427978494,3,10,52,hds_00_003_010_000
hds_00_003_010_053,48.1343193054199,3,10,53,hds_00_003_010_000
hds_00_003_010_054,48.8426513671875,3,10,54,hds_00_003_010_000
hds_00_003_010_055,50.0531806945801,3,10,55,hds_00_003_010_000
hds_00_003_010_056,45.009517669677706,3,10,56,hds_00_003_010_000
hds_00_003_010_057,47.5468978881836,3,10,57,hds_00_003_010_000
hds_00_003_010_058,45.113250732421896,3,10,58,hds_00_003_010_000
hds_00_003_010_059,47.4135856628418,3,10,59,hds_00_003_010_000
hds_00_003_010_060,49.952785491943395,3,10,60,hds_00_003_010_000
hds_00_003_010_061,50.313625335693395,3,10,61,hds_00_003_010_000
hds_00_003_010_062,48.840702056884794,3,10,62,hds_00_003_010_000
hds_00_003_010_063,52.25920104980471,3,10,63,hds_00_003_010_000
hds_00_003_010_064,46.768894195556605,3,10,64,hds_00_003_010_000
hds_00_003_010_065,50.37910461425779,3,10,65,hds_00_003_010_000
hds_00_003_010_066,48.17619323730471,3,10,66,hds_00_003_010_000
hds_00_003_010_067,49.0765724182129,3,10,67,hds_00_003_010_000
hds_00_003_010_068,45.229640960693395,3,10,68,hds_00_003_010_000
hds_00_003_010_069,48.653434753418,3,10,69,hds_00_003_010_000
hds_00_003_010_070,49.3543891906738,3,10,70,hds_00_003_010_000
hds_00_003_010_071,47.087364196777294,3,10,71,hds_00_003_010_000
hds_00_003_010_072,42.1949424743652,3,10,72,hds_00_003_010_000
hds_00_003_010_073,47.2792739868164,3,10,73,hds_00_003_010_000
hds_00_003_010_074,46.9924201965332,3,10,74,hds_00_003_010_000
hds_00_003_010_075,50.613697052002,3,10,75,hds_00_003_010_000
hds_00_003_010_076,47.8150634765625,3,10,76,hds_00_003_010_000
hds_00_003_010_077,49.9833450317383,3,10,77,hds_00_003_010_000
hds_00_003_010_078,50.581947326660206,3,10,78,hds_00_003_010_000
