obsnme,obsval,weight,obgnme,extra
gage_1_20151231,951.71,0.0,gage,
gage_1_20160131,1530.1,0.0043570137028,gage,
gage_1_20160229,1855.3,0.0035933092582,gage,
gage_1_20160331,1907.1,0.0034957090172,gage,
gage_1_20160430,1747.7,0.0038145372013,gage,
gage_1_20160531,1456.9,0.004575926053,gage,
gage_1_20160630,1011.6,0.0065902201134,gage,
gage_1_20160731,667.96,0.0099806375631,gage,
gage_1_20160831,389.33,0.017123434276,gage,
gage_1_20160930,255.19,0.026124325666,gage,
gage_1_20161031,297.89,0.022379625589,gage,
gage_1_20161130,460.64,0.014472617807,gage,
gage_1_20161231,887.43,0.007512329611,gage,
gage_1_20170131,1141.2,0.0,gage,
gage_1_20170228,1324.5,0.0,gage,
gage_1_20170331,1409.8,0.0,gage,
gage_1_20170430,1324.2,0.0,gage,
gage_1_20170531,1134.7,0.0,gage,
gage_1_20170630,943.86,0.0,gage,
gage_1_20170731,717.24,0.0,gage,
gage_1_20170831,542.02,0.0,gage,
gage_1_20170930,441.19,0.0,gage,
gage_1_20171031,497.44,0.0,gage,
gage_1_20171130,743.37,0.0,gage,
gage_1_20171231,913.8,0.0,gage,
headwater_20151231,-447.62,0.0,headwater,
headwater_20160131,-723.24,0.0,headwater,
headwater_20160229,-890.0,0.0,headwater,
headwater_20160331,-927.92,0.0,headwater,
headwater_20160430,-859.92,0.0,headwater,
headwater_20160531,-722.84,0.0,headwater,
headwater_20160630,-498.49,0.0,headwater,
headwater_20160731,-345.03,0.0,headwater,
headwater_20160831,-248.2,0.0,headwater,
headwater_20160930,-186.06,0.0,headwater,
headwater_20161031,-193.56,0.0,headwater,
headwater_20161130,-239.77,0.0,headwater,
headwater_20161231,-422.34,0.0,headwater,
headwater_20170131,-535.36,0.0,headwater,
headwater_20170228,-626.67,0.0,headwater,
headwater_20170331,-683.8,0.0,headwater,
headwater_20170430,-663.56,0.0,headwater,
headwater_20170531,-600.67,0.0,headwater,
headwater_20170630,-523.38,0.0,headwater,
headwater_20170731,-412.85,0.0,headwater,
headwater_20170831,-302.01,0.0,headwater,
headwater_20170930,-238.64,0.0,headwater,
headwater_20171031,-230.21,0.0,headwater,
headwater_20171130,-321.87,0.0,headwater,
headwater_20171231,-393.54,0.0,headwater,
in_ghb_flx_20151231,0.0,0.0,in_ghb,
in_ghb_flx_20160131,0.0,0.0,in_ghb,
in_ghb_flx_20160229,0.0,0.0,in_ghb,
in_ghb_flx_20160331,0.0,0.0,in_ghb,
in_ghb_flx_20160430,0.0,0.0,in_ghb,
in_ghb_flx_20160531,0.0,0.0,in_ghb,
in_ghb_flx_20160630,0.0,0.0,in_ghb,
in_ghb_flx_20160731,0.0,0.0,in_ghb,
in_ghb_flx_20160831,0.0,0.0,in_ghb,
in_ghb_flx_20160930,0.0,0.0,in_ghb,
in_ghb_flx_20161031,0.0,0.0,in_ghb,
in_ghb_flx_20161130,0.0,0.0,in_ghb,
in_ghb_flx_20161231,0.0,0.0,in_ghb,
in_ghb_flx_20170131,0.0,0.0,in_ghb,
in_ghb_flx_20170228,0.0,0.0,in_ghb,
in_ghb_flx_20170331,0.0,0.0,in_ghb,
in_ghb_flx_20170430,0.0,0.0,in_ghb,
in_ghb_flx_20170531,0.0,0.0,in_ghb,
in_ghb_flx_20170630,0.0,0.0,in_ghb,
in_ghb_flx_20170731,0.0,0.0,in_ghb,
in_ghb_flx_20170831,0.0,0.0,in_ghb,
in_ghb_flx_20170930,0.0,0.0,in_ghb,
in_ghb_flx_20171031,0.0,0.0,in_ghb,
in_ghb_flx_20171130,0.0,0.0,in_ghb,
in_ghb_flx_20171231,0.0,0.0,in_ghb,
in_rch_flx_20151231,2550.1,0.0,in_rch,
in_rch_flx_20160131,4998.29,0.0,in_rch,
in_rch_flx_20160229,4838.09,0.0,in_rch,
in_rch_flx_20160331,3872.55,0.0,in_rch,
in_rch_flx_20160430,2970.93,0.0,in_rch,
in_rch_flx_20160531,2267.98,0.0,in_rch,
in_rch_flx_20160630,1506.62,0.0,in_rch,
in_rch_flx_20160731,1040.28,0.0,in_rch,
in_rch_flx_20160831,870.597,0.0,in_rch,
in_rch_flx_20160930,1090.44,0.0,in_rch,
in_rch_flx_20161031,1664.65,0.0,in_rch,
in_rch_flx_20161130,2078.43,0.0,in_rch,
in_rch_flx_20161231,3679.61,0.0,in_rch,
in_rch_flx_20170131,3064.46,0.0,in_rch,
in_rch_flx_20170228,3187.12,0.0,in_rch,
in_rch_flx_20170331,3006.05,0.0,in_rch,
in_rch_flx_20170430,2506.0,0.0,in_rch,
in_rch_flx_20170531,1684.97,0.0,in_rch,
in_rch_flx_20170630,1348.55,0.0,in_rch,
in_rch_flx_20170731,873.372,0.0,in_rch,
in_rch_flx_20170831,1114.05,0.0,in_rch,
in_rch_flx_20170930,1224.19,0.0,in_rch,
in_rch_flx_20171031,1782.58,0.0,in_rch,
in_rch_flx_20171130,2781.16,0.0,in_rch,
in_rch_flx_20171231,2492.5,0.0,in_rch,
in_sfr_flx_20151231,0.0,0.0,in_sfr,
in_sfr_flx_20160131,0.0,0.0,in_sfr,
in_sfr_flx_20160229,0.0,0.0,in_sfr,
in_sfr_flx_20160331,0.0,0.0,in_sfr,
in_sfr_flx_20160430,0.0,0.0,in_sfr,
in_sfr_flx_20160531,0.0,0.0,in_sfr,
in_sfr_flx_20160630,0.0,0.0,in_sfr,
in_sfr_flx_20160731,0.0,0.0,in_sfr,
in_sfr_flx_20160831,0.0,0.0,in_sfr,
in_sfr_flx_20160930,11.7666,0.0,in_sfr,
in_sfr_flx_20161031,3.8317,0.0,in_sfr,
in_sfr_flx_20161130,0.0,0.0,in_sfr,
in_sfr_flx_20161231,0.0,0.0,in_sfr,
in_sfr_flx_20170131,0.0,0.0,in_sfr,
in_sfr_flx_20170228,0.0,0.0,in_sfr,
in_sfr_flx_20170331,0.0,0.0,in_sfr,
in_sfr_flx_20170430,0.0,0.0,in_sfr,
in_sfr_flx_20170531,0.0,0.0,in_sfr,
in_sfr_flx_20170630,0.0,0.0,in_sfr,
in_sfr_flx_20170731,0.0,0.0,in_sfr,
in_sfr_flx_20170831,0.0,0.0,in_sfr,
in_sfr_flx_20170930,0.0,0.0,in_sfr,
in_sfr_flx_20171031,0.0,0.0,in_sfr,
in_sfr_flx_20171130,0.0,0.0,in_sfr,
in_sfr_flx_20171231,0.0,0.0,in_sfr,
in_ss_flx_20151231,0.0,0.0,in_ss,
in_ss_flx_20160131,0.0,0.0,in_ss,
in_ss_flx_20160229,0.0,0.0,in_ss,
in_ss_flx_20160331,0.1005,0.0,in_ss,
in_ss_flx_20160430,10.1156,0.0,in_ss,
in_ss_flx_20160531,18.8518,0.0,in_ss,
in_ss_flx_20160630,29.6777,0.0,in_ss,
in_ss_flx_20160731,27.3053,0.0,in_ss,
in_ss_flx_20160831,25.3913,0.0,in_ss,
in_ss_flx_20160930,13.1225,0.0,in_ss,
in_ss_flx_20161031,1.6172,0.0,in_ss,
in_ss_flx_20161130,0.1963,0.0,in_ss,
in_ss_flx_20161231,0.0,0.0,in_ss,
in_ss_flx_20170131,0.0,0.0,in_ss,
in_ss_flx_20170228,0.0,0.0,in_ss,
in_ss_flx_20170331,0.045349,0.0,in_ss,
in_ss_flx_20170430,4.9209,0.0,in_ss,
in_ss_flx_20170531,13.2848,0.0,in_ss,
in_ss_flx_20170630,14.1346,0.0,in_ss,
in_ss_flx_20170731,17.3476,0.0,in_ss,
in_ss_flx_20170831,12.4613,0.0,in_ss,
in_ss_flx_20170930,10.5603,0.0,in_ss,
in_ss_flx_20171031,0.637,0.0,in_ss,
in_ss_flx_20171130,0.0027796,0.0,in_ss,
in_ss_flx_20171231,0.0,0.0,in_ss,
in_sy_flx_20151231,0.0,0.0,in_sy,
in_sy_flx_20160131,0.0,0.0,in_sy,
in_sy_flx_20160229,0.0,0.0,in_sy,
in_sy_flx_20160331,2.5788,0.0,in_sy,
in_sy_flx_20160430,509.038,0.0,in_sy,
in_sy_flx_20160531,1174.22,0.0,in_sy,
in_sy_flx_20160630,1967.2,0.0,in_sy,
in_sy_flx_20160731,1927.32,0.0,in_sy,
in_sy_flx_20160831,1699.97,0.0,in_sy,
in_sy_flx_20160930,1019.81,0.0,in_sy,
in_sy_flx_20161031,227.58,0.0,in_sy,
in_sy_flx_20161130,42.8207,0.0,in_sy,
in_sy_flx_20161231,0.0,0.0,in_sy,
in_sy_flx_20170131,0.0,0.0,in_sy,
in_sy_flx_20170228,0.0,0.0,in_sy,
in_sy_flx_20170331,0.8249,0.0,in_sy,
in_sy_flx_20170430,214.521,0.0,in_sy,
in_sy_flx_20170531,744.229,0.0,in_sy,
in_sy_flx_20170630,888.618,0.0,in_sy,
in_sy_flx_20170731,1179.61,0.0,in_sy,
in_sy_flx_20170831,1011.25,0.0,in_sy,
in_sy_flx_20170930,812.758,0.0,in_sy,
in_sy_flx_20171031,184.959,0.0,in_sy,
in_sy_flx_20171130,2.5542,0.0,in_sy,
in_sy_flx_20171231,0.0,0.0,in_sy,
in_wel_flx_20151231,0.0,0.0,in_wel,
in_wel_flx_20160131,0.0,0.0,in_wel,
in_wel_flx_20160229,0.0,0.0,in_wel,
in_wel_flx_20160331,0.0,0.0,in_wel,
in_wel_flx_20160430,0.0,0.0,in_wel,
in_wel_flx_20160531,0.0,0.0,in_wel,
in_wel_flx_20160630,0.0,0.0,in_wel,
in_wel_flx_20160731,0.0,0.0,in_wel,
in_wel_flx_20160831,0.0,0.0,in_wel,
in_wel_flx_20160930,0.0,0.0,in_wel,
in_wel_flx_20161031,0.0,0.0,in_wel,
in_wel_flx_20161130,0.0,0.0,in_wel,
in_wel_flx_20161231,0.0,0.0,in_wel,
in_wel_flx_20170131,0.0,0.0,in_wel,
in_wel_flx_20170228,0.0,0.0,in_wel,
in_wel_flx_20170331,0.0,0.0,in_wel,
in_wel_flx_20170430,0.0,0.0,in_wel,
in_wel_flx_20170531,0.0,0.0,in_wel,
in_wel_flx_20170630,0.0,0.0,in_wel,
in_wel_flx_20170731,0.0,0.0,in_wel,
in_wel_flx_20170831,0.0,0.0,in_wel,
in_wel_flx_20170930,0.0,0.0,in_wel,
in_wel_flx_20171031,0.0,0.0,in_wel,
in_wel_flx_20171130,0.0,0.0,in_wel,
in_wel_flx_20171231,0.0,0.0,in_wel,
out_ghb_flx_20151231,381.485,0.0,out_ghb,
out_ghb_flx_20160131,542.572,0.0,out_ghb,
out_ghb_flx_20160229,645.807,0.0,out_ghb,
out_ghb_flx_20160331,668.91,0.0,out_ghb,
out_ghb_flx_20160430,634.038,0.0,out_ghb,
out_ghb_flx_20160531,559.355,0.0,out_ghb,
out_ghb_flx_20160630,449.521,0.0,out_ghb,
out_ghb_flx_20160731,321.574,0.0,out_ghb,
out_ghb_flx_20160831,188.958,0.0,out_ghb,
out_ghb_flx_20160930,122.318,0.0,out_ghb,
out_ghb_flx_20161031,117.075,0.0,out_ghb,
out_ghb_flx_20161130,171.291,0.0,out_ghb,
out_ghb_flx_20161231,313.51,0.0,out_ghb,
out_ghb_flx_20170131,397.299,0.0,out_ghb,
