

             pestpp-swp - a parameteric sweep utility, version 4.2.9
                     for PEST(++) datasets 

                 by the PEST++ development team



using control file: "10par_xsec.pst"

Note: 3 unused lines in pest control file, see rec file...

             Generalized Run Manager Interface
                             by:

               The PEST++ Development Team


          starting PANTHER master...

IP addresses:
  0.0.0.0:4005 (IPv4)

PANTHER master listening on socket: 0.0.0.0:4005 (IPv4)
reading par values...done
starting runs 0 --> 500
    running model 500 times

      waiting for slaves to appear...


PANTHER progress
   runs(C = completed | F = failed | T = timed out)
   slaves(R = running | W = waiting | U = unavailable)
------------------------------------------------------------------------------
08/31 12:00:13 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=0   )
08/31 12:00:13 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=0   )
08/31 12:00:14 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=0   )
08/31 12:00:14 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=0   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=1   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=1   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=2   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=2   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=3   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=3   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=4   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=4   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=5   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=5   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=6   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=6   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=7   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=7   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=8   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=8   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=8   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=8   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=8   )
08/31 12:00:15 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=8   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=0   | W=0   | U=8   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=1   | W=0   | U=7   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=1   | W=0   | U=7   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=2   | W=0   | U=6   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=2   | W=0   | U=6   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=3   | W=0   | U=5   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=3   | W=0   | U=5   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=4   | W=0   | U=4   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=4   | W=0   | U=4   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=5   | W=0   | U=3   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=5   | W=0   | U=3   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=6   | W=0   | U=2   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=6   | W=0   | U=2   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:16 runs(C=0    | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:17 runs(C=0    | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:17 runs(C=0    | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:18 runs(C=1    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=1    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=1    | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:18 runs(C=1    | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:18 runs(C=2    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=2    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=2    | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:18 runs(C=2    | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:18 runs(C=3    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=3    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=3    | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:18 runs(C=3    | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:18 runs(C=4    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=4    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=4    | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:18 runs(C=4    | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:18 runs(C=5    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=5    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=5    | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:18 runs(C=5    | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:18 runs(C=6    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=6    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=6    | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:18 runs(C=6    | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:18 runs(C=7    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=7    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=7    | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:18 runs(C=7    | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:18 runs(C=8    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=8    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:18 runs(C=8    | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:18 runs(C=8    | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:19 runs(C=8    | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:19 runs(C=8    | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
08/31 12:00:20 runs(C=9    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:20 runs(C=9    | F=0    | T=0    ): slaves(R=7   | W=0   | U=1   )
08/31 12:00:20 runs(C=9    | F=0    | T=0    ): slaves(R=7   | W=1   | U=0   )
08/31 12:00:20 runs(C=9    | F=0    | T=0    ): slaves(R=8   | W=0   | U=0   )
