run_id,input_run_id,failed_flag,phi,meas_phi,regul_phi,HEAD,H01_01,H01_02,H01_03,H01_04,H01_05,H01_06,H01_07,H01_08,H01_09,H01_10,H02_01,H02_02,H02_03,H02_04,H02_05,H02_06,H02_07,H02_08,H02_09,H02_10
0,0,0,2361.2192,2361.2192,0,2361.2192,1.391,5.136,5.336,5.536,5.736,5.936,6.136,6.336,6.536,6.736,1.391,8.88,9.28,9.68,10.08,10.48,10.88,11.28,11.68,12.08
1,1,0,18.2408,18.2408,0,18.2408,0.226,2.002,2.202,2.402,2.602,2.802,3.002,3.202,3.402,3.602,0.226,3.777,4.177,4.577,4.977,5.377,5.777,6.177,6.577,6.977
2,2,0,1946.88,1946.88,0,1946.88,0.651,4.82,5.02,5.22,5.42,5.62,5.82,6.02,6.22,6.42,0.651,8.99,9.39,9.79,10.19,10.59,10.99,11.39,11.79,12.19
3,3,0,3.0258,3.0258,0,3.0258,1.684,1.823,2.023,2.223,2.423,2.623,2.823,3.023,3.223,3.423,1.684,1.962,2.362,2.762,3.162,3.562,3.962,4.362,4.762,5.162
4,4,0,41.2232,41.2232,0,41.2232,0.716,2.154,2.354,2.554,2.754,2.954,3.154,3.354,3.554,3.754,0.716,3.592,3.992,4.392,4.792,5.192,5.592,5.992,6.392,6.792
5,5,0,238.0562,238.0562,0,238.0562,0.435,0.609,0.809,1.009,1.209,1.409,1.609,1.809,2.009,2.209,0.435,0.783,1.183,1.583,1.983,2.383,2.783,3.183,3.583,3.983
6,6,0,12.1032,12.1032,0,12.1032,0.617,1.454,1.654,1.854,2.054,2.254,2.454,2.654,2.854,3.054,0.617,2.29,2.69,3.09,3.49,3.89,4.29,4.69,5.09,5.49
7,7,0,33.9488,33.9488,0,33.9488,1.994,2.112,2.312,2.512,2.712,2.912,3.112,3.312,3.512,3.712,1.994,2.23,2.63,3.03,3.43,3.83,4.23,4.63,5.03,5.43
8,8,0,18759.845,18759.845,0,18759.845,1.596,11.385,11.585,11.785,11.985,12.185,12.385,12.585,12.785,12.985,1.596,21.174,21.574,21.974,22.374,22.774,23.174,23.574,23.974,24.374
9,9,0,0.0199999999999991,0.0199999999999991,0,0.0199999999999991,0.998,1.71,1.91,2.11,2.31,2.51,2.71,2.91,3.11,3.31,0.998,2.423,2.823,3.223,3.623,4.023,4.423,4.823,5.223,5.623
10,10,0,87.6488,87.6488,0,87.6488,1.823,2.362,2.562,2.762,2.962,3.162,3.362,3.562,3.762,3.962,1.823,2.902,3.302,3.702,4.102,4.502,4.902,5.302,5.702,6.102
