run_id,input_run_id,failed_flag,phi,meas_phi,regul_phi,OBJECTIVE,G_CONSTRAINT,L_CONSTRAINT,OBJ1,OBJ2,CNSTR1,CNSTR2
0,0,0,4396992.04772829,4396992.04772829,0,1181281.12854603,14065.5477681661,3201645.3714141,83.3765515640735,-69.7220333520448,46.0685781810779,-1.85982620790294
1,1,0,4396992.04772829,4396992.04772829,0,1181281.12854603,14065.5477681661,3201645.3714141,83.3765515640735,-69.7220333520448,46.0685781810779,-1.85982620790294
2,2,0,4396992.04772829,4396992.04772829,0,1181281.12854603,14065.5477681661,3201645.3714141,83.3765515640735,-69.7220333520448,46.0685781810779,-1.85982620790294
3,3,0,4396992.04772829,4396992.04772829,0,1181281.12854603,14065.5477681661,3201645.3714141,83.3765515640735,-69.7220333520448,46.0685781810779,-1.85982620790294
4,4,0,4396992.04772829,4396992.04772829,0,1181281.12854603,14065.5477681661,3201645.3714141,83.3765515640735,-69.7220333520448,46.0685781810779,-1.85982620790294
5,5,0,4797528.07606226,4797528.07606226,0,3498147.01894513,1.00028836338038,1299380.05682877,160.4401662122,-96.1271202900252,111.009647038498,10.1000144171298
6,6,0,4797528.07606226,4797528.07606226,0,3498147.01894513,1.00028836338038,1299380.05682877,160.4401662122,-96.1271202900252,111.009647038498,10.1000144171298
7,7,0,4797528.07606226,4797528.07606226,0,3498147.01894513,1.00028836338038,1299380.05682877,160.4401662122,-96.1271202900252,111.009647038498,10.1000144171298
8,8,0,4797528.07606226,4797528.07606226,0,3498147.01894513,1.00028836338038,1299380.05682877,160.4401662122,-96.1271202900252,111.009647038498,10.1000144171298
9,9,0,4797528.07606226,4797528.07606226,0,3498147.01894513,1.00028836338038,1299380.05682877,160.4401662122,-96.1271202900252,111.009647038498,10.1000144171298
10,10,0,32766923.9377676,32766923.9377676,0,24486968.1495716,532288.680981491,7747667.10721452,477.148334671222,-131.145523050523,503.346314996526,-62.9581168192746
11,11,0,32766923.9377676,32766923.9377676,0,24486968.1495716,532288.680981491,7747667.10721452,477.148334671222,-131.145523050523,503.346314996526,-62.9581168192746
12,12,0,32766923.9377676,32766923.9377676,0,24486968.1495716,532288.680981491,7747667.10721452,477.148334671222,-131.145523050523,503.346314996526,-62.9581168192746
13,13,0,32766923.9377676,32766923.9377676,0,24486968.1495716,532288.680981491,7747667.10721452,477.148334671222,-131.145523050523,503.346314996526,-62.9581168192746
14,14,0,32766923.9377676,32766923.9377676,0,24486968.1495716,532288.680981491,7747667.10721452,477.148334671222,-131.145523050523,503.346314996526,-62.9581168192746
15,15,0,27782585.6885897,27782585.6885897,0,25895418.6338497,23777.9974515928,1863389.0572884,453.422827819263,-231.002003348195,361.506009292207,-5.42011590475012
16,16,0,27782585.6885897,27782585.6885897,0,25895418.6338497,23777.9974515928,1863389.0572884,453.422827819263,-231.002003348195,361.506009292207,-5.42011590475012
17,17,0,27782585.6885897,27782585.6885897,0,25895418.6338497,23777.9974515928,1863389.0572884,453.422827819263,-231.002003348195,361.506009292207,-5.42011590475012
18,18,0,27782585.6885897,27782585.6885897,0,25895418.6338497,23777.9974515928,1863389.0572884,453.422827819263,-231.002003348195,361.506009292207,-5.42011590475012
19,19,0,27782585.6885897,27782585.6885897,0,25895418.6338497,23777.9974515928,1863389.0572884,453.422827819263,-231.002003348195,361.506009292207,-5.42011590475012
20,20,0,14075946.8065576,14075946.8065576,0,13743970.5059709,149112.091465335,182864.209121383,289.855763736326,-231.134898465248,267.762624933624,48.61503482652
21,21,0,14075946.8065576,14075946.8065576,0,13743970.5059709,149112.091465335,182864.209121383,289.855763736326,-231.134898465248,267.762624933624,48.61503482652
22,22,0,14075946.8065576,14075946.8065576,0,13743970.5059709,149112.091465335,182864.209121383,289.855763736326,-231.134898465248,267.762624933624,48.61503482652
23,23,0,14075946.8065576,14075946.8065576,0,13743970.5059709,149112.091465335,182864.209121383,289.855763736326,-231.134898465248,267.762624933624,48.61503482652
24,24,0,14075946.8065576,14075946.8065576,0,13743970.5059709,149112.091465335,182864.209121383,289.855763736326,-231.134898465248,267.762624933624,48.61503482652
