name value weight group
f_piez_FP007t63072000.0 417.19292 20 f_piez_FP007
f_piez_FP007t63075600.0 417.19167 20 f_piez_FP007
f_piez_FP007t63079200.0 417.18908 20 f_piez_FP007
f_piez_FP007t63082800.0 417.18108 20 f_piez_FP007
f_piez_FP007t63086400.0 417.17925 20 f_piez_FP007
f_piez_FP007t63090000.0 417.16567 20 f_piez_FP007
f_piez_FP007t63093600.0 417.15958 20 f_piez_FP007
f_piez_FP007t63097200.0 417.15483 20 f_piez_FP007
f_piez_FP007t63100800.0 417.15058 20 f_piez_FP007
f_piez_FP007t63104400.0 417.14258 20 f_piez_FP007
f_piez_FP007t63108000.0 417.13825 20 f_piez_FP007
f_piez_FP007t63111600.0 417.12683 20 f_piez_FP007
f_piez_FP007t63115200.0 417.12225 20 f_piez_FP007
f_piez_FP007t63118800.0 417.11875 20 f_piez_FP007
f_piez_FP007t63122400.0 417.10867 20 f_piez_FP007
f_piez_FP007t63126000.0 417.10817 20 f_piez_FP007
f_piez_FP007t63129600.0 417.10408 20 f_piez_FP007
f_piez_FP007t63133200.0 417.0965 20 f_piez_FP007
f_piez_FP007t63136800.0 417.09325 20 f_piez_FP007
f_piez_FP007t63140400.0 417.08692 20 f_piez_FP007
f_piez_FP007t63144000.0 417.07933 20 f_piez_FP007
f_piez_FP007t63147600.0 417.0735 20 f_piez_FP007
f_piez_FP007t63151200.0 417.06533 20 f_piez_FP007
f_piez_FP007t63154800.0 417.0575 20 f_piez_FP007
f_piez_FP007t63158400.0 417.05317 20 f_piez_FP007
f_piez_FP007t63162000.0 417.04658 20 f_piez_FP007
f_piez_FP007t63165600.0 417.04075 20 f_piez_FP007
f_piez_FP007t63169200.0 417.03617 20 f_piez_FP007
f_piez_FP007t63172800.0 417.02883 20 f_piez_FP007
f_piez_FP007t63176400.0 417.0215 20 f_piez_FP007
f_piez_FP007t63180000.0 417.01625 20 f_piez_FP007
f_piez_FP007t63183600.0 417.01242 20 f_piez_FP007
f_piez_FP007t63187200.0 417.00792 20 f_piez_FP007
f_piez_FP007t63190800.0 417.00567 20 f_piez_FP007
f_piez_FP007t63194400.0 417.00267 20 f_piez_FP007
f_piez_FP007t63198000.0 416.99683 20 f_piez_FP007
f_piez_FP007t63201600.0 416.99058 20 f_piez_FP007
f_piez_FP007t63205200.0 416.98075 20 f_piez_FP007
f_piez_FP007t63208800.0 416.98183 20 f_piez_FP007
f_piez_FP007t63212400.0 416.96975 20 f_piez_FP007
f_piez_FP007t63216000.0 416.9665 20 f_piez_FP007
f_piez_FP007t63219600.0 416.96008 20 f_piez_FP007
f_piez_FP007t63223200.0 416.95708 20 f_piez_FP007
f_piez_FP007t63226800.0 416.95125 20 f_piez_FP007
f_piez_FP007t63230400.0 416.9495 20 f_piez_FP007
f_piez_FP007t63234000.0 416.94242 20 f_piez_FP007
f_piez_FP007t63237600.0 416.93983 20 f_piez_FP007
f_piez_FP007t63241200.0 416.93608 20 f_piez_FP007
f_piez_FP007t63244800.0 416.93142 20 f_piez_FP007
f_piez_FP007t63248400.0 416.92842 20 f_piez_FP007
f_piez_FP007t63252000.0 416.92858 20 f_piez_FP007
f_piez_FP007t63255600.0 416.92875 20 f_piez_FP007
f_piez_FP007t63259200.0 416.92333 20 f_piez_FP007
f_piez_FP007t63262800.0 416.92217 20 f_piez_FP007
f_piez_FP007t63266400.0 416.92192 20 f_piez_FP007
f_piez_FP007t63270000.0 416.9205 20 f_piez_FP007
f_piez_FP007t63273600.0 416.91792 20 f_piez_FP007
f_piez_FP007t63277200.0 416.92108 20 f_piez_FP007
f_piez_FP007t63280800.0 416.91842 20 f_piez_FP007
f_piez_FP007t63284400.0 416.92033 20 f_piez_FP007
f_piez_FP007t63288000.0 416.91917 20 f_piez_FP007
f_piez_FP007t63291600.0 416.91608 20 f_piez_FP007
f_piez_FP007t63295200.0 416.915 20 f_piez_FP007
f_piez_FP007t63298800.0 416.91133 20 f_piez_FP007
f_piez_FP007t63302400.0 416.91167 20 f_piez_FP007
f_piez_FP007t63306000.0 416.91083 20 f_piez_FP007
f_piez_FP007t63309600.0 416.90933 20 f_piez_FP007
f_piez_FP007t63313200.0 416.90933 20 f_piez_FP007
f_piez_FP007t63316800.0 416.90917 20 f_piez_FP007
f_piez_FP007t63320400.0 416.90992 20 f_piez_FP007
f_piez_FP007t63324000.0 416.91308 20 f_piez_FP007
f_piez_FP007t63327600.0 416.91383 20 f_piez_FP007
f_piez_FP007t63331200.0 416.91133 20 f_piez_FP007
f_piez_FP007t63334800.0 416.91367 20 f_piez_FP007
f_piez_FP007t63338400.0 416.9155 20 f_piez_FP007
f_piez_FP007t63342000.0 416.92308 20 f_piez_FP007
f_piez_FP007t63345600.0 416.927 20 f_piez_FP007
f_piez_FP007t63349200.0 416.93183 20 f_piez_FP007
f_piez_FP007t63352800.0 416.93533 20 f_piez_FP007
f_piez_FP007t63356400.0 416.94475 20 f_piez_FP007
f_piez_FP007t63360000.0 416.95975 20 f_piez_FP007
f_piez_FP007t63363600.0 416.97733 20 f_piez_FP007
f_piez_FP007t63367200.0 416.9865 20 f_piez_FP007
f_piez_FP007t63370800.0 417.00575 20 f_piez_FP007
f_piez_FP007t63374400.0 417.03008 20 f_piez_FP007
f_piez_FP007t63378000.0 417.06217 20 f_piez_FP007
f_piez_FP007t63381600.0 417.10067 20 f_piez_FP007
f_piez_FP007t63385200.0 417.13992 20 f_piez_FP007
f_piez_FP007t63388800.0 417.17808 20 f_piez_FP007
f_piez_FP007t63392400.0 417.21975 20 f_piez_FP007
f_piez_FP007t63396000.0 417.26225 20 f_piez_FP007
f_piez_FP007t63399600.0 417.31092 20 f_piez_FP007
f_piez_FP007t63403200.0 417.36808 20 f_piez_FP007
f_piez_FP007t63406800.0 417.42117 20 f_piez_FP007
f_piez_FP007t63410400.0 417.4735 20 f_piez_FP007
f_piez_FP007t63414000.0 417.51967 20 f_piez_FP007
f_piez_FP007t63417600.0 417.56175 20 f_piez_FP007
f_piez_FP007t63421200.0 417.59767 20 f_piez_FP007
f_piez_FP007t63424800.0 417.628 20 f_piez_FP007
f_piez_FP007t63428400.0 417.66433 20 f_piez_FP007
f_piez_FP007t63432000.0 417.7055 20 f_piez_FP007
f_piez_FP007t63435600.0 417.7525 20 f_piez_FP007
f_piez_FP007t63439200.0 417.80683 20 f_piez_FP007
f_piez_FP007t63442800.0 417.84883 20 f_piez_FP007
f_piez_FP007t63446400.0 417.8885 20 f_piez_FP007
f_piez_FP007t63450000.0 417.92267 20 f_piez_FP007
f_piez_FP007t63453600.0 417.95192 20 f_piez_FP007
f_piez_FP007t63457200.0 417.98325 20 f_piez_FP007
f_piez_FP007t63460800.0 418.00642 20 f_piez_FP007
f_piez_FP007t63464400.0 418.03017 20 f_piez_FP007
f_piez_FP007t63468000.0 418.06242 20 f_piez_FP007
f_piez_FP007t63471600.0 418.08792 20 f_piez_FP007
f_piez_FP007t63475200.0 418.10608 20 f_piez_FP007
f_piez_FP007t63478800.0 418.12042 20 f_piez_FP007
f_piez_FP007t63482400.0 418.12467 20 f_piez_FP007
f_piez_FP007t63486000.0 418.12317 20 f_piez_FP007
f_piez_FP007t63489600.0 418.12642 20 f_piez_FP007
f_piez_FP007t63493200.0 418.13092 20 f_piez_FP007
f_piez_FP007t63496800.0 418.13567 20 f_piez_FP007
f_piez_FP007t63500400.0 418.13175 20 f_piez_FP007
f_piez_FP007t63504000.0 418.13125 20 f_piez_FP007
f_piez_FP007t63507600.0 418.12258 20 f_piez_FP007
f_piez_FP007t63511200.0 418.12125 20 f_piez_FP007
f_piez_FP007t63514800.0 418.11842 20 f_piez_FP007
f_piez_FP007t63518400.0 418.11533 20 f_piez_FP007
f_piez_FP007t63522000.0 418.1125 20 f_piez_FP007
f_piez_FP007t63525600.0 418.11725 20 f_piez_FP007
f_piez_FP007t63529200.0 418.10375 20 f_piez_FP007
f_piez_FP007t63532800.0 418.10292 20 f_piez_FP007
f_piez_FP007t63536400.0 418.09408 20 f_piez_FP007
f_piez_FP007t63540000.0 418.08375 20 f_piez_FP007
f_piez_FP007t63543600.0 418.07267 20 f_piez_FP007
f_piez_FP007t63547200.0 418.06075 20 f_piez_FP007
f_piez_FP007t63550800.0 418.05158 20 f_piez_FP007
f_piez_FP007t63554400.0 418.0355 20 f_piez_FP007
f_piez_FP007t63558000.0 418.02325 20 f_piez_FP007
f_piez_FP007t63561600.0 418.00967 20 f_piez_FP007
f_piez_FP007t63565200.0 417.99458 20 f_piez_FP007
f_piez_FP007t63568800.0 417.97725 20 f_piez_FP007
f_piez_FP007t63572400.0 417.96342 20 f_piez_FP007
f_piez_FP007t63576000.0 417.94875 20 f_piez_FP007
f_piez_FP007t63579600.0 417.93767 20 f_piez_FP007
f_piez_FP007t63583200.0 417.9215 20 f_piez_FP007
f_piez_FP007t63586800.0 417.91192 20 f_piez_FP007
f_piez_FP007t63590400.0 417.90567 20 f_piez_FP007
