name transform change_limit value lower_bound upper_bound group scale offset dercom
emm_f00001 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00002 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00003 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00004 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00005 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00006 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00007 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00008 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00009 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00010 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00011 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00012 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00013 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00014 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00015 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00016 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00017 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00018 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00019 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00020 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00021 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00022 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00023 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00024 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00025 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00026 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00027 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00028 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00029 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00030 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00031 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
emm_f00032 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_f 1.0 0.0 1
