name transform change_limit value lower_bound upper_bound group scale offset dercom
per_f00001 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00002 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00003 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00004 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00005 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00006 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00007 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00008 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00009 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00010 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00011 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00012 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00013 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00014 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00015 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00016 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00017 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00018 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00019 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00020 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00021 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00022 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00023 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00024 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00025 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00026 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00027 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00028 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00029 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00030 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00031 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00032 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
