name transform change_limit value lower_bound upper_bound group scale offset dercom
per_l00001 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00002 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00003 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00004 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00005 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00006 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00007 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00008 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00009 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00010 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00011 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00012 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00013 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00014 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00015 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00016 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00017 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00018 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00019 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00020 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00021 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00022 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00023 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00024 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00025 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00026 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00027 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00028 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00029 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00030 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00031 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00032 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00033 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
per_l00034 log factor 5.0e-07 5.0e-09 5.0e-05 per_l 1.0 0.0 1
