name transform change_limit value lower_bound upper_bound group scale offset dercom
per_m00001 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00002 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00003 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00004 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00005 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00006 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00007 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00008 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00009 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00010 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00011 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00012 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00013 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00014 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00015 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00016 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00017 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00018 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00019 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00020 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00021 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00022 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00023 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00024 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00025 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00026 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00027 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00028 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00029 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00030 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00031 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00032 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00033 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00034 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00035 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00036 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00037 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00038 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00039 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00040 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00041 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00042 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00043 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00044 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00045 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00046 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00047 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00048 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00049 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00050 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00051 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00052 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00053 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00054 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00055 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00056 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00057 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00058 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00059 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00060 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00061 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00062 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00063 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00064 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00065 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00066 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00067 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00068 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00069 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00070 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00071 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00072 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00073 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00074 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00075 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00076 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00077 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00078 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00079 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00080 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00081 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00082 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00083 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00084 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00085 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00086 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00087 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00088 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00089 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00090 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00091 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00092 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00093 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00094 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00095 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00096 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00097 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00098 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00099 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00100 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00101 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00102 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00103 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00104 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00105 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00106 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00107 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00108 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00109 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00110 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00111 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00112 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00113 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00114 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00115 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00116 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00117 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00118 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00119 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00120 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00121 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00122 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00123 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00124 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00125 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00126 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00127 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00128 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
per_m00129 log factor 5.18e-09 5.0e-10 1.0e-6 per_m 1.0 0.0 1
