name transform change_limit value lower_bound upper_bound group scale offset dercom
por_f00001 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00002 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00003 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00004 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00005 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00006 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00007 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00008 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00009 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00010 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00011 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00012 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00013 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00014 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00015 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00016 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00017 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00018 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00019 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00020 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00021 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00022 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00023 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00024 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00025 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00026 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00027 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00028 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00029 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00030 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00031 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00032 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00033 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00034 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00035 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00036 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00037 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00038 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00039 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00040 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00041 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00042 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
por_f00043 none relative 0.015 0.002 0.1 por_f 1.0 0.0 1
