name transform change_limit value lower_bound upper_bound group scale offset dercom
por_m00001 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00002 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00003 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00004 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00005 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00006 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00007 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00008 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00009 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00010 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00011 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00012 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00013 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00014 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00015 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00016 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00017 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00018 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00019 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00020 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00021 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00022 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00023 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00024 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00025 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00026 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00027 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00028 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00029 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00030 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00031 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00032 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00033 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00034 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00035 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00036 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00037 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00038 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00039 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00040 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00041 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00042 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00043 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
por_m00044 none relative 0.12 0.005 0.35 por_m 1.0 0.0 1
