real_name,h01_01,h01_02,h01_03,h01_04,h01_05,h01_06,h01_07,h01_08,h01_09,h01_10,h02_01,h02_02,h02_03,h02_04,h02_05,h02_06,h02_07,h02_08,h02_09,h02_10
0,1,1.486,1.927,2.277,2.907,3.254,3.419,3.646,4.04,4.371,1,1.973,2.854,3.554,4.813,5.508,5.838,6.291,7.081,7.742
1,1,1.938,2.795,2.845,3.033,3.244,3.618,4.242,4.641,4.745,1,2.876,4.59,4.691,5.066,5.489,6.237,7.483,8.281,8.49
2,1,1.265,1.509,1.597,1.941,2.288,2.395,2.593,3.619,4.565,1,1.531,2.017,2.194,2.882,3.577,3.791,4.187,6.238,8.129
3,1,1.395,1.918,2.234,2.395,2.478,3.488,4.598,5.237,5.775,1,1.789,2.836,3.469,3.79,3.956,5.976,8.196,9.473,10.55
4,1,1.301,1.555,1.631,1.712,1.78,2.151,2.663,3.055,3.307,1,1.602,2.11,2.262,2.424,2.56,3.302,4.326,5.111,5.614
5,1,1.654,2.219,2.239,2.282,2.325,2.429,3.08,3.815,4.014,1,2.309,3.438,3.478,3.564,3.65,3.857,5.16,6.63,7.027
6,1,1.747,2.614,2.982,3.474,3.827,4.571,5.42,5.78,6.034,1,2.495,4.228,4.964,5.947,6.653,8.141,9.841,10.56,11.069
7,1,1.15,1.298,1.548,2.074,2.458,2.565,2.766,3.616,4.393,1,1.3,1.596,2.096,3.148,3.916,4.129,4.532,6.232,7.785
8,1,1.674,2.35,2.468,2.547,2.621,2.689,2.809,3.87,4.887,1,2.348,3.7,3.936,4.095,4.243,4.379,4.618,6.741,8.774
9,1,1.334,1.599,1.667,2.074,2.453,2.994,3.549,3.848,4.134,1,1.668,2.197,2.335,3.149,3.905,4.988,6.098,6.696,7.267
10,1,1.545,2.13,2.36,3.29,4.14,4.447,4.786,5.283,5.815,1,2.09,3.26,3.72,5.579,7.28,7.893,8.573,9.565,10.631
11,1,1.628,2.236,2.438,3.293,4.051,4.399,4.788,5.855,6.871,1,2.256,3.471,3.876,5.585,7.101,7.797,8.576,10.711,12.741
12,1,2.1,3.215,3.369,3.49,3.587,3.746,3.924,4.689,5.485,1,3.2,5.431,5.739,5.979,6.173,6.492,6.849,8.377,9.97
