real_name,stage,k_01,k_02,k_03,k_04,k_05,k_06,k_07,k_08,k_09,k_10
0,1,2.5,0.646915,4.60311,0.846663,0.747392,19.3534,1.64143,3.36871,0.780158,25
1,1,2.5,0.298317,13.2786,7.8969,1.60414,4.49639,0.784932,0.820592,2.64809,25
2,1,2.5,1.51216,3.20311,25,0.747624,19.6617,2.65034,2.40954,0.271208,10.4909
3,1,2.5,0.848828,1.09157,2.86308,3.41279,25,0.25,2.27317,0.47304,25
4,1,2.5,1.24446,4.69524,10.9109,4.3228,25,0.691978,1.65908,1.03415,25
5,1,2.5,0.450957,25,25,7.54825,25,2.67226,0.448275,1.40704,12.0367
6,1,2.5,0.386123,1.14085,1.67991,0.729066,25,0.340627,2.16021,1.02392,25
7,1,2.5,4.97616,2.55954,1.64167,0.66901,25,2.58036,2.39071,0.335507,7.88958
8,1,2.5,0.435709,2.44298,15.9132,3.91695,25,4.29661,4.07615,0.25,15.1735
9,1,2.5,1.06741,8.27311,6.48274,0.678687,25,0.470431,10.5858,0.907615,25
10,1,2.5,0.562107,1.77663,2.8104,0.297384,25,0.843077,5.79235,0.551861,3.1353
11,1,2.5,0.473671,3.11948,2.04766,0.341304,9.80606,0.775017,3.72695,0.25,16.1976
12,1,2.5,0.25,2.16859,6.44601,3.06949,16.0522,1.7359,7.32751,0.342391,3.78348
13,1,2.5,0.607403,4.156,1.45714,0.33051,22.0544,1.37278,1.3323,2.5214,25
14,1,2.5,0.267831,1.45534,4.97085,0.355614,25,4.59689,2.6027,0.339305,25
15,1,2.5,2.40929,25,2.58502,1.10791,25,0.315227,0.37043,0.2802,22.6011
16,1,2.5,1.27251,16.2255,5.10514,0.70089,20.4084,0.881783,0.41509,0.892194,10.4727
17,1,2.5,1.12857,0.981991,7.51403,5.55326,3.03047,0.836955,3.0639,0.552358,18.2639
18,1,2.5,0.296797,4.71825,0.825571,3.00275,25,7.20465,1.21479,2.08675,25
19,1,2.5,0.255223,7.07028,25,0.264916,25,7.55582,4.27929,2.21642,25
20,1,2.5,0.905687,18.136,1.25115,1.86811,23.7612,6.33751,21.3217,0.731069,10.5155
21,1,2.5,0.315575,2.87964,3.57316,1.50947,16.7523,2.35537,3.75057,0.531144,25
22,1,2.5,2.20424,6.79797,1.76958,0.25,25,1.30861,2.05719,0.25,22.2425
23,1,2.5,0.25,10.9608,3.51601,1.47553,24.2037,1.67651,7.59626,0.25,25
24,1,2.5,0.315135,4.10999,7.6711,0.750501,25,0.874591,2.15786,0.326858,25
25,1,2.5,5.04728,1.70183,3.69696,1.38209,20.373,0.801521,14.5143,0.961557,25
26,1,2.5,0.255503,2.57262,1.6597,7.106,25,0.450468,3.41708,0.742572,7.9196
27,1,2.5,0.25,0.765914,0.825571,8.43507,25,2.50721,1.0406,0.276886,19.7641
28,1,2.5,0.25,4.33125,13.9628,0.567396,25,0.459793,2.52721,0.276779,8.60908
29,1,2.5,0.554854,3.91985,15.3255,4.46374,25,0.518523,4.29551,0.25,25
30,1,2.5,1.28162,20.4375,20.5509,2.14054,25,1.30956,16.5359,0.25,11.4964
31,1,2.5,0.25,2.55405,0.929204,3.46692,9.48548,1.32535,4.23329,1.58131,25
32,1,2.5,1.17937,3.66181,8.24165,0.674199,25,0.25,1.42063,0.269169,25
33,1,2.5,0.952129,3.61985,10.3994,4.20685,10.4176,0.273644,2.54817,0.756437,20.6242
34,1,2.5,1.64977,17.7252,25,0.281945,22.0014,0.57129,2.80295,1.01748,8.19076
35,1,2.5,3.18959,18.814,1.33843,2.62003,9.51054,0.683721,0.628083,5.25679,20.7513
36,1,2.5,0.363644,8.80416,17.1204,9.35056,12.1767,2.6707,3.07259,0.25,23.1883
37,1,2.5,0.477614,14.0807,8.20294,0.839827,25,0.600215,3.98754,0.379313,25
38,1,2.5,0.25,2.01551,0.825571,0.389146,25,1.32761,0.877873,0.25,25
39,1,2.5,1.76076,5.30041,6.35161,0.25,14.8087,3.14376,1.85795,3.66558,25
40,1,2.5,1.77555,4.48766,2.19437,2.56758,11.0433,0.25,5.67891,0.389572,25
41,1,2.5,1.98201,25,2.69005,2.77495,4.76207,4.72527,2.22324,3.07206,25
42,1,2.5,0.524924,2.7989,4.66843,0.955447,13.5108,0.707267,3.86559,0.82775,25
43,1,2.5,0.73693,5.49242,1.47882,0.481667,3.80789,0.981364,1.61827,0.363852,11.0473
44,1,2.5,0.25,7.12467,2.84406,2.57912,5.59598,0.577084,2.99184,0.744386,4.43713
45,1,2.5,1.00736,3.10729,25,3.00681,25,0.25,4.23703,0.77059,14.9799
46,1,2.5,0.25,0.637649,1.82037,0.707343,3.47045,0.472117,0.420278,0.25,25
47,1,2.5,0.25,7.50755,7.87732,1.20593,7.68204,4.2572,3.99277,0.385135,6.91223
48,1,2.5,0.25,4.51586,10.524,1.45054,3.37849,7.2378,23.3726,2.4187,4.94847
base,1,2.5,0.635416,5.06503,6.55775,1.42333,21.9893,0.951221,2.94243,0.66179,24.9046
