real_name,h01_01,h01_02,h01_03,h01_04,h01_05,h01_06,h01_07,h01_08,h01_09,h01_10,h02_01,h02_02,h02_03,h02_04,h02_05,h02_06,h02_07,h02_08,h02_09,h02_10
0,1.5,1.7,1.9,1.07489,2.3,0.338756,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
1,1.5,1.7,1.9,1.48024,2.3,4.44183,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
2,1.5,1.7,1.9,0.744245,2.3,1.3028,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
3,1.5,1.7,1.9,0.938338,2.3,3.64938,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
4,1.5,1.7,1.9,2.88513,2.3,3.03372,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
5,1.5,1.7,1.9,2.21282,2.3,3.10784,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
6,1.5,1.7,1.9,0.763385,2.3,1.39964,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
7,1.5,1.7,1.9,1.71268,2.3,3.90715,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
8,1.5,1.7,1.9,-0.417788,2.3,1.86456,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
9,1.5,1.7,1.9,3.37605,2.3,3.21098,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
10,1.5,1.7,1.9,2.81941,2.3,3.76944,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
11,1.5,1.7,1.9,1.79526,2.3,3.00717,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
12,1.5,1.7,1.9,2.80341,2.3,1.43058,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
13,1.5,1.7,1.9,1.60355,2.3,3.70258,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
14,1.5,1.7,1.9,2.56887,2.3,1.97039,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
15,1.5,1.7,1.9,2.36995,2.3,4.42649,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
16,1.5,1.7,1.9,2.27594,2.3,1.94583,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
17,1.5,1.7,1.9,0.975242,2.3,3.38885,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
18,1.5,1.7,1.9,3.23442,2.3,3.37367,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
19,1.5,1.7,1.9,3.98263,2.3,2.58388,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
20,1.5,1.7,1.9,2.67363,2.3,4.68739,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
21,1.5,1.7,1.9,1.54539,2.3,3.61527,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
22,1.5,1.7,1.9,2.81263,2.3,0.266006,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
23,1.5,1.7,1.9,1.89173,2.3,2.20574,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
24,1.5,1.7,1.9,4.88655,2.3,2.01898,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
25,1.5,1.7,1.9,1.66855,2.3,3.0173,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
26,1.5,1.7,1.9,3.65809,2.3,0.84853,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
27,1.5,1.7,1.9,2.06049,2.3,2.07414,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
28,1.5,1.7,1.9,2.58409,2.3,0.818729,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
29,1.5,1.7,1.9,1.34608,2.3,3.06552,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
30,1.5,1.7,1.9,1.52052,2.3,3.39501,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
31,1.5,1.7,1.9,2.04814,2.3,3.12606,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
32,1.5,1.7,1.9,1.30661,2.3,1.56575,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
33,1.5,1.7,1.9,1.6197,2.3,4.00321,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
34,1.5,1.7,1.9,1.64036,2.3,3.60015,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
35,1.5,1.7,1.9,2.5611,2.3,1.66944,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
36,1.5,1.7,1.9,1.86568,2.3,0.939567,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
37,1.5,1.7,1.9,3.86907,2.3,3.63328,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
38,1.5,1.7,1.9,3.68385,2.3,2.89708,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
39,1.5,1.7,1.9,2.52636,2.3,3.62632,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
40,1.5,1.7,1.9,2.43903,2.3,3.90031,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
41,1.5,1.7,1.9,1.16329,2.3,2.74194,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
42,1.5,1.7,1.9,1.27445,2.3,3.14893,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
43,1.5,1.7,1.9,2.46311,2.3,2.33913,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
44,1.5,1.7,1.9,3.09978,2.3,3.15939,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
45,1.5,1.7,1.9,2.07504,2.3,1.79848,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
46,1.5,1.7,1.9,1.45269,2.3,2.54088,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
47,1.5,1.7,1.9,1.16972,2.3,1.83756,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
48,1.5,1.7,1.9,2.93556,2.3,3.12202,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
base,1.5,1.7,1.9,2.1,2.3,2.5,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
