iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,base
0,50,4.18178,5.19652,0.0895885,25.5378,15.3224,3.62184,1.20907,3.26293,3.90355,3.10392,10.8988,0.968443,5.35405,5.11649,0.371021,0.525373,2.09451,0.238726,2.78772,6.63822,0.817537,2.44484,0.479607,5.09899,4.20524,1.29493,13.9893,0.0895885,9.21428,0.379903,6.16078,25.5378,4.18359,1.71924,3.87328,11.7297,0.423478,4.31238,1.21373,1.70567,0.921619,8.15107,6.71734,1.14962,2.79585,0.226375,0.776208,2.57167,0.320245,0.255201,18.1723,1.35284,0.887536,0.5
1,140,2.30986,2.14711,0.0576191,9.9641,,3.01174,0.997238,3.0805,3.14945,2.69572,4.31993,0.725021,4.57912,4.25396,0.258083,0.269562,1.70406,0.192425,1.79265,4.55702,0.784216,1.76238,0.437692,4.61182,1.73788,1.18131,9.9641,0.0576191,8.11532,0.349606,5.38207,2.52966,3.44739,1.57301,3.58798,1.66672,0.332252,3.63,1.03043,1.56853,0.860299,6.44399,2.71099,1.07202,1.6371,0.213201,0.743665,1.86647,0.30233,0.226047,3.82776,0.912171,0.720678,
2,190,5.92003,7.43001,0.016762,35.0436,16.5435,3.38135,2.66602,5.72964,2.71877,1.37128,22.8599,0.588184,9.90739,3.51838,1.43325,3.03815,8.92494,1.33314,13.5624,6.16722,0.746657,5.5081,0.833879,6.31194,4.3616,2.0043,15.7337,2.78568,6.86799,0.454844,9.48401,35.0436,14.1214,1.2584,2.99188,9.80125,1.56358,3.75258,0.111144,1.18378,2.1412,4.5873,16.5824,0.80823,2.85887,0.799984,1.3599,2.17404,0.71582,0.114217,27.6584,7.3207,0.199775,0.016762
3,280,2.19302,1.83205,0.030622,7.10005,,3.99659,0.975248,3.08849,2.7825,1.45279,2.92816,1.44992,5.00608,3.89798,0.361743,0.0439101,1.66037,0.518696,1.79069,6.33912,0.690013,2.64964,0.3835,3.75673,4.67003,1.58864,6.6498,0.251392,7.10005,0.632845,4.67097,1.58764,3.59901,1.44506,3.18964,1.55766,0.295102,3.95804,1.38286,1.14553,1.00725,4.33331,1.57329,1.62767,3.2589,1.09911,1.11032,0.507923,0.030622,0.142164,1.55101,1.40914,0.117998,
4,330,3.93262,3.67407,0.011401,13.3588,9.94372,3.29737,1.6978,3.05087,3.14467,0.613517,10.8143,2.12715,8.89997,3.4954,0.348369,1.5027,4.97005,0.417312,8.7877,6.87035,0.655065,2.43685,0.0913137,6.77698,6.06213,1.98521,13.3588,3.80484,6.5283,1.04262,7.81885,9.5227,11.4652,1.25061,2.59862,3.07165,0.970866,4.22724,0.17235,1.23234,3.33733,3.35767,5.53261,1.01953,4.54293,0.99532,1.09354,1.1244,0.206174,0.119077,12.3424,7.49748,0.39707,0.011401
5,420,3.56348,3.37866,0.0617014,13.918,,4.13317,2.93852,3.55377,0.132107,0.859466,7.22198,1.92548,13.2966,0.0617014,0.842041,3.3493,5.35229,3.51782,2.88534,4.0128,1.74793,11.6126,0.531863,1.29095,1.37409,3.69675,4.11391,2.98458,4.79342,0.736773,7.76793,13.918,6.64689,3.95464,2.06529,4.87078,1.28049,3.66729,1.59381,0.733756,7.15219,0.483642,1.87938,0.946201,0.74275,1.0847,4.98192,2.95298,0.273713,0.413037,10.0506,6.29741,0.324626,
6,500,2.72402,2.15851,0.00276613,8.41002,,4.23034,0.592328,3.26129,3.26443,0.416937,2.69849,6.07733,6.06578,,2.07792,0.735085,2.94375,2.84382,1.32437,8.41002,0.507248,3.14249,0.973576,1.57165,8.35253,2.06731,3.49859,0.668424,6.01672,2.80051,5.72595,4.47596,2.99728,1.46814,2.61088,0.849503,0.0856132,4.64633,3.47171,1.37203,,4.25498,0.535072,4.32641,5.79092,1.50846,1.73432,0.668919,0.017528,0.179913,1.66206,2.37923,0.00276613,
7,536,2.69959,2.14257,0.00276613,8.41002,,4.23034,0.592328,3.26129,3.26443,0.416937,2.69849,6.07733,6.06578,,2.07792,0.735085,2.94375,2.84382,1.32437,8.41002,0.507248,3.14249,0.973576,1.57165,8.35253,2.06731,3.49859,0.668424,6.01672,2.80051,5.72595,4.47596,2.99728,1.46814,2.61088,0.849503,0.0856132,3.52253,3.47171,1.37203,,4.25498,0.535072,4.32641,5.79092,1.50846,1.73432,0.668919,0.017528,0.179913,1.66206,2.37923,0.00276613,
8,614,1.91111,1.56415,0.00276613,6.06578,,4.14541,0.592328,3.26129,0.154884,0.416937,2.69849,2.45595,6.06578,,1.08799,0.735085,2.94375,2.84382,1.32437,4.25449,0.507248,3.14249,0.223368,1.09581,2.09065,2.06731,3.49859,0.668424,4.62391,1.10109,5.72595,4.47596,2.99728,1.46814,1.75616,0.849503,0.0856132,3.52253,2.78103,1.37203,,0.641959,0.535072,0.541849,1.00538,1.50846,1.73432,0.668919,0.017528,0.179913,1.66206,2.37923,0.00276613,
9,650,1.90799,1.56787,0.00276613,6.06578,,4.14541,0.592328,3.26129,0.0113848,0.416937,2.69849,2.45595,6.06578,,1.08799,0.735085,2.94375,2.84382,1.32437,4.25449,0.507248,3.14249,0.223368,1.09581,2.09065,2.06731,3.49859,0.668424,4.62391,1.10109,5.72595,4.47596,2.99728,1.46814,1.75616,0.849503,0.0856132,3.52253,2.78103,1.37203,,0.641959,0.535072,0.541849,1.00538,1.50846,1.73432,0.668919,0.017528,0.179913,1.66206,2.37923,0.00276613,
