real_name,h01_01,h01_02,h01_03,h01_04,h01_05,h01_06,h01_07,h01_08,h01_09,h01_10,h02_01,h02_02,h02_03,h02_04,h02_05,h02_06,h02_07,h02_08,h02_09,h02_10
1,1,2.005,2.927,2.954,2.974,3.035,3.834,4.671,4.816,4.884,1,3.01,4.854,4.908,4.948,5.07,6.668,8.343,8.632,8.767
3,1,1.355,1.895,2.256,2.371,2.423,3.4,4.487,4.909,5.222,1,1.71,2.791,3.511,3.743,3.846,5.801,7.974,8.819,9.445
4,1,1.421,1.81,1.888,1.908,1.929,2.765,3.669,3.896,4.053,1,1.842,2.62,2.776,2.816,2.858,4.529,6.339,6.791,7.106
5,1,1.781,2.472,2.492,2.512,2.533,2.859,3.275,3.467,3.582,1,2.562,3.943,3.983,4.023,4.067,4.719,5.55,5.933,6.164
6,1,1.471,1.996,2.177,2.224,2.256,3.17,4.142,4.338,4.475,1,1.942,2.991,3.353,3.449,3.512,5.339,7.284,7.676,7.95
7,1,1.219,1.437,1.556,1.584,1.607,2.061,2.548,3.125,3.692,1,1.438,1.875,2.111,2.169,2.215,3.123,4.096,5.249,6.384
8,1,1.692,2.357,2.44,2.46,2.482,2.72,2.967,3.502,4.035,1,2.385,3.714,3.879,3.919,3.963,4.439,4.934,6.004,7.071
9,1,1.484,1.905,1.952,1.972,1.993,2.811,3.631,3.801,3.968,1,1.969,2.811,2.905,2.945,2.987,4.623,6.262,6.601,6.935
10,1,1.749,2.579,2.78,2.824,2.859,3.727,4.613,4.898,5.221,1,2.499,4.159,4.559,4.647,4.719,6.453,8.225,8.795,9.441
11,1,1.786,2.545,2.629,2.649,2.686,3.473,4.26,4.864,5.459,1,2.572,4.09,4.258,4.298,4.372,5.946,7.52,8.728,9.917
12,1,2.1,3.248,3.406,3.426,3.457,3.831,4.192,4.601,5.08,1,3.2,5.496,5.812,5.852,5.915,6.661,7.385,8.203,9.16
13,1,1.726,2.411,2.481,2.501,2.525,3.145,3.816,3.939,4.011,1,2.452,3.823,3.962,4.002,4.049,5.291,6.632,6.878,7.022
14,1,1.926,2.919,3.097,3.137,3.178,3.44,3.747,4.172,4.551,1,2.851,4.837,5.194,5.275,5.357,5.88,6.495,7.344,8.102
15,1,1.27,1.452,1.492,1.533,1.557,2.468,3.762,4.631,5.121,1,1.541,1.905,1.985,2.067,2.113,3.937,6.523,8.263,9.241
16,1,1.369,1.653,1.677,1.697,1.721,2.502,3.445,3.765,3.936,1,1.738,2.305,2.355,2.395,2.441,4.004,5.891,6.53,6.872
18,1,2.1,3.21,3.343,3.377,3.402,3.524,3.695,3.848,3.951,1,3.2,5.42,5.687,5.754,5.804,6.048,6.391,6.697,6.902
19,1,1.719,2.357,2.386,2.406,2.426,2.592,2.766,2.844,2.912,1,2.438,3.713,3.771,3.811,3.853,4.184,4.533,4.687,4.825
20,1,2.1,3.13,3.171,3.191,3.216,3.341,3.462,3.693,3.945,1,3.2,5.261,5.342,5.382,5.432,5.683,5.924,6.386,6.891
21,1,2.1,3.185,3.28,3.3,3.327,3.698,4.075,4.342,4.599,1,3.2,5.369,5.559,5.599,5.654,6.396,7.15,7.684,8.198
22,1,1.245,1.424,1.47,1.491,1.513,2.238,3.002,3.544,4.048,1,1.489,1.848,1.939,1.981,2.025,3.475,5.004,6.089,7.097
23,1,2.1,3.124,3.157,3.177,3.2,3.702,4.204,4.719,5.235,1,3.2,5.247,5.315,5.355,5.4,6.405,7.407,8.438,9.471
24,1,1.777,2.562,2.681,2.714,2.745,3.637,4.593,5.185,5.713,1,2.554,4.123,4.363,4.427,4.49,6.275,8.186,9.37,10.426
25,1,1.22,1.502,1.672,1.692,1.716,2.437,3.154,3.317,3.481,1,1.441,2.003,2.345,2.385,2.433,3.875,5.309,5.633,5.963
27,1,2.1,3.835,4.587,4.614,4.642,4.883,5.165,5.791,6.38,1,3.2,6.671,8.175,8.228,8.284,8.767,9.329,10.582,11.759
28,1,1.79,2.519,2.567,2.587,2.608,3.514,4.452,4.88,5.293,1,2.58,4.037,4.134,4.174,4.216,6.029,7.905,8.759,9.586
