real_name,stage,k_01,k_02,k_03,k_04,k_05,k_06,k_07,k_08,k_09,k_10
1,1,2.5,0.276214,14.7844,25,25,4.8846,0.334308,2.79781,4.52097,20.3317
3,1,2.5,0.980883,0.875143,3.35446,6.06285,24.2678,0.2585,2.09238,0.825476,24.4114
4,1,2.5,0.778839,3.67404,25,25,22.9023,0.303102,3.1259,1.70961,22.3038
5,1,2.5,0.367227,25,25,25,21.3596,0.794852,2.47156,2.765,10.1475
6,1,2.5,0.673833,1.62851,9.07988,12.3986,21.9213,0.27701,3.59221,1.97616,23.1463
7,1,2.5,2.10151,2.51195,13.3382,25,19.538,0.56633,5.52802,0.47049,6.94121
8,1,2.5,0.421983,3.45803,24.794,25,20.7131,1.10653,11.7616,0.486566,12.8169
9,1,2.5,0.650545,6.78404,25,25,22.3174,0.309947,18.7918,1.60221,22.3973
10,1,2.5,0.385003,1.3835,12.8772,10.1585,22.2417,0.292067,8.32975,0.980404,3.66854
11,1,2.5,0.3645,3.40224,24.6456,24.5619,9.30627,0.328909,9.38547,0.433081,14.1843
12,1,2.5,0.25,1.68868,25,25,11.6883,0.710664,25,0.626559,3.13622
13,1,2.5,0.399502,4.18765,24.872,24.6518,18.7952,0.411531,3.95048,4.1914,20.3997
14,1,2.5,0.302771,1.49474,23.0283,8.4097,21.9234,0.998685,4.39754,0.679612,22.271
15,1,2.5,1.4667,21.7854,8.79322,19.6264,24.0392,0.277378,0.637763,0.523187,22.158
16,1,2.5,0.929457,17.0412,25,25,18.9186,0.325331,1.43107,1.72122,9.758
18,1,2.5,0.25,2.27291,10.6501,25,16.7762,2.33455,3.88125,2.8235,17.6426
19,1,2.5,0.403996,13.1838,25,25,23.032,1.61787,12.4529,4.37284,21.5142
20,1,2.5,0.25,8.21797,25,25,16.532,2.26568,25,1.13078,7.93406
21,1,2.5,0.25,2.94998,24.9672,25,14.3946,0.7064,10.9175,1.02402,19.4454
22,1,2.5,1.72869,7.19046,23.102,24.3997,21.1836,0.350566,4.87947,0.508914,19.8652
23,1,2.5,0.25,10.5748,24.9092,25,19.5096,0.510848,20.8675,0.496589,19.6969
24,1,2.5,0.369235,2.32649,20.1585,12.7079,20.9164,0.284039,3.3023,0.484256,21.2593
25,1,2.5,2.07736,1.55414,25,25,17.7931,0.353628,25,1.64142,20.1862
27,1,2.5,0.25,0.339926,15.127,24.9192,14.043,1.117,4.36099,0.43925,12.829
28,1,2.5,0.362285,6.50375,24.9375,24.826,22.9176,0.279195,5.88385,0.649833,8.7717
29,1,2.5,0.543376,3.78767,25,25,23.5138,0.281817,7.01086,0.441627,22.7254
30,1,2.5,0.690338,16.6317,25,25,21.2991,0.399299,25,0.403842,10.3449
31,1,2.5,0.25,0.809808,13.9361,25,6.32747,0.654857,14.2783,1.93641,15.7363
32,1,2.5,1.71805,4.61594,24.6848,13.234,24.6914,0.25,2.37092,0.598343,24.2947
33,1,2.5,0.555131,3.22742,25,25,10.5796,0.329176,5.84644,1.33098,17.9115
34,1,2.5,1.71609,24.6407,25,25,22.4493,0.290422,7.44099,2.08358,8.40177
35,1,2.5,1.41963,14.7702,25,25,8.60507,0.37447,2.29334,7.65004,16.2626
36,1,2.5,0.258502,12.9273,25,25,10.7513,0.860607,14.975,0.384002,17.0629
37,1,2.5,0.384269,11.192,25,25,23.1756,0.290558,6.93129,0.742728,23.029
38,1,2.5,0.298388,0.916696,5.34896,24.5033,18.185,0.444369,1.9618,0.260808,20.2152
39,1,2.5,1.49953,7.94584,24.3775,25,14.5786,0.579124,4.71647,4.37977,20.7835
40,1,2.5,1.09219,3.13363,8.43119,25,12.0396,0.285646,7.68919,0.702153,23.4337
41,1,2.5,1.01281,25,25,25,4.7787,1.35257,7.859,4.94245,19.074
42,1,2.5,0.430714,3.26849,25,25,12.8715,0.323335,9.58016,1.57595,20.8129
44,1,2.5,0.25,2.66021,25,25,4.21138,0.534178,11.3698,1.05922,3.49231
45,1,2.5,1.33137,5.37041,25,25,23.3664,0.29254,10.5581,1.60456,13.7329
46,1,2.5,0.276452,0.864382,20.1373,24.3405,3.69576,0.311343,1.21029,0.405585,20.6745
47,1,2.5,0.252312,10.2294,25,25,7.1474,1.23699,16.225,0.854609,6.06601
48,1,2.5,0.25,2.95046,25,25,2.79134,2.90393,25,3.39208,3.70054
