real_name,H01_01,H01_02,H01_03,H01_04,H01_05,H01_06,H01_07,H01_08,H01_09,H01_10,H02_01,H02_02,H02_03,H02_04,H02_05,H02_06,H02_07,H02_08,H02_09,H02_10
0,0,0,0,1.97603,0,2.45925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,2.2612,0,2.53998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,2.23828,0,2.50523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,2.00959,0,2.68707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1.93396,0,2.43119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,2.10757,0,2.64734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,2.10972,0,2.41076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,2.07712,0,2.61649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,2.15849,0,2.43394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,2.15348,0,2.43922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,2.17459,0,2.32482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,2.00349,0,2.45257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,2.04534,0,2.49615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,2.11949,0,2.45149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,2.06297,0,2.38759,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,2.27366,0,2.58822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,1.94972,0,2.55708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,2.00701,0,2.4065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,2.02353,0,2.52509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
base,1.5,1.7,1.9,2.1,2.3,2.5,2.7,2.9,3.1,3.3,1.5,1.9,2.3,2.7,3.1,3.5,3.9,4.3,4.7,5.1
