real_name,H01_01,H01_02,H01_03,H01_04,H01_05,H01_06,H01_07,H01_08,H01_09,H01_10,H02_01,H02_02,H02_03,H02_04,H02_05,H02_06,H02_07,H02_08,H02_09,H02_10
0,0,0,0,2.03203,0,2.57106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,2.11767,0,2.67187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,2.14653,0,2.57974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,2.1413,0,2.56485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1.97041,0,2.29003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,2.29364,0,2.43595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,2.01275,0,2.41698,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,2.14213,0,2.50477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,2.08204,0,2.39945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,2.21165,0,2.53917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,1.97308,0,2.48463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,2.16597,0,2.52872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,2.22633,0,2.48176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,2.04125,0,2.60838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,2.09463,0,2.37302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,2.18437,0,2.65666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,2.23057,0,2.44804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,2.09917,0,2.52674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,2.2641,0,2.66174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,2.16066,0,2.59569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,2.19059,0,2.57043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,2.06018,0,2.54318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,2.03889,0,2.61589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,2.02722,0,2.46189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,2.10271,0,2.44771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,2.08147,0,2.44321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,2.22619,0,2.44562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,2.03516,0,2.57633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,1.9933,0,2.53095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,2.10811,0,2.63482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,1.90347,0,2.60552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,2.06972,0,2.61867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,2.14451,0,2.70761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,2.03456,0,2.4886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,2.15874,0,2.43222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,2.05982,0,2.33685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,1.97901,0,2.60965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,1.88293,0,2.55608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,2.14799,0,2.33616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,2.21919,0,2.50242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,2.0169,0,2.36011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,2.15056,0,2.62061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,2.11816,0,2.52035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,2.16373,0,2.47753,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,1.95226,0,2.38391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,1.96511,0,2.69195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,1.94348,0,2.49049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,2.13127,0,2.44662,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,2.06173,0,2.5702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,2.05508,0,2.45109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
