iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,base
0,50,2.01092,4.33649,0.00986,22.0236,2.36702,0.152578,0.508084,0.435365,1.1105,1.39189,2.60763,0.228469,0.276005,0.644264,1.2973,1.37384,0.299741,1.52778,1.50936,0.65585,0.713441,1.31614,2.41953,0.524882,0.115058,0.015661,1.94846,0.00986,0.067609,0.014357,0.505069,22.0236,0.111537,0.722738,1.81738,14.9913,0.399794,0.600813,0.741493,0.154512,0.638152,0.575114,11.2294,1.89325,0.149896,0.43997,0.048481,1.88407,1.05453,0.863432,15.3232,0.03112,0.316625,0.5
1,140,0.775014,0.850633,0.005978,4.20176,,0.131464,0.659261,0.246545,0.724978,1.11548,0.16633,0.426473,0.57322,0.362933,1.55581,0.998225,0.092045,1.37238,0.66245,0.214497,0.669776,0.712801,2.12576,0.466618,0.901377,0.054085,0.755792,0.022312,0.005978,0.00904,0.114941,1.51684,0.013985,0.567845,1.60461,2.89138,0.492929,0.313664,0.721874,0.15805,0.730084,0.191725,4.20176,1.78693,0.079637,0.420642,0.045797,1.18388,1.1488,0.793645,2.72416,0.053069,0.418778,
2,190,3.81873,6.58338,0.016762,31.0461,2.82308,0.294365,0.079985,2.84954,0.544585,0.310509,9.50792,0.599465,0.31501,0.208017,6.65572,4.45235,6.28295,4.18216,11.5081,0.560138,0.351508,2.60014,4.79159,5.61638,0.057896,1.57103,2.64602,1.71815,1.21482,0.139581,4.04419,31.0461,5.80167,0.053885,1.1492,12.5454,0.096616,0.20241,1.34033,0.201321,0.048082,0.036522,25.5457,1.72362,0.092365,0.731105,0.460665,1.67792,3.9257,0.176436,23.5955,2.49145,2.05242,0.016762
3,280,0.491775,0.526783,0.00169,2.45578,,0.06637,0.683701,0.049474,0.58,0.35018,0.004925,0.086728,0.417685,0.267089,1.47632,0.233333,0.278545,0.347477,0.58325,0.562757,0.774637,0.078989,0.7816,0.560237,0.021501,0.123773,0.44936,0.031466,0.257329,0.058825,0.1168,0.848669,0.0529,0.30157,1.25367,2.45578,0.48548,0.255965,0.583465,0.657829,0.356474,0.00169,1.96663,0.437408,0.15889,1.07983,0.008693,0.101032,1.63506,0.651604,0.570181,0.009797,0.490213,
4,360,0.522488,0.59271,0.00109,2.81833,,0.080272,0.691417,0.059914,0.582644,0.340705,0.003338,0.080072,0.387346,,1.43039,0.210834,0.367965,0.312533,0.585778,0.570069,0.786109,0.097657,0.845665,0.52289,0.019637,0.150848,0.451097,0.048193,0.257357,0.05746,0.151785,1.14237,0.078985,0.29362,1.25272,2.81833,0.489541,0.249925,0.582165,0.664705,0.326005,0.00109,2.16984,0.411377,0.160813,1.08174,0.006361,0.08948,1.82093,,0.728909,0.017417,0.556141,
5,438,0.565354,0.626863,0.010673,2.9429,,0.066384,0.729668,0.069248,0.62729,0.366314,,0.071642,0.374981,,1.34162,0.167885,0.406205,0.257744,0.565408,0.58545,0.826033,0.0964,0.849317,0.446372,0.016081,0.140548,0.473449,0.047578,0.23753,0.071044,0.167353,1.50479,0.09172,0.317761,1.2693,2.9429,0.521245,0.272836,0.595773,0.704545,0.331885,,2.34583,0.405997,0.183976,1.11346,0.010673,0.081869,1.78048,,0.854325,0.021572,0.52309,
6,488,2.31534,4.36362,0.041026,22.9032,0.517585,0.042562,0.053065,2.37065,0.484996,0.476401,6.01435,0.093997,0.244,0.27469,3.02056,1.58893,4.07983,1.11723,6.54724,0.950594,0.517672,2.64479,1.30427,2.07972,0.182113,0.821781,1.21225,0.504409,0.479592,0.104197,1.94475,22.9032,2.84808,0.06885,1.20785,8.89929,0.041026,0.167425,0.529105,0.65221,0.07312,0.067825,14.3141,1.68149,0.201492,1.0041,0.221714,0.382265,3.5828,0.13274,15.0824,0.96884,1.00836,0.0565
7,578,0.876402,1.29559,0.00468,5.38634,,0.035858,0.496906,0.469754,0.413572,0.52258,0.257128,0.014473,0.15208,0.259208,1.57954,0.340002,1.11854,0.255349,1.32151,0.899201,0.796394,0.510617,1.44009,0.33241,0.036781,0.419453,0.348676,0.097421,0.489145,0.010216,0.724554,4.91925,0.26122,0.156493,1.24334,5.38634,0.34114,0.137717,0.591985,0.89801,0.242216,0.00468,5.3179,0.542005,0.149697,1.18121,0.015145,0.055133,2.72511,0.572794,3.062,0.070634,0.851834,
8,614,0.877223,1.29534,0.00666,5.38634,,0.035858,0.496906,0.469754,0.413572,0.52258,0.277877,0.014473,0.15208,0.259208,1.57954,0.340002,1.11854,0.255349,1.32151,0.899201,0.813077,0.510617,1.44009,0.33241,0.036781,0.419453,0.348676,0.097421,0.489145,0.010216,0.724554,4.91925,0.26122,0.156493,1.24334,5.38634,0.34114,0.137717,0.591985,0.89801,0.242216,0.00666,5.3179,0.542005,0.149697,1.18121,0.015145,0.055133,2.72511,0.572794,3.062,0.070634,0.851834,
9,694,0.836459,1.29184,0.007025,5.41263,,0.035705,0.49905,0.470905,0.415298,0.52258,0.280813,0.014152,0.151045,0.261377,1.57502,0.338081,1.13209,0.251362,1.32389,0.899201,0.814376,0.513448,1.43837,0.327874,0.037305,0.419453,0.348424,0.097994,0.48617,0.010397,,4.99472,0.264186,0.157268,1.24334,5.41263,0.341965,0.138436,0.593488,0.899425,0.241925,0.007025,5.34216,0.5365,0.150773,1.18121,0.015269,0.053737,2.73692,0.574121,,0.071825,0.855837,
10,772,0.841184,1.28979,0.006245,5.35893,,0.015986,0.557605,0.428309,0.483785,0.55457,,0.00914,0.1549,0.303841,1.50378,0.24644,1.10905,0.1732,1.30229,0.94418,0.881665,0.441,1.24189,0.24554,0.05581,0.33829,0.370665,0.073288,0.42874,0.019213,,5.35893,0.239264,0.197584,1.26416,4.9531,0.404321,0.17165,0.637352,0.978826,0.261796,0.020122,5.2033,,0.208225,1.23965,0.006245,0.041785,2.46544,0.620033,,0.062728,0.794386,
11,808,0.850359,1.28612,0.006245,5.35893,,0.170068,0.557605,0.428309,0.483785,0.55457,,0.00914,0.1549,0.303841,1.50378,0.24644,1.10905,0.1732,1.30229,0.94418,0.881665,0.441,1.24189,0.24554,0.05581,0.33829,0.620309,0.073288,0.42874,0.019213,,5.35893,0.239264,0.197584,1.26416,4.9531,0.404321,0.17165,0.637352,0.978826,0.261796,0.020122,5.2033,,0.208225,1.23965,0.006245,0.041785,2.46544,0.620033,,0.062728,0.794386,
12,858,2.07383,3.81848,0.000697,20.3189,0.304609,0.043009,0.000697,3.50484,0.227933,0.437693,6.69269,0.107897,0.529105,0.183528,2.86148,1.31974,4.09571,0.6929,6.43659,1.00159,0.458429,3.25136,0.89317,1.22562,0.246852,1.05461,0.433714,0.346842,0.537949,0.389133,1.99112,20.3189,2.28919,0.042088,1.01469,9.20207,0.003177,0.034578,0.393732,0.711154,0.043877,0.056785,10.511,0.668552,0.084202,0.90952,0.440084,0.262505,3.03012,0.032904,12.4766,0.795241,1.09178,0.010064
13,948,1.13725,1.93032,0.00914,8.73533,,0.016132,0.298061,1.04138,0.22536,0.612745,0.758101,0.036697,0.058472,0.178469,2.06266,0.548496,1.63892,0.268882,2.12728,0.969301,0.703498,0.963625,1.55552,0.232249,0.074792,0.723673,0.247241,0.108968,0.675065,0.04097,1.16904,8.73533,0.335861,0.0641,1.12604,6.63453,0.179545,0.054293,0.570256,0.933589,0.176346,0.00914,7.46161,0.316224,0.060281,1.10186,0.101258,0.06628,2.64954,0.394277,5.28364,0.095314,0.902929,
14,984,1.13688,1.93054,0.00914,8.73533,,0.016132,0.298061,1.04138,0.22536,0.6269,0.754192,0.036697,0.058472,0.178469,2.06266,0.548496,1.63892,0.268882,2.12728,0.969301,0.703498,0.963625,1.55552,0.204209,0.074792,0.723673,0.247241,0.108968,0.675065,0.04097,1.16904,8.73533,0.335861,0.0641,1.12604,6.63453,0.179545,0.054293,0.570256,0.933589,0.176346,0.00914,7.46161,0.316224,0.060281,1.10186,0.101258,0.06628,2.64954,0.394277,5.28364,0.095314,0.902929,
15,1020,1.12916,1.90687,0.00914,8.73533,,0.016132,0.298061,1.04138,0.22536,0.6269,0.754192,0.036697,0.058472,0.178469,2.06266,0.548496,1.63892,0.268882,2.12728,0.969301,0.703498,0.940666,1.55552,0.204209,0.074792,0.723673,0.247241,0.108968,0.675065,0.04097,1.16904,8.73533,0.335861,0.0641,1.12604,6.63453,0.179545,0.054293,0.570256,0.933589,0.176346,0.00914,7.11401,0.316224,0.060281,1.10186,0.101258,0.06628,2.64954,0.394277,5.28364,0.095314,0.902929,
16,1100,1.13393,1.8467,0.00914,8.73533,,0.016132,0.970154,0.785909,0.22536,0.6269,0.754192,0.036697,0.058472,0.178469,2.06266,0.548496,1.63892,0.268882,2.1832,0.969301,0.703498,0.417301,1.55552,0.204209,0.074792,0.723673,0.91269,0.108968,0.675065,0.04097,1.16904,8.73533,0.335861,0.0641,1.12604,6.54363,0.635528,0.054293,0.570256,0.933589,0.176346,0.00914,6.37602,0.316224,0.060281,1.10186,0.101258,0.05389,2.64954,0.394277,5.28364,0.095314,0.902929,
17,1180,1.05045,1.68004,0.00914,8.73533,,0.016132,1.13667,0.785909,0.22536,0.6269,0.818177,0.036697,0.057217,0.178469,2.06266,0.359901,1.63892,0.268882,0.812232,1.03472,0.703498,0.417301,1.55552,0.204209,0.087725,0.591329,0.938282,0.073665,0.675065,0.016141,1.34353,8.73533,0.401444,0.12301,1.20548,5.2978,0.635528,0.054293,0.570256,0.933589,0.177073,0.00914,4.70961,0.316224,0.060281,1.10186,0.046034,0.05389,2.64954,0.394277,5.28364,0.095314,0.902929,
18,1216,1.0304,1.68112,0.00914,8.73533,,0.016132,1.13667,0.785909,0.22536,0.6269,0.818177,0.036697,0.057217,0.178469,2.06266,0.359901,1.63892,0.268882,0.812232,0.852197,0.703498,0.417301,1.55552,0.204209,0.087725,0.591329,0.938282,0.073665,0.675065,0.016141,0.563396,8.73533,0.401444,0.12301,1.20548,5.2978,0.635528,0.054293,0.570256,0.933589,0.177073,0.00914,4.70961,0.316224,0.060281,1.10186,0.046034,0.05389,2.64954,0.394277,5.28364,0.095314,0.902929,
19,1296,1.0301,1.68575,0.00914,8.73533,,0.016132,1.21675,0.785909,0.22536,0.6269,0.47617,0.036697,0.08936,0.178469,2.06266,0.2089,1.63892,0.268882,0.812232,0.855268,0.703498,0.417301,1.55552,0.204209,0.12218,0.551345,1.05646,0.07696,0.675065,0.016141,0.563396,8.73533,0.226946,0.12301,1.24381,5.2978,0.635528,0.054293,0.570256,0.933589,0.171865,0.00914,4.70961,0.316224,0.060281,1.10186,0.046034,0.05389,2.64954,0.394277,5.28364,0.095314,1.29191,
20,1332,1.03002,1.68579,0.00914,8.73533,,0.016132,1.21675,0.785909,0.22536,0.6269,0.47617,0.036697,0.08936,0.178469,2.06266,0.2089,1.63892,0.268882,0.812232,0.855268,0.703498,0.417301,1.55552,0.204209,0.12218,0.551345,1.05646,0.07696,0.675065,0.016141,0.563396,8.73533,0.223184,0.12301,1.24381,5.2978,0.635528,0.054293,0.570256,0.933589,0.171865,0.00914,4.70961,0.316224,0.060281,1.10186,0.046034,0.05389,2.64954,0.394277,5.28364,0.095314,1.29191,
21,1412,1.08253,1.7724,0.010177,9.17504,,0.014701,1.22165,0.798289,0.231877,0.633338,0.471869,0.034885,0.09028,0.182117,2.05586,0.205621,1.6994,0.260402,0.838018,0.852658,0.710674,0.437365,1.54864,0.192593,0.121829,0.545641,1.05812,,0.656617,0.016141,0.600548,9.17504,0.221282,0.121426,1.24381,5.38609,0.629172,0.055226,0.576221,0.941981,0.170873,0.010177,4.76818,0.313972,0.063172,1.10937,0.04626,0.054925,2.67987,,5.3965,0.099725,1.25402,
22,1490,0.838011,1.57358,0.000449,9.90085,,0.060916,1.5401,0.505738,0.530029,0.914141,0.0324,0.00842,0.330161,0.334564,1.20029,0.000449,1.32033,0.069049,0.222553,0.839492,0.951001,0.139837,,0.063172,0.306065,0.055346,1.3798,,0.131122,0.055962,0.247477,9.90085,0.045305,0.239156,1.41829,1.69704,0.708292,0.153585,0.673562,1.22353,0.388786,0.114725,1.38931,0.553552,0.170914,1.36668,0.017992,0.33461,1.3957,,3.82606,0.016132,,
23,1566,0.808487,1.46315,0.000128,8.9058,,0.073421,1.56784,0.529546,0.532768,0.988465,0.038169,0.013842,0.377714,0.352832,1.09052,0.000128,1.05707,0.069857,0.228085,0.836146,0.964745,0.12356,,0.069709,0.343961,0.046289,1.37835,,0.12205,0.06577,0.224714,8.9058,0.051124,0.249649,,1.73915,0.701584,0.1721,0.673081,1.23749,0.445925,0.123529,1.4992,0.578938,0.16501,1.37801,0.023176,,1.18614,,3.71609,0.014869,,
24,1640,0.586319,0.642646,0.008425,3.14977,,0.209753,1.89706,,0.610504,1.30581,0.061625,0.10553,0.994549,0.502961,0.720458,0.1096,0.07632,0.128449,0.008425,0.906461,1.14914,0.035081,,0.206065,0.647028,0.092381,1.24297,,0.023417,0.257405,0.075793,3.14977,0.4514,0.363402,,0.26452,0.853621,0.299636,0.702602,1.45296,0.82058,0.21521,0.090765,1.0036,0.153905,1.554,0.185202,,0.25985,,,0.264953,,
