iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,4,100,4.18178,5.19652,0.75,10,2.61928,2.58343
1,4,100,4.18178,5.19652,1,10,2.0799,1.62919
1,4,100,4.18178,5.19652,1.1,10,1.90794,1.33322
1,4,100,4.18178,5.19652,0.75,100,5.15463,7.28348
1,4,100,4.18178,5.19652,1,100,4.98356,6.96214
1,4,100,4.18178,5.19652,1.1,100,4.91709,6.83651
1,4,100,4.18178,5.19652,0.75,1000,5.64908,8.2211
1,4,100,4.18178,5.19652,1,1000,5.62949,8.18226
3,4,100,5.92003,7.43001,0.75,10,2.66398,2.2954
3,4,100,5.92003,7.43001,1,10,2.58854,2.07108
3,4,100,5.92003,7.43001,1.1,10,2.57523,2.00779
3,4,100,5.92003,7.43001,0.75,100,3.35709,3.76499
3,4,100,5.92003,7.43001,1,100,3.29592,3.64435
3,4,100,5.92003,7.43001,1.1,100,3.27234,3.59604
3,4,100,5.92003,7.43001,0.75,1000,3.54084,4.1298
3,4,100,5.92003,7.43001,1,1000,3.53403,4.11585
4,3,7.5,2.19302,1.83205,0.75,0.75,10.5929,16.4186
4,3,7.5,2.19302,1.83205,1,0.75,13.3715,20.6277
4,3,7.5,2.19302,1.83205,1.1,0.75,13.6423,20.5681
4,3,7.5,2.19302,1.83205,0.75,7.5,2.17846,2.22473
4,3,7.5,2.19302,1.83205,1,7.5,2.50142,2.74751
4,3,7.5,2.19302,1.83205,1.1,7.5,2.65526,3.00191
4,3,7.5,2.19302,1.83205,0.75,75,1.62687,1.36152
4,3,7.5,2.19302,1.83205,1,75,1.64372,1.38775
5,3,56.25,2.23126,1.81484,0.75,5.625,1.17131,1.7552
5,3,56.25,2.23126,1.81484,1,5.625,1.19066,1.77397
5,3,56.25,2.23126,1.81484,1.1,5.625,1.19885,1.78035
5,3,56.25,2.23126,1.81484,0.75,56.25,1.14673,1.70362
5,3,56.25,2.23126,1.81484,1,56.25,1.14719,1.70719
5,3,56.25,2.23126,1.81484,1.1,56.25,1.14612,1.70678
5,3,56.25,2.23126,1.81484,0.75,562.5,1.14803,1.69622
5,3,56.25,2.23126,1.81484,1,562.5,1.14735,1.69495
7,4,100,4.53726,5.24596,0.75,10,1.91428,2.53537
7,4,100,4.53726,5.24596,1,10,1.78952,2.42352
7,4,100,4.53726,5.24596,1.1,10,1.7472,2.38447
7,4,100,4.53726,5.24596,0.75,100,2.37192,2.89662
7,4,100,4.53726,5.24596,1,100,2.34369,2.8754
7,4,100,4.53726,5.24596,1.1,100,2.33311,2.86885
7,4,100,4.53726,5.24596,0.75,1000,2.44918,2.9544
7,4,100,4.53726,5.24596,1,1000,2.44587,2.95367
8,3,7.5,2.63319,2.10084,0.75,0.75,6.17051,5.65115
8,3,7.5,2.63319,2.10084,1,0.75,8.09829,8.54234
8,3,7.5,2.63319,2.10084,1.1,0.75,9.12736,10.1657
8,3,7.5,2.63319,2.10084,0.75,7.5,3.87799,2.81478
8,3,7.5,2.63319,2.10084,1,7.5,4.06111,2.98927
8,3,7.5,2.63319,2.10084,1.1,7.5,4.13881,3.06527
8,3,7.5,2.63319,2.10084,0.75,75,3.47293,2.45117
8,3,7.5,2.63319,2.10084,1,75,3.48965,2.46576
9,3,56.25,2.63629,2.10409,0.75,5.625,2.27497,3.4048
9,3,56.25,2.63629,2.10409,1,5.625,2.45117,3.68524
9,3,56.25,2.63629,2.10409,1.1,5.625,2.52997,3.81117
9,3,56.25,2.63629,2.10409,0.75,56.25,1.89984,2.85818
9,3,56.25,2.63629,2.10409,1,56.25,1.91628,2.87567
9,3,56.25,2.63629,2.10409,1.1,56.25,1.92364,2.8839
9,3,56.25,2.63629,2.10409,0.75,562.5,1.85442,2.80865
9,3,56.25,2.63629,2.10409,1,562.5,1.85628,2.80998
10,3,421.875,2.53509,2.08928,0.75,42.1875,1.08632,0.664615
10,3,421.875,2.53509,2.08928,1,42.1875,1.07558,0.669513
10,3,421.875,2.53509,2.08928,1.1,42.1875,1.07166,0.672029
10,3,421.875,2.53509,2.08928,0.75,421.875,1.11685,0.649088
10,3,421.875,2.53509,2.08928,1,421.875,1.11498,0.649484
10,3,421.875,2.53509,2.08928,1.1,421.875,1.11504,0.650029
10,3,421.875,2.53509,2.08928,0.75,4218.75,1.12001,0.647333
10,3,421.875,2.53509,2.08928,1,4218.75,1.12001,0.647333
11,3,31.6406,2.52598,2.11515,0.75,3.16406,3.22223,2.00484
11,3,31.6406,2.52598,2.11515,1,3.16406,3.20975,1.71265
11,3,31.6406,2.52598,2.11515,1.1,3.16406,3.22096,1.59358
11,3,31.6406,2.52598,2.11515,0.75,31.6406,3.556,2.86103
11,3,31.6406,2.52598,2.11515,1,31.6406,3.52829,2.80736
11,3,31.6406,2.52598,2.11515,1.1,31.6406,3.5167,2.78616
11,3,31.6406,2.52598,2.11515,0.75,316.406,3.64247,3.02028
11,3,31.6406,2.52598,2.11515,1,316.406,3.64068,3.01573
13,4,100,4.3299,4.84474,0.75,10,1.28802,1.30368
13,4,100,4.3299,4.84474,1,10,1.25498,1.34654
13,4,100,4.3299,4.84474,1.1,10,1.24425,1.3635
13,4,100,4.3299,4.84474,0.75,100,1.41215,1.17046
13,4,100,4.3299,4.84474,1,100,1.40554,1.17742
13,4,100,4.3299,4.84474,1.1,100,1.40332,1.1806
13,4,100,4.3299,4.84474,0.75,1000,1.43272,1.15361
13,4,100,4.3299,4.84474,1,1000,1.43192,1.15437
14,3,7.5,2.92835,2.52057,0.75,0.75,4.48045,2.34722
14,3,7.5,2.92835,2.52057,1,0.75,4.73808,2.41208
