iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,base
0,50,4.18178,5.19652,0.0895885,25.5378,15.3224,3.62184,1.20907,3.26293,3.90355,3.10392,10.8988,0.968443,5.35405,5.11649,0.371021,0.525373,2.09451,0.238726,2.78772,6.63822,0.817537,2.44484,0.479607,5.09899,4.20524,1.29493,13.9893,0.0895885,9.21428,0.379903,6.16078,25.5378,4.18359,1.71924,3.87328,11.7297,0.423478,4.31238,1.21373,1.70567,0.921619,8.15107,6.71734,1.14962,2.79585,0.226375,0.776208,2.57167,0.320245,0.255201,18.1723,1.35284,0.887536,0.5
1,140,2.30986,2.14711,0.0576191,9.9641,,3.01174,0.997238,3.0805,3.14945,2.69572,4.31993,0.725021,4.57912,4.25396,0.258083,0.269562,1.70406,0.192425,1.79265,4.55702,0.784216,1.76238,0.437692,4.61182,1.73788,1.18131,9.9641,0.0576191,8.11532,0.349606,5.38207,2.52966,3.44739,1.57301,3.58798,1.66672,0.332252,3.63,1.03043,1.56853,0.860299,6.44399,2.71099,1.07202,1.6371,0.213201,0.743665,1.86647,0.30233,0.226047,3.82776,0.912171,0.720678,
2,190,5.92003,7.43001,0.016762,35.0436,16.5435,3.38135,2.66602,5.72964,2.71877,1.37128,22.8599,0.588184,9.90739,3.51838,1.43325,3.03815,8.92494,1.33314,13.5624,6.16722,0.746657,5.5081,0.833879,6.31194,4.3616,2.0043,15.7337,2.78568,6.86799,0.454844,9.48401,35.0436,14.1214,1.2584,2.99188,9.80125,1.56358,3.75258,0.111144,1.18378,2.1412,4.5873,16.5824,0.80823,2.85887,0.799984,1.3599,2.17404,0.71582,0.114217,27.6584,7.3207,0.199775,0.016762
3,280,2.19302,1.83205,0.030622,7.10005,,3.99659,0.975248,3.08849,2.7825,1.45279,2.92816,1.44992,5.00608,3.89798,0.361743,0.0439101,1.66037,0.518696,1.79069,6.33912,0.690013,2.64964,0.3835,3.75673,4.67003,1.58864,6.6498,0.251392,7.10005,0.632845,4.67097,1.58764,3.59901,1.44506,3.18964,1.55766,0.295102,3.95804,1.38286,1.14553,1.00725,4.33331,1.57329,1.62767,3.2589,1.09911,1.11032,0.507923,0.030622,0.142164,1.55101,1.40914,0.117998,
4,360,2.23126,1.81484,0.0492068,7.0628,,3.97827,0.9705,3.09937,2.78728,1.43444,3.05582,1.48013,5.09805,,0.344666,0.055716,1.78589,0.565571,1.75522,6.37395,0.68456,2.68058,0.34437,3.66367,4.69764,1.60215,6.44478,0.300009,7.0628,0.639418,4.70957,1.98139,3.65642,1.44201,3.1928,1.83084,0.287567,3.94573,1.47765,1.14244,1.04904,4.34377,1.51033,1.68018,3.27135,1.10622,1.13252,0.482508,0.0492068,,1.80824,1.54421,0.088933,
5,438,2.19684,1.82082,0.0425376,7.07581,,4.03776,0.933257,3.11367,2.88732,1.48432,,1.54382,5.14871,,0.334432,0.0640934,1.8296,0.637682,1.67979,6.42724,0.699239,2.68418,0.337383,3.60767,4.87129,1.62088,6.18688,0.293925,7.07581,0.667477,4.71491,2.44883,3.63048,1.46125,3.21844,1.93233,0.260606,4.00835,1.58752,1.15422,1.04056,,1.42731,1.7509,3.36978,1.1316,1.15513,0.466872,0.0425376,,2.01478,1.57627,0.10206,
6,488,4.53726,5.24596,0.0275115,26.245,9.6532,3.89593,2.52337,5.48382,2.56504,1.68373,17.3704,1.34819,9.53216,3.93916,0.107628,0.942246,6.39407,0.435665,7.92762,7.68201,0.614763,5.51139,0.143516,3.81077,6.86643,1.74017,11.858,1.13385,6.62697,0.553984,6.78264,26.245,9.30217,1.29297,3.14025,6.81502,1.17767,3.67088,0.900876,1.15339,1.74346,5.57592,7.58523,0.744415,3.45586,1.02227,1.33513,0.776678,0.554064,0.126931,18.543,4.49124,0.0275115,0.0565
7,578,2.63319,2.10084,0.0194885,7.64708,,4.10605,1.24267,3.61876,2.37881,1.76932,4.98988,1.79956,6.06468,3.82142,0.0489595,0.217955,2.80572,0.751278,2.30415,7.64708,0.648364,3.1332,0.0875204,3.43811,5.88097,1.69894,6.79539,0.42008,6.2477,0.596769,5.25815,6.50182,4.11298,1.35877,3.24861,3.91951,0.416688,3.61704,1.89222,1.20794,1.19685,4.6319,2.06598,1.1611,3.27096,1.18292,1.23653,0.376154,0.243896,0.117113,4.87596,1.96719,0.0194885,
8,614,2.63629,2.10409,0.0194885,7.64708,,4.10605,1.24267,3.61876,2.37881,1.76932,5.08438,1.79956,6.06468,3.82142,0.0489595,0.217955,2.80572,0.751278,2.30415,7.64708,0.652099,3.1332,0.0875204,3.43811,5.88097,1.69894,6.79539,0.42008,6.2477,0.596769,5.25815,6.50182,4.11298,1.35877,3.24861,3.91951,0.416688,3.61704,1.89222,1.20794,1.19685,4.6823,2.06598,1.1611,3.27096,1.18292,1.23653,0.376154,0.243896,0.117113,4.87596,1.96719,0.0194885,
9,694,2.53509,2.08928,0.0189052,7.64708,,4.10978,1.24003,3.62223,2.38317,1.76932,5.09753,1.80409,6.07499,3.82898,0.0495132,0.218672,2.82079,0.757904,2.30467,7.64708,0.65229,3.13473,0.0875527,3.43424,5.89024,1.69894,6.76833,0.42107,6.24838,0.597985,,6.58846,4.1164,1.36067,3.24861,3.94121,0.415644,3.62077,1.90033,1.2077,1.19702,4.69074,2.06965,1.16686,3.27552,1.18292,1.2396,0.373066,0.247069,0.117037,,1.97343,0.0189052,
