obsnme,obsval,weight,obgnme,extra,standard_deviation
h01_01,1.5,10.438362963529036,og1a,,0.1
h01_02,1.7,10.775811668685131,og1a,,0.1
h01_03,1.9,10.39046666286576,og1a,,0.1
h01_04,2.1,12.408874564480204,og1a,,0.1
h01_05,2.3,5.0,og1b,,0.1
h01_06,2.5,5.0,og1b,,0.1
h01_07,2.7,5.0,og1b,,0.1
h01_08,2.9,5.0,og1b,,0.1
h01_09,3.1,1.0,og3blahblah,,0.1
h01_10,3.3,1.0,og3blahblah,,0.1
h02_01,1.5,1.0,og3blahblah,,0.1
h02_02,1.9,1.0,og3blahblah,,0.1
h02_03,1e-09,1.0,og4yadayada,,1e-11
h02_04,1e-09,1.0,og4yadayada,,1e-11
h02_05,1e-09,1.0,og4yadayada,,1e-11
h02_06,1e-09,1.0,og4yadayada,,1e-11
h02_07,1e-09,1.0,og4yadayada,,1e-11
h02_08,1e-09,1.0,og4yadayada,,1e-11
h02_09,1e-09,1.0,og4yadayada,,1e-11
h02_10,1e-09,1.0,og4yadayada,,1e-11
