var_name,0,1,2,3,4,5,6,7,8,base
h01_01,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
h01_02,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
h01_03,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
h01_04,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
h01_05,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
h01_06,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
h01_07,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
h01_08,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
h01_09,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
h01_10,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
h02_01,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
h02_02,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
h02_03,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
h02_04,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
h02_05,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
h02_06,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
h02_07,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
h02_08,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
h02_09,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
h02_10,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
