real_name,obj_1,obj_2
0||gen=0_member=0,1.94449,47.3729
1||gen=0_member=0,1.29653,47.4101
2||gen=0_member=0,1.41738,47.2443
3||gen=0_member=0,1.9163,48.1244
4||gen=0_member=0,1.4441,47.2443
0||gen=0_member=1,0.49733,54.8075
1||gen=0_member=1,-0.150631,54.8448
2||gen=0_member=1,-0.0297813,54.6789
3||gen=0_member=1,0.46914,55.559
4||gen=0_member=1,-0.00306496,54.6789
0||gen=0_member=2,3.06932,31.1156
1||gen=0_member=2,2.42136,31.1529
2||gen=0_member=2,2.54221,30.987
3||gen=0_member=2,3.04113,31.8671
4||gen=0_member=2,2.56893,30.987
0||gen=0_member=3,5.57264,39.3665
1||gen=0_member=3,4.92468,39.4037
2||gen=0_member=3,5.04553,39.2379
3||gen=0_member=3,5.54445,40.118
4||gen=0_member=3,5.07225,39.2379
0||gen=0_member=4,1.78484,52.8731
1||gen=0_member=4,1.13688,52.9103
2||gen=0_member=4,1.25773,52.7445
3||gen=0_member=4,1.75665,53.6246
4||gen=0_member=4,1.28444,52.7445
0||gen=0_member=5,8.31523,39.9766
1||gen=0_member=5,7.66727,40.0139
2||gen=0_member=5,7.78812,39.848
3||gen=0_member=5,8.28704,40.7281
4||gen=0_member=5,7.81484,39.848
0||gen=0_member=6,8.51287,37.356
1||gen=0_member=6,7.8649,37.3932
2||gen=0_member=6,7.98575,37.2274
3||gen=0_member=6,8.48468,38.1075
4||gen=0_member=6,8.01247,37.2274
0||gen=0_member=7,7.42169,41.3297
1||gen=0_member=7,6.77373,41.367
2||gen=0_member=7,6.89458,41.2011
3||gen=0_member=7,7.3935,42.0812
4||gen=0_member=7,6.9213,41.2011
0||gen=0_member=8,3.39504,44.4507
1||gen=0_member=8,2.74707,44.4879
2||gen=0_member=8,2.86792,44.3221
3||gen=0_member=8,3.36685,45.2022
4||gen=0_member=8,2.89464,44.3221
0||gen=0_member=9,10.3583,32.1566
1||gen=0_member=9,9.71034,32.1939
2||gen=0_member=9,9.83119,32.028
3||gen=0_member=9,10.3301,32.9082
4||gen=0_member=9,9.8579,32.028
