real_name,dv_0,dv_1,dv_10,dv_11,dv_12,dv_13,dv_14,dv_15,dv_16,dv_17,dv_18,dv_19,dv_2,dv_20,dv_21,dv_22,dv_23,dv_24,dv_25,dv_26,dv_27,dv_28,dv_29,dv_3,dv_4,dv_5,dv_6,dv_7,dv_8,dv_9,obj2_add_par,obj1_add_par,_risk_
gen=9_member=90_de,0.288167,0,1,0.146435,0.843329,0.0680598,0.0326307,0,0,0.511061,0,0.446501,1,0,0.080059,0.230581,1,0.71488,0.49729,0.970776,0.692217,0,0.615616,0.056729,0.232465,0.346468,0.251103,0,0.34105,0.829643,0,0,0.99
gen=9_member=91_de,0,0.237032,0.162258,0.828716,0,1,0.589653,0.0893337,0,0,0.73141,0.541487,0.801166,1,0.708431,0,0.959463,0.836923,1,1,1,0,1,0,0,0.270542,0.206224,0,1,0.956686,0,0,0.01
gen=9_member=92_de,0.209915,0.251414,0.593187,0,0.0902391,0.806384,0.0509854,0,0.196548,0.2,0.755662,0.583021,0.2,0.177402,0,0.391244,1,0.758443,1,1,0.610204,0,0.973653,0,0.511058,0.0306935,0,0.157208,0.300553,0.29369,0,0,0.01
gen=9_member=93_de,0.8,0.202219,0,0.977539,1,0.460528,0.844951,0,0.0491371,0.8674,1,0.688981,0,0.859055,0,1,0.341199,0.64268,0,0.622456,0.715363,0.913875,0,0.927284,0,0.605019,0.259575,0,0.527732,1,0,0,0.99
gen=9_member=94_de,0.058194,0.324329,0,0.695773,0,0.19523,0.844951,0.0893337,0.245686,0.0614743,0.85767,0.22531,0,0.311921,0.545798,0.677204,0.939284,0.280106,0.852396,1,0.835403,0.0453741,0.730763,0.580043,0.399497,0.0254318,0,0.125766,0.830546,0.146587,0,0,0.0540906
gen=9_member=95_de,0.238787,0.0744903,0.942822,0.670289,0.8,0.58851,0.283758,0,0.245686,0.467805,0.914637,0.519901,0.398369,0,0,0.230844,0.683344,0.316323,0.272254,0.652013,0.619974,0.459537,0.886508,1,0.102145,0,0.262128,0.0452759,0.200484,0.956686,0,0,0.931759
gen=9_member=96_de,0.0787868,0,0.160537,0.97774,0,0.126474,0.102312,0.0893337,0,0.734535,1,0.575388,0,0,0.182755,0.167404,0.491371,0.201524,1,1,0.879275,0.219776,0.83624,0,0.102145,0.0896777,0.0946693,0,0.469146,1,0,0,0.01
gen=9_member=97_de,0.538319,0.273121,0.639757,0.000192276,0,1,0.62533,0,0.196548,0.659273,0,0.469962,0.515976,1,0.841795,0.807065,0.851568,0.854445,1,0.526186,0.897313,0.086056,1,0.152113,0,0.0306935,0.105828,0.100613,0.625588,1,0,0,0.268556
gen=9_member=98_de,0.00083424,0.0517983,0.14222,0,0.401076,1,1,0.0714669,0.196548,0,1,0.366205,0,1,0.800356,0,0.749361,0.656808,0.272254,1,0.704254,0.339726,0.465913,0.312162,1,0,0.400268,0,0.671758,0.820143,0,0,0.99
gen=9_member=99_de,1,0.0525094,0.166082,0,0.863796,0.906094,1,0.0893337,0.0491371,0.0909691,0.465705,0.762569,0.754261,0.305545,0,1,1,0.692632,0,0.403718,0.581181,0.317154,0.18059,1,0.429598,0,0.122554,0.0251533,0,0.842359,0,0,0.698313
