,k_01,k_02,k_03,k_04,k_05,k_06,k_07,k_08,k_09,k_10
0,-0.00048514480859938023,0.0003460942943104121,0.0005392729372831448,-0.0008932266888266273,0.0002093179001021364,-0.0003241790836576878,0.0003842092821693708,0.00010379546755763727,-0.0006067181450029329,-6.236309419208043e-05
2,-0.00018796284195659512,0.000130395345780036,0.00020621096262441415,-0.0003454749183322084,8.240988588434178e-05,-0.0001262578835614937,0.0001554980706660035,3.9059277605749443e-05,-0.0002344437293907219,-2.266580610022901e-05
4,-0.0003369442364525038,0.00024275065062840883,0.0003762945496067892,-0.0006207358279152246,0.0001445899730504822,-0.00022472452704563073,0.0002625183153466614,7.280523004472369e-05,-0.0004217689705564905,-4.42881273687848e-05
6,-0.0003714948218768376,0.00026817272981054707,0.00041528642680989776,-0.0006843930243716487,0.00015958264752472253,-0.00024766934021073535,0.00028821663976188945,8.027436677777498e-05,-0.0004650417279432024,-4.911385671627894e-05
12,0.0002465723307473614,-0.00017368004089265884,-0.00027243376833017334,0.0004536824813109348,-0.00010689682405118323,0.00016516166442991176,-0.00019947317477668307,-5.218587134512367e-05,0.0003080387442277215,3.074212244520173e-05
16,0.00033660413629929114,-0.00024021312467434875,-0.0003742183529256384,0.0006197741330943532,-0.00014510865007025944,0.00022490839793787187,-0.00026648767969373433,-7.20835732005055e-05,0.0004209852932163126,4.328565925187866e-05
17,-5.269610472738323e-05,3.906860929964158e-05,5.968368079629604e-05,-9.715601685767617e-05,2.2674335750244783e-05,-3.4943473902955175e-05,3.8729999376048735e-05,1.1524077101061104e-05,-6.606469083644878e-05,-7.462492144890112e-06
18,0.00018323849236665332,-0.00013585902376512756,-0.00020753044135389648,0.0003378941683581848,-7.859264819292771e-05,0.00012150944998412747,-0.00013485023975511403,-4.0188606872290155e-05,0.00022977155868924963,2.5902868212196517e-05
19,-0.00023930596870520496,0.00016975414096519792,0.0002653644995036474,-0.000440094577752168,0.00010516555150308383,-0.0001600605755639473,0.0001900619839129989,5.0178399161135277e-05,-0.0002988238919531548,-3.0681053234484685e-05
20,0.00025049801679701954,-0.00017727088626660415,-0.0002773560287724255,0.0004611596801845287,-0.00010775951180695638,0.0001676501711917161,-0.00020157620262393363,-5.352439768402171e-05,0.0003131818584118448,3.145865493990218e-05
23,-0.00028570765131420825,0.00020656142670406966,0.0003196085409965042,-0.0005264586290764228,0.00012235918832750027,-0.0001904230313268726,0.00022128753314365105,6.195461509246748e-05,-0.0003577530373723712,-3.784934528669316e-05
25,-3.081221092467597e-05,2.1516567039999372e-05,3.391208378108723e-05,-5.663292992973278e-05,1.3560147842149305e-05,-2.0670738001002754e-05,2.5160222189218148e-05,6.400804878312861e-06,-3.8436909947758354e-05,-3.792597704079743e-06
29,0.00013175775144995592,-9.803892724352373e-05,-0.00014945238525365922,0.00024317258420858062,-5.5698107258385104e-05,8.731702564886152e-05,-9.6856122284344e-05,-2.9322244585761622e-05,0.00016540250812845922,1.863141092277111e-05
30,9.636158142765452e-05,-7.031936695866766e-05,-0.000108270058621234,0.00017769466231744405,-4.090457252301685e-05,6.410987315611937e-05,-7.35626147043367e-05,-2.115989693472142e-05,0.0001207943883909058,1.3003459514337995e-05
34,-0.0003678799448622236,0.00026057386133021126,0.0004075271423060553,-0.0006771382783785197,0.00015887268278321306,-0.00024616013263672635,0.00029508279816886434,7.835851798338493e-05,-0.000459848107759142,-4.643287100632714e-05
36,-0.00021191692128943472,0.00014842905134453642,0.00023349544181663413,-0.0003899287763123501,9.151539301431428e-05,-0.00014210588312144943,0.00017344297552976759,4.488828485624182e-05,-0.0002647231632003387,-2.5952142088670834e-05
38,-0.0003653602812521439,0.0002633980904427728,0.0004081624928190489,-0.000673092108094125,0.00015681771638123305,-0.00024364421952776294,0.0002842703540794672,7.895608058822633e-05,-0.000457350525482527,-4.811295257692167e-05
42,-0.00022698118754434075,0.0001641667235096833,0.0002539467682217721,-0.000418327285275383,9.686830962564344e-05,-0.00015127439732170336,0.00017592792580956073,4.93850926317911e-05,-0.00028428670908237655,-3.003277741824888e-05
43,-0.0004755239630684776,0.00033982663866578047,0.0005290192789883325,-0.0008756013350526858,0.00020498963026543466,-0.00031764366337248584,0.0003754932797998134,0.00010190764615194839,-0.0005947802531068981,-6.137434405615177e-05
47,-0.0003338546126569256,0.00023252372499434916,0.0003669148259455879,-0.0006139190948145903,0.00014538222581639396,-0.00022409959514178593,0.0002750412636343343,6.996759528528259e-05,-0.00041668915792384147,-4.049975365441396e-05
50,-5.8506661144976926e-05,3.7119285792381874e-05,6.162507370965021e-05,-0.00010700265653064317,2.6770703718124456e-05,-3.992000988995253e-05,5.4722214687178065e-05,1.11252459797679e-05,-7.241223059786315e-05,-5.628376624661617e-06
51,-0.0003765158142213757,0.000267718449803286,0.0004178748638588469,-0.0006930785918872723,0.00016277881643524968,-0.0002517491099831475,0.0002997537514252905,8.027156437820891e-05,-0.0004707164222929481,-4.804547588261207e-05
52,3.117814474509909e-05,-2.594441323583199e-05,-3.743016721084149e-05,5.777280911640675e-05,-1.3153115200454323e-05,2.0161401541971496e-05,-1.726891491526465e-05,-7.3632018611321074e-06,3.942734298201492e-05,5.706810967189436e-06
54,5.979624670891915e-05,-4.6058511074666466e-05,-6.895298200661583e-05,0.00011075114183417925,-2.409476201416978e-05,3.935549253650048e-05,-4.1615828308175786e-05,-1.4083328771007676e-05,7.544337964170199e-05,8.966130593762167e-06
56,0.0002165025348390924,-0.0001637851377241015,-0.00024760537237270567,0.0003997793700793397,-9.16043452679538e-05,0.00014298653985826777,-0.00015353655397853553,-4.8548307592463514e-05,0.0002720491577749371,3.190754460082918e-05
58,-8.030216188204057e-05,5.586423762412967e-05,8.822183422134944e-05,-0.00014757700743883568,3.534594949485846e-05,-5.391024305479084e-05,6.600522535403658e-05,1.6647199470445947e-05,-0.000100150619957759,-9.784770572116017e-06
59,0.00039747703263205323,-0.00028820412204482587,-0.00044530761943968616,0.0007322804062667921,-0.0001711172306310091,0.00026475421159920546,-0.0003054581577986622,-8.590958664308895e-05,0.0004976295732622448,5.3227776500562116e-05
60,0.0003433814995706872,-0.00024730307580222624,-0.0003834369498661262,0.0006324984021882531,-0.00014775483814905135,0.00022902879570837873,-0.0002674063758053078,-7.399934649253262e-05,0.0004297442691615365,4.51728450172874e-05
65,-0.00018143681943234898,0.0001251070367366928,0.00019849694590054885,-0.00033332445383571615,7.996895095733274e-05,-0.00012200828588853846,0.00015135428116556647,3.739669434661275e-05,-0.00022614849082403294,-2.1600154859871915e-05
67,-0.0004655363103264288,0.00033014999838770266,0.0005160081226732328,-0.0008569469468351122,0.00020093697873793047,-0.00031143246817882855,0.00037266081795184186,9.927027177287173e-05,-0.0005819798798424317,-5.8929518425867195e-05
68,4.705679212614548e-05,-3.459621677553176e-05,-5.3070027422239974e-05,8.677184033323828e-05,-2.008206632365926e-05,3.1259054208962914e-05,-3.531225747972903e-05,-1.0322823927085567e-05,5.899507045836594e-05,6.492958135112245e-06
69,0.0003301066209897876,-0.0002438722392183924,-0.00037317110717765287,0.0006088315862918498,-0.00014076481759725212,0.00021907084658304263,-0.00024537045707162747,-7.264348080542654e-05,0.0004139963348761343,4.6085461075007516e-05
71,0.00023989078395049651,-0.0001726584145606306,-0.00026774738083207945,0.000442083633846486,-0.00010222937945484825,0.00016003410887346453,-0.00018779181702501503,-5.2134723782829934e-05,0.0003003956497923714,3.1310435485401114e-05
74,-0.00033067882575165596,0.0002374022995481656,0.0003686800096323202,-0.0006090711288334228,0.0001421443944997947,-0.00022069529790671465,0.0002591772549860165,7.121498803159085e-05,-0.00041379576081625614,-4.311620140739079e-05
78,0.0004890823632552674,-0.0003583585867395002,-0.0005506787243450464,0.000901693850084457,-0.00020901651799650901,0.00032510778716468477,-0.0003693046406813154,-0.00010697251326898914,0.0006129830538879355,6.696509387598959e-05
80,-0.00020600812356699928,0.00014160641188697853,0.00022496215344049644,-0.00037885149738099314,8.889942951169709e-05,-0.00013863411120210943,0.00017419963877127745,4.326292360062114e-05,-0.0002570772284179509,-2.3941651119804758e-05
81,0.00011069239961749089,-8.042638921886102e-05,-0.00012413093531279831,0.00020397490522888872,-4.751711800142211e-05,7.370218608759288e-05,-8.482840453888555e-05,-2.4012136178744364e-05,0.00013862572804117468,1.4874769086317623e-05
82,0.00011459932680458986,-8.822612654237526e-05,-0.00013222858898786276,0.00021166796160088336,-4.8797308178206174e-05,7.540281184646277e-05,-7.787404255169836e-05,-2.5786266954557418e-05,0.000144102430177093,1.767703527175444e-05
84,0.0003195079832951984,-0.000227163928330938,-0.00035457367989732313,0.000588222912465217,-0.00013775421593901965,0.00021363997809017524,-0.00025469415328784316,-6.828780745183405e-05,0.00039951310094900284,4.0687308390675794e-05
85,-0.0002330737126220842,0.00016517148106860269,0.00025825502654569526,-0.0004290120605936101,0.00010066355872036185,-0.00015594185578226451,0.0001867756854248214,4.965335168698028e-05,-0.00029134796466875857,-2.9458781850689966e-05
89,0.00037591728795492924,-0.00027259063617232686,-0.00042116625394103096,0.0006925702535819803,-0.00016179843217112996,0.00025039048463479396,-0.00028887813737242323,-8.126957841448971e-05,0.0004706461826628056,5.034240758288381e-05
90,0.00044127764930958387,-0.00032476570109152384,-0.0004979085035540295,0.0008138006311205473,-0.00018802688583391918,0.00029307522962519436,-0.00033066641662865846,-9.69878919247264e-05,0.0005533181351035559,6.099070255693143e-05
91,-0.00012031766614398353,8.118459546945501e-05,0.00013026120958839062,-0.00022105328878430333,5.231774895590699e-05,-8.124107927215545e-05,0.00010458017637430911,2.485784202684462e-05,-0.00014991499764580436,-1.3339431759793746e-05
94,-0.00048644147479426825,0.00034903094861164823,0.0005422210228056174,-0.0008958152470916901,0.00020971185114893645,-0.00032468035465178894,0.0003812056734577219,0.00010445069244053341,-0.0006085773238502871,-6.345227368445683e-05
97,-0.0003833771372944605,0.00027303322386530894,0.0004257829057830539,-0.000705923828119949,0.00016493806176542342,-0.00025626646974352435,0.00030492397250255897,8.21688446170217e-05,-0.0004794871781639838,-4.8969456337185736e-05
99,0.00023071150938494807,-0.00017443697547150165,-0.00026380492091984274,0.00042589372872526605,-9.813363765577392e-05,0.00015238251092014731,-0.00016342405215989805,-5.1483392199551334e-05,0.000289798829664596,3.40570784712535e-05
