"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   1.11886543981E+02   1.52280000000E+02  h31.1       
   1.12028638581E+02   1.51400000000E+02  h31.2       
   1.12166727327E+02   1.51020000000E+02  h31.3       
   1.12260306498E+02   1.51490000000E+02  h31.4       
   1.12196310163E+02   1.51920000000E+02  h31.5       
   1.12101975653E+02   1.54830000000E+02  h31.6       
   1.12042566174E+02   1.53730000000E+02  h31.7       
   1.11990297153E+02   1.53920000000E+02  h31.8       
   1.11492944930E+02   1.63130000000E+02  h31.9       
   1.11466216989E+02   1.63460000000E+02  h31.10      
   1.11449190396E+02   1.62640000000E+02  h31.11      
   1.11359797859E+02   1.64110000000E+02  h31.12      
   1.11315020792E+02   1.64720000000E+02  h31.13      
   1.11275648449E+02   1.64500000000E+02  h31.14      
   1.11249767347E+02   1.63980000000E+02  h31.15      
   1.05130542570E+02   1.22290000000E+02  h39.1       
   1.05135010016E+02   1.21890000000E+02  h39.2       
   1.05149635320E+02   1.25590000000E+02  h39.3       
   1.05163794970E+02   1.27490000000E+02  h39.4       
   1.05178700259E+02   1.25890000000E+02  h39.5       
   1.05193914760E+02   1.24790000000E+02  h39.6       
   1.05224001082E+02   1.26040000000E+02  h39.7       
   1.05230089198E+02   1.20450000000E+02  h39.8       
   1.05238586090E+02   1.21440000000E+02  h39.9       
   1.05247605911E+02   1.25040000000E+02  h39.10      
   1.05258353428E+02   1.25490000000E+02  h39.11      
   1.05269221268E+02   1.25280000000E+02  h39.12      
   1.05280289619E+02   1.23960000000E+02  h39.13      
   1.05291822722E+02   1.28900000000E+02  h39.14      
   1.05302463456E+02   1.21970000000E+02  h39.15      
   1.05311736849E+02   1.25170000000E+02  h39.16      
   1.05326709838E+02   1.26490000000E+02  h39.17      
   1.05341047470E+02   1.26710000000E+02  h39.18      
   1.05356766850E+02   1.30180000000E+02  h39.19      
   1.05372607308E+02   1.32430000000E+02  h39.20      
   1.05381139547E+02   1.25910000000E+02  h39.21      
   1.05394003982E+02   1.27730000000E+02  h39.22      
   1.05405246364E+02   1.26300000000E+02  h39.23      
   1.05457134699E+02   1.26620000000E+02  h39.24      
   1.05487695400E+02   1.25410000000E+02  h39.25      
   1.01317966853E+02   1.13400000000E+02  h46.1       
   1.01292450805E+02   1.17600000000E+02  h46.2       
   1.01156128470E+02   1.18200000000E+02  h46.3       
   1.01396284719E+02   1.25000000000E+02  h46.4       
   1.01607159530E+02   1.26000000000E+02  h46.5       
   1.01796223465E+02   1.19100000000E+02  h46.6       
   1.01969039388E+02   1.16700000000E+02  h46.7       
   1.02111351190E+02   1.13900000000E+02  h46.8       
   1.01924083506E+02   1.15100000000E+02  h46.9       
   1.01749777489E+02   1.18370000000E+02  h46.10      
   1.01591238245E+02   1.14330000000E+02  h46.11      
   1.01558554280E+02   1.14330000000E+02  h46.12      
   1.01532883287E+02   1.21330000000E+02  h46.13      
   1.01587898036E+02   1.17420000000E+02  h46.14      
   1.01641658645E+02   1.19000000000E+02  h46.15      
   1.01688159018E+02   1.16990000000E+02  h46.16      
   1.01729106479E+02   1.22380000000E+02  h46.17      
   1.01763127528E+02   1.22080000000E+02  h46.18      
   1.01803256737E+02   1.18710000000E+02  h46.19      
   1.01845011310E+02   1.17180000000E+02  h46.20      
   1.01885776570E+02   1.20720000000E+02  h46.21      
   1.01916063572E+02   1.24660000000E+02  h46.22      
   1.01938581400E+02   1.24350000000E+02  h46.23      
   1.01959197340E+02   1.16770000000E+02  h46.24      
   1.01975321070E+02   1.22420000000E+02  h46.25      
   1.01993045405E+02   1.21960000000E+02  h46.26      
   1.02069020737E+02   1.22610000000E+02  h46.27      
   1.02088078665E+02   1.25840000000E+02  h46.28      
   6.42732981363E+01   7.60200000000E+01  h76.1       
   6.40646053917E+01   7.63400000000E+01  h76.2       
   6.32432972697E+01   7.68200000000E+01  h76.3       
   6.22401194529E+01   7.84500000000E+01  h76.4       
   6.13142770685E+01   8.16300000000E+01  h76.5       
   6.04348554490E+01   8.27000000000E+01  h76.6       
   5.95701664403E+01   8.26000000000E+01  h76.7       
   5.87256427681E+01   8.23300000000E+01  h76.8       
   5.79173061779E+01   8.15500000000E+01  h76.9       
   5.71177761266E+01   8.14700000000E+01  h76.10      
   5.63517332057E+01   8.12200000000E+01  h76.11      
   5.57410808869E+01   8.12900000000E+01  h76.12      
   5.49657503989E+01   7.80700000000E+01  h76.13      
   5.42914380624E+01   8.00200000000E+01  h76.14      
   5.28450217606E+01   8.03000000000E+01  h76.15      
   4.80120640275E+01   8.07200000000E+01  h76.16      
   4.53672058877E+01   8.02700000000E+01  h76.17      
   4.48440963390E+01   8.00400000000E+01  h76.18      
   4.38612931147E+01   7.86000000000E+01  h76.19      
   4.35150590795E+01   7.83800000000E+01  h76.20      
   4.27936328218E+01   7.74500000000E+01  h76.21      
   4.20773009840E+01   7.67800000000E+01  h76.22      
   4.13288886437E+01   7.57300000000E+01  h76.23      
   4.05905665441E+01   7.54000000000E+01  h76.24      
   6.11966467499E+01   1.09230000000E+02  h77.1       
   6.11966714737E+01   1.09790000000E+02  h77.2       
   6.11967660811E+01   1.11550000000E+02  h77.3       
   6.11968776376E+01   1.10370000000E+02  h77.4       
   6.11969761166E+01   1.09680000000E+02  h77.5       
   6.11970621651E+01   1.09660000000E+02  h77.6       
   6.11971486424E+01   1.10050000000E+02  h77.7       
   6.11972356230E+01   1.07200000000E+02  h77.8       
   6.11973193011E+01   1.07640000000E+02  h77.9       
   6.11974095894E+01   1.08650000000E+02  h77.10      
   6.11975139555E+01   1.01240000000E+02  h77.11      
   6.11975997444E+01   1.07790000000E+02  h77.12      
   6.11977115118E+01   1.08860000000E+02  h77.13      
   6.11977959099E+01   1.07710000000E+02  h77.14      
   6.11986793864E+01   1.05750000000E+02  h77.15      
   6.11990738540E+01   1.05320000000E+02  h77.16      
   6.11991904822E+01   1.02790000000E+02  h77.17      
   6.11992538270E+01   1.05630000000E+02  h77.18      
   6.11993266167E+01   1.04450000000E+02  h77.19      
   6.11994258237E+01   1.02430000000E+02  h77.20      
   6.11994899761E+01   1.01840000000E+02  h77.21      
   6.11995727247E+01   1.04830000000E+02  h77.22      
   1.00839976384E+02   1.11950000000E+02  h98.1       
   1.00758376449E+02   1.15390000000E+02  h98.2       
   1.00957872366E+02   1.23490000000E+02  h98.3       
   1.01149642607E+02   1.24360000000E+02  h98.4       
   1.01330933904E+02   1.16500000000E+02  h98.5       
   1.01496780344E+02   1.14100000000E+02  h98.6       
   1.01638631943E+02   1.14000000000E+02  h98.7       
   1.01436433632E+02   1.19950000000E+02  h98.8       
   1.01276466167E+02   1.19830000000E+02  h98.9       
   1.01139409238E+02   1.13550000000E+02  h98.10      
   1.01099379530E+02   1.17300000000E+02  h98.11      
   1.01076292854E+02   1.22230000000E+02  h98.12      
   1.01117960918E+02   1.18220000000E+02  h98.13      
   1.01157712723E+02   1.21050000000E+02  h98.14      
   1.01195193702E+02   1.17160000000E+02  h98.15      
   1.01227698956E+02   1.22750000000E+02  h98.16      
   1.01290897976E+02   1.20770000000E+02  h98.17      
   1.01331423148E+02   1.24880000000E+02  h98.18      
   1.01368046413E+02   1.20880000000E+02  h98.19      
   1.01393597883E+02   1.25000000000E+02  h98.20      
   1.01410215278E+02   1.21960000000E+02  h98.21      
   1.01430129748E+02   1.17260000000E+02  h98.22      
   1.01446084437E+02   1.20730000000E+02  h98.23      
   1.01463840491E+02   1.24100000000E+02  h98.24      
   1.01541799313E+02   1.23230000000E+02  h98.25      
   1.01572087063E+02   1.25180000000E+02  h98.26      
   1.23226953000E+02   1.39730000000E+02  h136.1      
   1.23234715730E+02   1.39560000000E+02  h136.2      
   1.23246809785E+02   1.40140000000E+02  h136.3      
   1.23251093715E+02   1.40550000000E+02  h136.4      
   1.23241763185E+02   1.40590000000E+02  h136.5      
   1.23236608957E+02   1.40620000000E+02  h136.6      
   1.23241787328E+02   1.40980000000E+02  h136.7      
   1.22957876777E+02   1.41260000000E+02  h136.8      
   1.23016864285E+02   1.41150000000E+02  h136.9      
   1.23052886550E+02   1.41560000000E+02  h136.10     
   1.23045503433E+02   1.41520000000E+02  h136.11     
