name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
RCH_0,0,0.0554622,-0.110924,0.110924,-0.0117294,0.00516199,-0.0220534,-0.0014054
RCH_1,0,0.0554622,-0.110924,0.110924,0,0.0554622,-0.110924,0.110924
HK00,0.69897,0.5,-0.30103,1.69897,0.666634,0.499909,-0.333184,1.66645
HK01,0.69897,0.5,-0.30103,1.69897,0.635827,0.498834,-0.361841,1.63349
HK02,0.69897,0.5,-0.30103,1.69897,-0.30103,0.445974,-1.19298,0.590919
HK03,0.69897,0.5,-0.30103,1.69897,1.66751,0.420428,0.826654,2.50837
HK04,0.69897,0.5,-0.30103,1.69897,0.719852,0.462159,-0.204467,1.64417
HK05,0.69897,0.5,-0.30103,1.69897,0.867629,0.499812,-0.131996,1.86725
HK06,0.69897,0.5,-0.30103,1.69897,1.69897,0.42174,0.85549,2.54245
HK07,0.69897,0.5,-0.30103,1.69897,0.0985256,0.354606,-0.610687,0.807738
HK08,0.69897,0.5,-0.30103,1.69897,1.30063,0.229142,0.842346,1.75891
HK09,0.69897,0.5,-0.30103,1.69897,1.69897,0.388812,0.921345,2.47659
HK10,0.69897,0.5,-0.30103,1.69897,1.20827,0.496047,0.216172,2.20036
HK11,0.69897,0.5,-0.30103,1.69897,1.07372,0.42649,0.22074,1.9267
HK12,0.69897,0.5,-0.30103,1.69897,-0.206664,0.449772,-1.10621,0.69288
HK13,0.69897,0.5,-0.30103,1.69897,1.06732,0.376357,0.314605,1.82003
HK14,0.69897,0.5,-0.30103,1.69897,0.935941,0.48778,-0.0396203,1.9115
HK15,0.69897,0.5,-0.30103,1.69897,0.994084,0.492403,0.00927688,1.97889
HK16,0.69897,0.5,-0.30103,1.69897,-0.0292757,0.421702,-0.87268,0.814128
HK17,0.69897,0.5,-0.30103,1.69897,0.123541,0.464646,-0.805751,1.05283
HK18,0.69897,0.5,-0.30103,1.69897,0.976327,0.454097,0.0681329,1.88452
HK19,0.69897,0.5,-0.30103,1.69897,0.626422,0.492682,-0.358942,1.61179
HK20,0.69897,0.5,-0.30103,1.69897,0.123769,0.321885,-0.520001,0.767539
HK21,0.69897,0.5,-0.30103,1.69897,1.69897,0.448633,0.801704,2.59624
HK22,0.69897,0.5,-0.30103,1.69897,0.988476,0.456623,0.0752303,1.90172
HK23,0.69897,0.5,-0.30103,1.69897,1.14486,0.469601,0.205658,2.08406
HK24,0.69897,0.5,-0.30103,1.69897,0.368348,0.332469,-0.29659,1.03329
HK25,0.69897,0.5,-0.30103,1.69897,1.69897,0.236286,1.2264,2.17154
HK26,0.69897,0.5,-0.30103,1.69897,0.824601,0.49676,-0.16892,1.81812
HK27,0.69897,0.5,-0.30103,1.69897,1.69897,0.450506,0.797958,2.59998
HK28,0.69897,0.5,-0.30103,1.69897,1.69897,0.331524,1.03592,2.36202
HK29,0.69897,0.5,-0.30103,1.69897,-0.147806,0.405865,-0.959535,0.663924
HK30,0.69897,0.5,-0.30103,1.69897,1.4498,0.345855,0.758089,2.14151
HK31,0.69897,0.5,-0.30103,1.69897,0.851033,0.499644,-0.148256,1.85032
HK32,0.69897,0.5,-0.30103,1.69897,1.69897,0.395223,0.908525,2.48942
HK33,0.69897,0.5,-0.30103,1.69897,0.72219,0.410255,-0.0983203,1.5427
HK34,0.69897,0.5,-0.30103,1.69897,0.470429,0.405131,-0.339833,1.28069
HK35,0.69897,0.5,-0.30103,1.69897,1.2655,0.358271,0.548961,1.98204
HK36,0.69897,0.5,-0.30103,1.69897,0.936629,0.456258,0.0241141,1.84914
HK37,0.69897,0.5,-0.30103,1.69897,0.641695,0.392941,-0.144187,1.42758
HK38,0.69897,0.5,-0.30103,1.69897,1.31018,0.406811,0.496558,2.1238
HK39,0.69897,0.5,-0.30103,1.69897,1.69897,0.235023,1.22892,2.16902
HK40,0.69897,0.5,-0.30103,1.69897,0.457953,0.496181,-0.534409,1.45031
HK41,0.69897,0.5,-0.30103,1.69897,0.41902,0.300721,-0.182423,1.02046
HK42,0.69897,0.5,-0.30103,1.69897,0.458761,0.274971,-0.0911816,1.0087
HK43,0.69897,0.5,-0.30103,1.69897,1.69897,0.44788,0.803209,2.59473
W0_R09_C16,0,0.0554622,-0.110924,0.110924,0,0.0554622,-0.110924,0.110924
W0_R11_C13,0,0.0554622,-0.110924,0.110924,0,0.0554622,-0.110924,0.110924
W0_R20_C14,0,0.0554622,-0.110924,0.110924,0,0.0554622,-0.110924,0.110924
W0_R26_C10,0,0.0554622,-0.110924,0.110924,0,0.0554622,-0.110924,0.110924
W0_R29_C06,0,0.0554622,-0.110924,0.110924,0,0.0554622,-0.110924,0.110924
W0_R34_C12,0,0.0554622,-0.110924,0.110924,0,0.0554622,-0.110924,0.110924
W1_R09_C16,0,0.0554622,-0.110924,0.110924,0,0.0554622,-0.110924,0.110924
W1_R11_C13,0,0.0554622,-0.110924,0.110924,0,0.0554622,-0.110924,0.110924
W1_R20_C14,0,0.0554622,-0.110924,0.110924,0,0.0554622,-0.110924,0.110924
W1_R26_C10,0,0.0554622,-0.110924,0.110924,0,0.0554622,-0.110924,0.110924
W1_R29_C06,0,0.0554622,-0.110924,0.110924,0,0.0554622,-0.110924,0.110924
W1_R34_C12,0,0.0554622,-0.110924,0.110924,0,0.0554622,-0.110924,0.110924
