id,x,y,zone,kh,ss,sy,w,a
0,735987.332189824,7475003.903762596,0,0.001,0.0001,0.05,50,50
1,735963.7580524192,7474980.177146281,0,0.001,0.0001,0.05,50,50
2,735913.4101607652,7474932.3706463855,0,0.001,0.0001,0.05,50,50
3,735746.763224384,7474776.735369159,0,0.001,0.0001,0.05,50,50
4,735516.1316000172,7474561.432677533,0,0.001,0.0001,0.05,50,50
5,735250.2555069919,7474310.897318125,0,0.001,0.0001,0.05,50,50
6,735113.0821032759,7474180.053246316,0,0.001,0.0001,0.05,50,50
7,734977.8751646484,7474049.564037545,0,0.001,0.0001,0.05,50,50
8,734848.2272185319,7473922.484035132,0,0.001,0.0001,0.05,50,50
9,734727.730792321,7473801.867582411,0,0.001,0.0001,0.05,50,50
10,734619.9784134454,7473690.769022701,0,0.001,0.0001,0.05,50,50
11,734572.0039065843,7473639.743435017,0,0.001,0.0001,0.05,50,50
12,734528.5626093242,7473592.242699336,0,0.001,0.0001,0.05,50,50
13,734490.1035876183,7473548.648608572,0,0.001,0.0001,0.05,50,50
14,734457.0759073803,7473509.34295564,0,0.001,0.0001,0.05,50,50
15,734429.9286345281,7473474.707533456,0,0.001,0.0001,0.05,50,50
16,734409.1108350076,7473445.124134937,0,0.001,0.0001,0.05,50,50
17,734347.5927051466,7473348.546713031,0,0.001,0.0001,0.05,50,50
18,734300.4862368131,7473270.61797438,0,0.001,0.0001,0.05,50,50
19,734263.9228212617,7473205.881741032,0,0.001,0.0001,0.05,50,50
20,734234.0338497615,7473148.881835024,0,0.001,0.0001,0.05,50,50
21,734178.8048039511,7473036.266293208,0,0.001,0.0001,0.05,50,50
22,734145.7275121681,7472969.738301488,0,0.001,0.0001,0.05,50,50
23,734103.8502294845,7472889.12192528,0,0.001,0.0001,0.05,50,50
24,734078.7510777249,7472844.537903257,0,0.001,0.0001,0.05,50,50
25,734051.0824323492,7472800.227511629,0,0.001,0.0001,0.05,50,50
26,734020.9372866474,7472756.134320404,0,0.001,0.0001,0.05,50,50
27,733988.4086338704,7472712.201899599,0,0.001,0.0001,0.05,50,50
28,733953.5894673157,7472668.373819218,0,0.001,0.0001,0.05,50,50
29,733916.5727802594,7472624.593649275,0,0.001,0.0001,0.05,50,50
30,733877.4515659575,7472580.804959775,0,0.001,0.0001,0.05,50,50
31,733836.3188176958,7472536.951320734,0,0.001,0.0001,0.05,50,50
32,733793.267528745,7472492.976302158,0,0.001,0.0001,0.05,50,50
33,733748.3906923914,7472448.82347406,0,0.001,0.0001,0.05,50,50
34,733701.7813019033,7472404.436406447,0,0.001,0.0001,0.05,50,50
35,733653.5323505566,7472359.758669333,0,0.001,0.0001,0.05,50,50
36,733552.4877383863,7472269.305466637,0,0.001,0.0001,0.05,50,50
37,733446.0008020878,7472177.012426055,0,0.001,0.0001,0.05,50,50
38,733387.7751553206,7472127.979189137,0,0.001,0.0001,0.05,50,50
39,733322.7809638163,7472074.720159937,0,0.001,0.0001,0.05,50,50
40,733176.822741427,7471958.388177063,0,0.001,0.0001,0.05,50,50
41,733016.7977247025,7471833.743382143,0,0.001,0.0001,0.05,50,50
42,732851.3775034247,7471706.512679895,0,0.001,0.0001,0.05,50,50
43,732539.0378062457,7471467.201172266,0,0.001,0.0001,0.05,50,50
44,732409.4615098895,7471366.574176313,0,0.001,0.0001,0.05,50,50
45,732309.1763680618,7471286.26889189,0,0.001,0.0001,0.05,50,50
46,732237.0925088254,7471225.779307023,0,0.001,0.0001,0.05,50,50
47,732184.4841872745,7471179.434364468,0,0.001,0.0001,0.05,50,50
48,732148.5691837248,7471145.213401044,0,0.001,0.0001,0.05,50,50
49,732126.5652785342,7471121.095753562,0,0.001,0.0001,0.05,50,50
50,732119.9105441666,7471112.194216053,0,0.001,0.0001,0.05,50,50
51,732115.6902520207,7471105.060758831,0,0.001,0.0001,0.05,50,50
52,732113.5566246163,7471099.442799002,0,0.001,0.0001,0.05,50,50
53,732113.1618845105,7471095.087753667,0,0.001,0.0001,0.05,50,50
54,732114.158254235,7471091.743039924,0,0.001,0.0001,0.05,50,50
55,732116.1979563353,7471089.156074875,0,0.001,0.0001,0.05,50,50
56,732122.0162478316,7471085.245059277,0,0.001,0.0001,0.05,50,50
57,735902.7554108838,7475059.099684862,1,0.001,0.0001,0.05,50,50
58,735887.6141124985,7475041.582514397,1,0.001,0.0001,0.05,50,50
59,735865.5674330961,7475017.947473194,1,0.001,0.0001,0.05,50,50
60,735802.6007200595,7474953.934225675,1,0.001,0.0001,0.05,50,50
61,735717.5408493753,7474870.280836472,1,0.001,0.0001,0.05,50,50
62,735614.0733987137,7474770.208199754,1,0.001,0.0001,0.05,50,50
63,735366.6580679076,7474533.688760441,1,0.001,0.0001,0.05,50,50
64,735089.8393487148,7474270.143061072,1,0.001,0.0001,0.05,50,50
65,734813.1018622236,7474005.338254993,1,0.001,0.0001,0.05,50,50
66,734683.9775253293,7473880.515922358,1,0.001,0.0001,0.05,50,50
67,734565.930229502,7473765.041495547,1,0.001,0.0001,0.05,50,50
68,734462.64555239,7473662.13586873,1,0.001,0.0001,0.05,50,50
69,734377.8090716127,7473575.019936074,1,0.001,0.0001,0.05,50,50
70,734343.4606478715,7473538.389634484,1,0.001,0.0001,0.05,50,50
71,734315.1063648137,7473506.914591746,1,0.001,0.0001,0.05,50,50
72,734293.2069196712,7473480.997419633,1,0.001,0.0001,0.05,50,50
73,734278.2230096334,7473461.040729916,1,0.001,0.0001,0.05,50,50
74,734256.0208109986,7473425.868203727,1,0.001,0.0001,0.05,50,50
