real_name,obj_1,obj_2
0||gen=10_member=100_de,10.4833,22.7693
1||gen=10_member=100_de,9.83532,22.8065
2||gen=10_member=100_de,9.95617,22.6407
3||gen=10_member=100_de,10.4551,23.5208
4||gen=10_member=100_de,9.98289,22.6407
0||gen=10_member=101_de,0.483283,54.9397
1||gen=10_member=101_de,-0.164678,54.977
2||gen=10_member=101_de,-0.043828,54.8111
3||gen=10_member=101_de,0.455093,55.6912
4||gen=10_member=101_de,-0.0171117,54.8111
0||gen=10_member=102_de,8.64733,26.2075
1||gen=10_member=102_de,7.99937,26.2447
2||gen=10_member=102_de,8.12022,26.0789
3||gen=10_member=102_de,8.61914,26.959
4||gen=10_member=102_de,8.14693,26.0789
0||gen=10_member=103_de,7.44204,32.2375
1||gen=10_member=103_de,6.79408,32.2747
2||gen=10_member=103_de,6.91493,32.1089
3||gen=10_member=103_de,7.41385,32.989
4||gen=10_member=103_de,6.94164,32.1089
0||gen=10_member=104_de,10.4833,32.7755
1||gen=10_member=104_de,9.83532,32.8127
2||gen=10_member=104_de,9.95617,32.6469
3||gen=10_member=104_de,10.4551,33.527
4||gen=10_member=104_de,9.98289,32.6469
0||gen=10_member=105_de,0.483283,54.2579
1||gen=10_member=105_de,-0.164678,54.2952
2||gen=10_member=105_de,-0.043828,54.1293
3||gen=10_member=105_de,0.455093,55.0094
4||gen=10_member=105_de,-0.0171117,54.1293
0||gen=10_member=106_de,5.37596,30.8401
1||gen=10_member=106_de,4.72799,30.8774
2||gen=10_member=106_de,4.84884,30.7115
3||gen=10_member=106_de,5.34777,31.5916
4||gen=10_member=106_de,4.87556,30.7115
0||gen=10_member=107_de,10.4833,35.3674
1||gen=10_member=107_de,9.83532,35.4047
2||gen=10_member=107_de,9.95617,35.2388
3||gen=10_member=107_de,10.4551,36.1189
4||gen=10_member=107_de,9.98289,35.2388
0||gen=10_member=108_de,6.39785,38.8133
1||gen=10_member=108_de,5.74989,38.8505
2||gen=10_member=108_de,5.87074,38.6847
3||gen=10_member=108_de,6.36966,39.5648
4||gen=10_member=108_de,5.89746,38.6847
0||gen=10_member=109_de,6.89163,29.371
1||gen=10_member=109_de,6.24366,29.4083
2||gen=10_member=109_de,6.36451,29.2424
3||gen=10_member=109_de,6.86344,30.1225
4||gen=10_member=109_de,6.39123,29.2424
