real_name,dv_0,dv_1,dv_10,dv_11,dv_12,dv_13,dv_14,dv_15,dv_16,dv_17,dv_18,dv_19,dv_2,dv_20,dv_21,dv_22,dv_23,dv_24,dv_25,dv_26,dv_27,dv_28,dv_29,dv_3,dv_4,dv_5,dv_6,dv_7,dv_8,dv_9,obj2_add_par,obj1_add_par,_risk_
gen=11_member=110_de,0.555073,0.0144622,1,0.30725,1,1,1,0.0714669,0,0.0909691,1,0.455258,0.148791,0.896558,0.708431,0.417981,0.730057,0.529174,0.89042,0.403718,0.52317,0.867342,0.00452547,0.769475,0.245162,0.0942731,0.928412,0.0251533,0,1,0,0,0.671783
gen=11_member=111_de,0.2,0.0380472,0.587888,0,0.314098,1,0.716557,0.0750403,0.0972419,0.0181938,0,0.605591,0.950852,0.861109,0.653812,0.950683,0.83316,0.494553,0.533946,1,0.478282,0.0883235,0.849903,0.2,0.492081,0.567892,0.0691146,0.0855212,0.8,0.785191,0,0,0.99
gen=11_member=112_de,0,0.113196,1,0,0.198616,0.941891,1,0.0714669,0.256545,0,1,0.455258,0.148791,0.840098,0.817265,0.365145,0.791449,0.76801,1,1,0.71687,0.867342,0.924548,0.53406,0.624536,0.450352,0.502879,0.100613,0.932171,1,0,0,0.409811
gen=11_member=113_de,0.591414,0.047559,1,0,1,1,0.902532,0.218778,0,0,0.181989,1,0.754261,1,0,1,0.976251,0.880251,0.107973,1,0.442115,0.623241,0,1,0.48646,0.84372,0.0597146,0.100613,0,0.85683,0,0,0.937051
gen=11_member=114_de,0.2,0,0.549345,0,1,1,1,0.135072,0.0777935,0.0182062,0.218853,1,0.595195,0.389618,0.503987,0.544279,1,1,0.272254,0.197951,0.410836,0.0706588,0.286696,0.847421,0.485714,1,0,0,0.406146,0.822178,0,0,0.931759
gen=11_member=115_de,0.261681,0.0895665,0.332866,0.251434,0.691037,1,1,0.0714669,0.0393097,0.8674,0.785128,0.52696,0.604576,0.444436,0,0.870184,0.976251,0.860275,0.251476,0.522975,0.587532,0.666727,0.00176628,0.64233,0.167071,0,0.1604,0.0201226,1,1,0,0,0.658198
gen=11_member=116_de,0.80846,0.0740544,0.446629,0,1,1,0.324039,0,0,0,0,0.509422,0.950852,0.14469,0,1,0.595063,0.366107,0.863024,0,0.439989,0.586942,0,1,0.226879,0.878137,0.365938,0.00503066,0,0.706653,0,0,0.730482
gen=11_member=117_de,0,0.0354457,1,0,0,0.727649,0.421779,0.142934,0.393097,1,0.543952,0.660171,0.87267,1,1,0,1,1,1,0.777456,0.809605,0.414423,0.554299,0,1,0,0,0.201226,0.702045,0.438259,0,0,0.99
gen=11_member=118_de,1,0,0.167465,0,1,1,0.117627,0.104632,0.0393097,0.0909691,0.465705,0.28135,0.754261,0,0,1,0.440393,0.36706,0,0.197951,0.471608,0.81535,0.18059,1,0.429598,0.94633,0.699286,0.0251533,0,1,0,0,0.99
gen=11_member=119_de,0.0446344,0,0.167465,0.201147,0.00641853,1,1,0.0714669,0.0993066,0.223492,0.286901,0.2195,1,0.887244,0.432031,1,0.7677,0.756111,0.285524,0.555724,0.468196,0.567923,0.924548,0.513864,0.118186,0.602897,0.18439,0.0201226,1,1,0,0,0.99
