real_name,dv_0,dv_1,dv_10,dv_11,dv_12,dv_13,dv_14,dv_15,dv_16,dv_17,dv_18,dv_19,dv_2,dv_20,dv_21,dv_22,dv_23,dv_24,dv_25,dv_26,dv_27,dv_28,dv_29,dv_3,dv_4,dv_5,dv_6,dv_7,dv_8,dv_9,obj2_add_par,obj1_add_par,_risk_
gen=3_member=30_de,0.2,0.0151416,0.200303,0.189124,1,0.340439,0.609175,0,0,0.324279,0.667869,0.228488,1,0.504053,0.107223,0.486033,0.768074,0.225653,0.137287,0.159442,0.68611,0.218002,0.685543,0.891679,0.40351,0,0.531916,0,0.282054,0.66814,0,0,0.86603
gen=3_member=31_de,1,0.0776147,0.520922,0.156396,0.615526,0.0411883,0.121835,0,0,0.806906,0.0563569,0,1,0.344567,0.0784478,0.569652,0.768074,0,0.137287,0.378508,0.721294,0,0.717271,0.294269,0.191391,0.0631919,0.531916,0,0.0847867,0.812279,0,0,0.731788
gen=3_member=32_de,0.800834,0.0773366,0.610586,0.25024,0.775838,0.344987,0,0,0,0.129913,0,0,1,0,0.00233579,0.822659,1,0.0544528,0.269738,0.970776,0.723178,0,0.627694,0.216089,0.325285,0.370036,0,0,0.34105,1,0,0,0.404324
gen=3_member=33_de,1,0.159661,0,0.680068,1,0.211627,0.545444,0,0,0.511094,0.893297,0.264421,0.443991,0.282301,0.116889,1,0.624501,0,0,0.503086,0.757739,0.424657,0.0329343,1,0,0.184127,0.425533,0,0.594468,1,0,0,0.224589
gen=3_member=34_de,0.2,0.129227,0.650736,0.424972,0.839689,0.205941,0.609175,0,0,0.993721,0.0554227,0.228488,1,0.504053,0.107223,0.486033,0.768074,0.225653,0.137287,0.159442,0.68611,0.258319,0.465913,0.891679,0.40351,0,0.531916,0,0.841052,0.812279,0,0,0.86603
gen=3_member=35_de,0.00083424,0,0.688772,0,0.866688,0.572026,0.0581033,0,0,0.331832,0.441507,0,0.443991,0,0,0.391244,0.810042,0.0193308,0.0785746,0.781266,0.632323,0.302599,0.586433,0.813499,0.940914,0,0,0,0,0.855861,0,0,0.711805
gen=3_member=36_de,0.00083424,0,1,0,0.866688,1,0.0581033,0,0,0.331832,0.441507,0,1,0,0.0311109,0.391244,1,0.225653,0.0785746,0.781266,0.632323,0.218002,0.98875,0.813499,0.940914,0,0,0,0.34105,0.855861,0,0,0.34335
gen=3_member=37_de,0.00083424,0,0.688772,0,0.866688,0.817789,0.0581033,0,0,0.331832,0.441507,0,0.443991,0.540133,0.0311109,0.833748,0.810042,0.225653,0.0785746,0.781266,0.632323,0.218002,0.98875,0.813499,0.940914,0.835091,0,0,0,0.855861,0,0,0.310244
gen=3_member=38_de,0.41134,0.0151416,0.650736,0.189124,0.72689,1,0.609175,0,0,1,0.0554227,0.228488,1,0.504053,0.107223,0.486033,0.768074,0.225653,0.137287,0.642227,0.68611,0.258319,0,0.891679,0.40351,0,0.531916,0,0.282054,0.646489,0,0,0.86603
gen=3_member=39_de,0.00083424,0,0.558958,0,0.642526,0.175686,0,0,0,0.137465,0.442441,0.440025,0.443991,0,0.00233579,0.474863,1,0.280106,0.761045,1,0.667507,0,1,0.216089,0.694747,0,0,0,0,0.879925,0,0,0.577563
