real_name,dv_0,dv_1,dv_10,dv_11,dv_12,dv_13,dv_14,dv_15,dv_16,dv_17,dv_18,dv_19,dv_2,dv_20,dv_21,dv_22,dv_23,dv_24,dv_25,dv_26,dv_27,dv_28,dv_29,dv_3,dv_4,dv_5,dv_6,dv_7,dv_8,dv_9,obj2_add_par,obj1_add_par,_risk_
gen=4_member=41_de,0,0,1,0,0.72689,1,0.0509854,0,0,1,0.0554227,0.228488,0.888798,0.177402,0.107223,0.0636893,1,0.460628,0.870875,1,0.68611,0.258319,0.973653,0.129432,1,0,0.0851066,0,0,0.597116,0,0,0.99
gen=1_member=13_de,0,0.356193,0.610586,0,0.526158,0.733099,0,0.115659,0,0.962786,0.72158,0.0567237,1,0.723651,0.0449611,0.503607,1,0.499452,0.951306,0.578328,0.638002,0.354719,0.655988,0,0.780984,0,0.158343,0,0.806362,0.678339,0,0,0.0321403
gen=0_member=9,0.987502,0.591205,0.567208,0.533722,0.51928,0.750013,0.963716,0.318397,0.271668,0.0592498,0.793599,0.631483,0.703967,0.554176,0.326858,0.659408,0.63504,0.0193308,0.235505,0.56876,0.551219,0.714355,0.274107,0.678127,0.191251,0.887331,0.284982,0.32777,0.248642,0.979807,0,0,0.875221
gen=0_member=2,0.258604,0.3776,0.12227,0.245519,0.820298,0.067223,0.112956,0.308696,0.30865,0.117416,0.103259,0.146104,0.814378,0.173408,0.124621,0.467372,0.866918,0.310932,0.393711,0.735174,0.531934,0.487829,0.532309,0.186315,0.926238,0.147018,0.145532,0.0129177,0.0583066,0.632664,0,0,0.735531
gen=0_member=1,0.00140468,0.390143,0.1322,0.588205,0.177466,0.641531,0.271827,0.139584,0.383884,0.962786,0.302934,0.597792,0.581179,0.814845,0.928534,0.212191,0.529423,0.169898,0.951306,0.578328,0.832368,0.439332,0.998794,0.724441,0.843893,0.0102769,0.284091,0.19651,0.806362,0.353482,0,0,0.776914
gen=2_member=21_de,0,0,0.610586,0,0.526158,0,0,0,0,0.760202,0,0,1,0.273992,0,0.503607,1,0.350132,1,0.440664,0.723178,0,0.996551,0,0.933985,0.0171601,0,0,0.34105,0.662185,0,0,0.404324
gen=0_member=0,0.146121,0.710415,0.452261,0.064446,0.309648,0.540928,0.695615,0.217641,0.911272,0.360583,0.573398,0.0444526,0.82979,0.346584,0.319678,0.603367,0.0339149,0.947137,0.925758,0.970076,0.865138,0.828635,0.0910422,0.812571,0.237434,0.942207,0.176349,0.395253,0.52428,0.369234,0,0,0.162064
gen=3_member=39_de,0.00083424,0,0.558958,0,0.642526,0.175686,0,0,0,0.137465,0.442441,0.440025,0.443991,0,0.00233579,0.474863,1,0.280106,0.761045,1,0.667507,0,1,0.216089,0.694747,0,0,0,0,0.879925,0,0,0.577563
gen=1_member=15_de,1,0.159661,0.389601,0.384062,0.863796,0.211627,0.793718,0,0,0.223492,0.282952,0.428103,1,0.305545,0,0.938353,0.692258,0.068066,0,0.403718,0.669103,0.567923,0.18059,0.891679,0.429598,0.626132,0.0320051,0,0,0.842359,0,0,0.915163
gen=3_member=30_de,0.2,0.0151416,0.200303,0.189124,1,0.340439,0.609175,0,0,0.324279,0.667869,0.228488,1,0.504053,0.107223,0.486033,0.768074,0.225653,0.137287,0.159442,0.68611,0.218002,0.685543,0.891679,0.40351,0,0.531916,0,0.282054,0.66814,0,0,0.86603
gen=1_member=10_de,0.155603,0,0,0.370007,0.650549,0,0.0700548,0,0.0749961,0.0592498,0,0.304075,0.703967,0.437926,0.146112,0.659408,0.65414,0.0193308,0.235505,0.444655,0.890165,0.302599,0.811981,0,0.191251,0.887331,0.00340291,0,0.259413,0.979807,0,0,0.808579
gen=3_member=38_de,0.41134,0.0151416,0.650736,0.189124,0.72689,1,0.609175,0,0,1,0.0554227,0.228488,1,0.504053,0.107223,0.486033,0.768074,0.225653,0.137287,0.642227,0.68611,0.258319,0,0.891679,0.40351,0,0.531916,0,0.282054,0.646489,0,0,0.86603
gen=0_member=4,0.130156,0.91703,0.344278,0.432594,0.389653,0.740206,0.325453,0.997172,0.675951,0.237177,0.741567,0.400328,0.176521,0.484198,0.901671,0.118691,0.795396,0.250013,0.707386,0.941476,0.384578,0.670869,0.649205,0.997612,0.71032,0.473516,0.461753,0.639088,0.554978,0.715939,0,0,0.685604
gen=4_member=44_de,0,0,1,0,0.424038,0.806384,0.0509854,0,0,0.528589,0,0.411278,0.888798,0.177402,0,0.391244,1,0.460628,0.870875,1,0.610204,0,0.973653,0.129432,1,0,0,0,0,0.597116,0,0,0.99
gen=4_member=42_de,0,0,0,0.0640075,0.927819,1,0.55819,0,0,0.619941,0.893297,0.228488,0.443991,0.282301,0.0444647,0.343307,0.801648,0,0.0903171,0.503086,0.614933,0.424657,0,1,1,0,0.106383,0,0.214225,0.681354,0,0,0.850044
gen=3_member=34_de,0.2,0.129227,0.650736,0.424972,0.839689,0.205941,0.609175,0,0,0.993721,0.0554227,0.228488,1,0.504053,0.107223,0.486033,0.768074,0.225653,0.137287,0.159442,0.68611,0.258319,0.465913,0.891679,0.40351,0,0.531916,0,0.841052,0.812279,0,0,0.86603
