real_name,obj_1,obj_2
gen=0_member=0,5.53313,32.3111
gen=0_member=1,1.83419,42.477
gen=0_member=2,4.09488,36.3599
gen=0_member=3,5.73174,32.0599
gen=0_member=4,3.91822,36.8124
gen=0_member=5,6.41416,33.0548
gen=0_member=6,6.3711,32.9246
gen=0_member=7,5.35824,32.5375
gen=0_member=8,5.76449,31.1514
gen=0_member=9,7.66434,29.3787
gen=1_member=10_de,7.32906,29.5704
gen=1_member=11_de,4.60423,34.6646
gen=1_member=12_de,4.783,32.4927
gen=1_member=13_de,2.43398,37.2923
gen=1_member=14_de,4.86615,34.0732
gen=1_member=15_de,7.52448,31.3301
gen=1_member=16_de,5.58043,33.7243
gen=1_member=17_de,7.40584,30.2253
gen=1_member=18_de,6.13272,32.3294
gen=1_member=19_de,5.98779,30.8394
gen=2_member=20_de,8.73133,24.12
gen=2_member=21_de,4.56964,32.7653
gen=2_member=22_de,7.07813,28.7741
gen=2_member=23_de,2.92275,35.6439
gen=2_member=24_de,6.27036,32.6297
gen=2_member=25_de,5.42144,32.6086
gen=2_member=26_de,7.96942,30.1312
gen=2_member=27_de,6.77978,28.61
gen=2_member=28_de,7.08925,28.0566
gen=2_member=29_de,2.66264,36.9718
gen=3_member=30_de,6.38823,34.2558
gen=3_member=31_de,8.99983,25.6908
gen=3_member=32_de,6.89901,27.4747
gen=3_member=33_de,7.20516,28.8981
gen=3_member=34_de,5.3425,37.7506
gen=3_member=35_de,2.76487,38.1734
gen=3_member=36_de,2.22592,38.3762
gen=3_member=37_de,2.31377,38.1213
gen=3_member=38_de,4.2442,37.4215
gen=3_member=39_de,3.66838,34.8248
gen=4_member=40_de,5.05182,30.1663
gen=4_member=41_de,2.94673,38.4833
gen=4_member=42_de,3.66606,37.9588
gen=4_member=43_de,7.38448,29.2472
gen=4_member=44_de,3.74947,36.7762
gen=4_member=45_de,8.58156,28.321
gen=4_member=46_de,6.26061,29.2987
gen=4_member=47_de,4.48623,32.5691
gen=4_member=48_de,4.83788,30.692
gen=4_member=49_de,5.20595,33.6867
gen=5_member=50_de,9.95617,26.2513
gen=5_member=51_de,-0.0171117,51.4679
gen=5_member=52_de,6.86344,24.7941
gen=5_member=53_de,2.48328,40.9046
gen=5_member=54_de,6.36451,23.7489
gen=5_member=55_de,9.95617,21.3423
gen=5_member=56_de,0.455093,45.6589
gen=5_member=57_de,-0.043828,44.3156
gen=5_member=58_de,5.35661,31.8689
gen=5_member=59_de,10.4551,26.127
