real_name,dv_0,dv_1,dv_10,dv_11,dv_12,dv_13,dv_14,dv_15,dv_16,dv_17,dv_18,dv_19,dv_2,dv_20,dv_21,dv_22,dv_23,dv_24,dv_25,dv_26,dv_27,dv_28,dv_29,dv_3,dv_4,dv_5,dv_6,dv_7,dv_8,dv_9,obj2_add_par,obj1_add_par,_risk_
0||gen=8_member=80_de,0.728692,0,0.342657,0.251434,0,0.656465,0.844951,0.0893337,0.0491371,0.8674,0.465705,0.688981,0.754261,0.859055,0,0.41006,0.970314,0.64268,0.45827,1,0.723952,0.0453741,1,0.64233,0.167071,0.0201701,0.149138,0.0251533,0,1,-0.371402,0.483283,0.99
1||gen=8_member=80_de,0.728692,0,0.342657,0.251434,0,0.656465,0.844951,0.0893337,0.0491371,0.8674,0.465705,0.688981,0.754261,0.859055,0,0.41006,0.970314,0.64268,0.45827,1,0.723952,0.0453741,1,0.64233,0.167071,0.0201701,0.149138,0.0251533,0,1,-0.33415,-0.164678,0.99
2||gen=8_member=80_de,0.728692,0,0.342657,0.251434,0,0.656465,0.844951,0.0893337,0.0491371,0.8674,0.465705,0.688981,0.754261,0.859055,0,0.41006,0.970314,0.64268,0.45827,1,0.723952,0.0453741,1,0.64233,0.167071,0.0201701,0.149138,0.0251533,0,1,-0.5,-0.043828,0.99
3||gen=8_member=80_de,0.728692,0,0.342657,0.251434,0,0.656465,0.844951,0.0893337,0.0491371,0.8674,0.465705,0.688981,0.754261,0.859055,0,0.41006,0.970314,0.64268,0.45827,1,0.723952,0.0453741,1,0.64233,0.167071,0.0201701,0.149138,0.0251533,0,1,0.380101,0.455093,0.99
4||gen=8_member=80_de,0.728692,0,0.342657,0.251434,0,0.656465,0.844951,0.0893337,0.0491371,0.8674,0.465705,0.688981,0.754261,0.859055,0,0.41006,0.970314,0.64268,0.45827,1,0.723952,0.0453741,1,0.64233,0.167071,0.0201701,0.149138,0.0251533,0,1,-0.5,-0.0171117,0.99
0||gen=8_member=81_de,0,0,0.813752,0.0782424,0,0.432981,0.871056,0.0893337,0,0.371002,0.465705,0.295376,0,1,0.481542,0,0.880547,0.680322,1,1,0.880272,0,1,0,0.083937,0.00657718,0.0639733,0,0,0.111935,-0.371402,0.483283,0.01
1||gen=8_member=81_de,0,0,0.813752,0.0782424,0,0.432981,0.871056,0.0893337,0,0.371002,0.465705,0.295376,0,1,0.481542,0,0.880547,0.680322,1,1,0.880272,0,1,0,0.083937,0.00657718,0.0639733,0,0,0.111935,-0.33415,-0.164678,0.01
2||gen=8_member=81_de,0,0,0.813752,0.0782424,0,0.432981,0.871056,0.0893337,0,0.371002,0.465705,0.295376,0,1,0.481542,0,0.880547,0.680322,1,1,0.880272,0,1,0,0.083937,0.00657718,0.0639733,0,0,0.111935,-0.5,-0.043828,0.01
3||gen=8_member=81_de,0,0,0.813752,0.0782424,0,0.432981,0.871056,0.0893337,0,0.371002,0.465705,0.295376,0,1,0.481542,0,0.880547,0.680322,1,1,0.880272,0,1,0,0.083937,0.00657718,0.0639733,0,0,0.111935,0.380101,0.455093,0.01
4||gen=8_member=81_de,0,0,0.813752,0.0782424,0,0.432981,0.871056,0.0893337,0,0.371002,0.465705,0.295376,0,1,0.481542,0,0.880547,0.680322,1,1,0.880272,0,1,0,0.083937,0.00657718,0.0639733,0,0,0.111935,-0.5,-0.0171117,0.01
0||gen=8_member=82_de,0,0.047559,1,0,0,1,0.589653,0.0714669,0.196548,0,0.572564,0.363406,0.801166,1,0.708431,0.0701839,0.976251,0.713557,1,1,0.758623,0.413004,0.657294,0,0.48646,0,0.206224,0.100613,1,0.956686,-0.371402,0.483283,0.891548
1||gen=8_member=82_de,0,0.047559,1,0,0,1,0.589653,0.0714669,0.196548,0,0.572564,0.363406,0.801166,1,0.708431,0.0701839,0.976251,0.713557,1,1,0.758623,0.413004,0.657294,0,0.48646,0,0.206224,0.100613,1,0.956686,-0.33415,-0.164678,0.891548
2||gen=8_member=82_de,0,0.047559,1,0,0,1,0.589653,0.0714669,0.196548,0,0.572564,0.363406,0.801166,1,0.708431,0.0701839,0.976251,0.713557,1,1,0.758623,0.413004,0.657294,0,0.48646,0,0.206224,0.100613,1,0.956686,-0.5,-0.043828,0.891548
3||gen=8_member=82_de,0,0.047559,1,0,0,1,0.589653,0.0714669,0.196548,0,0.572564,0.363406,0.801166,1,0.708431,0.0701839,0.976251,0.713557,1,1,0.758623,0.413004,0.657294,0,0.48646,0,0.206224,0.100613,1,0.956686,0.380101,0.455093,0.891548
4||gen=8_member=82_de,0,0.047559,1,0,0,1,0.589653,0.0714669,0.196548,0,0.572564,0.363406,0.801166,1,0.708431,0.0701839,0.976251,0.713557,1,1,0.758623,0.413004,0.657294,0,0.48646,0,0.206224,0.100613,1,0.956686,-0.5,-0.0171117,0.891548
0||gen=8_member=83_de,0.538319,0.211018,0,0.0161689,0,1,0.671813,0,0.196548,0.331832,0,0.469962,0.444285,1,0.802918,1,0.699601,0.422209,0.948524,1,0.897313,0.219776,1,0.802912,0.258782,0.0306935,0.105828,0.100613,0.2,1,-0.371402,0.483283,0.433776
1||gen=8_member=83_de,0.538319,0.211018,0,0.0161689,0,1,0.671813,0,0.196548,0.331832,0,0.469962,0.444285,1,0.802918,1,0.699601,0.422209,0.948524,1,0.897313,0.219776,1,0.802912,0.258782,0.0306935,0.105828,0.100613,0.2,1,-0.33415,-0.164678,0.433776
2||gen=8_member=83_de,0.538319,0.211018,0,0.0161689,0,1,0.671813,0,0.196548,0.331832,0,0.469962,0.444285,1,0.802918,1,0.699601,0.422209,0.948524,1,0.897313,0.219776,1,0.802912,0.258782,0.0306935,0.105828,0.100613,0.2,1,-0.5,-0.043828,0.433776
3||gen=8_member=83_de,0.538319,0.211018,0,0.0161689,0,1,0.671813,0,0.196548,0.331832,0,0.469962,0.444285,1,0.802918,1,0.699601,0.422209,0.948524,1,0.897313,0.219776,1,0.802912,0.258782,0.0306935,0.105828,0.100613,0.2,1,0.380101,0.455093,0.433776
4||gen=8_member=83_de,0.538319,0.211018,0,0.0161689,0,1,0.671813,0,0.196548,0.331832,0,0.469962,0.444285,1,0.802918,1,0.699601,0.422209,0.948524,1,0.897313,0.219776,1,0.802912,0.258782,0.0306935,0.105828,0.100613,0.2,1,-0.5,-0.0171117,0.433776
0||gen=8_member=84_de,0,0.179847,1,0,0,0,0.697917,0.160801,0,1,0,0.559577,0.751745,1,0.820454,0.0547525,1,0.732411,1,1,0.90941,0,1,0,0.317425,0.0872574,0.0332301,0.100613,0.0705059,0,-0.371402,0.483283,0.49907
