real_name,obj_1,obj_2
gen=9_member=99_de,10.4551,25.4135
gen=9_member=91_de,-0.164678,55.8014
gen=6_member=63_de,3.10895,35.2865
gen=8_member=82_de,2.3876,44.7257
gen=2_member=20_de,3.99203,32.9037
gen=2_member=25_de,5.22047,32.0498
gen=9_member=95_de,2.87115,38.6381
gen=0_member=4,1.45905,43.7686
gen=1_member=10_de,2.36077,36.6212
gen=4_member=40_de,1.63568,36.0174
gen=8_member=86_de,1.09575,40.7731
gen=3_member=39_de,1.96588,35.4096
gen=9_member=94_de,0.417262,41.105
gen=1_member=12_de,5.16449,32.2633
gen=2_member=22_de,5.49249,32.7
gen=7_member=71_de,1.44933,36.3216
gen=2_member=23_de,1.78975,35.824
gen=4_member=43_de,6.06753,32.5738
gen=4_member=49_de,3.17676,34.3221
gen=1_member=16_de,1.86628,40.7171
gen=3_member=32_de,4.07713,32.9607
gen=2_member=21_de,2.70267,34.691
gen=2_member=26_de,6.63889,32.579
gen=9_member=90_de,3.36495,32.9882
gen=5_member=52_de,3.01031,34.9339
gen=0_member=1,1.88734,43.9673
gen=5_member=59_de,6.20029,32.9026
gen=9_member=96_de,0.62319,36.2946
gen=9_member=92_de,1.93447,33.8232
gen=1_member=15_de,6.70303,32.5454
gen=9_member=98_de,0.491626,51.3791
