member,map_to_member,constraint,risk,stack_mean,stack_stdev,pre_shift,post_shift
GEN=9_MEMBER=90_DE,GEN=9_MEMBER=90_DE,OBJ_1,0.99,3.02422,0.271441,2.88167,3.36495
GEN=9_MEMBER=90_DE,GEN=9_MEMBER=90_DE,OBJ_2,0.99,32.343,0.329457,32.6081,32.9882
GEN=9_MEMBER=91_DE,GEN=9_MEMBER=91_DE,OBJ_1,0.01,0.142552,0.271441,0,-0.164678
GEN=9_MEMBER=91_DE,GEN=9_MEMBER=91_DE,OBJ_2,0.01,56.0363,0.329457,56.3014,55.8014
GEN=9_MEMBER=92_DE,GEN=9_MEMBER=92_DE,OBJ_1,0.01,2.2417,0.271441,2.09915,1.93447
GEN=9_MEMBER=92_DE,GEN=9_MEMBER=92_DE,OBJ_2,0.01,34.0581,0.329457,34.3232,33.8232
GEN=9_MEMBER=93_DE,GEN=9_MEMBER=93_DE,OBJ_1,0.99,8.14255,0.271441,8,8.48328
GEN=9_MEMBER=93_DE,GEN=9_MEMBER=93_DE,OBJ_2,0.99,33.7713,0.329457,34.0364,34.4165
GEN=9_MEMBER=94_DE,GEN=9_MEMBER=94_DE,OBJ_1,0.0540906,0.724492,0.271441,0.58194,0.417262
GEN=9_MEMBER=94_DE,GEN=9_MEMBER=94_DE,OBJ_2,0.0540906,41.34,0.329457,41.605,41.105
GEN=9_MEMBER=95_DE,GEN=9_MEMBER=95_DE,OBJ_1,0.931759,2.53042,0.271441,2.38787,2.87115
GEN=9_MEMBER=95_DE,GEN=9_MEMBER=95_DE,OBJ_2,0.931759,37.9929,0.329457,38.258,38.6381
GEN=9_MEMBER=96_DE,GEN=9_MEMBER=96_DE,OBJ_1,0.01,0.93042,0.271441,0.787868,0.62319
GEN=9_MEMBER=96_DE,GEN=9_MEMBER=96_DE,OBJ_2,0.01,36.5296,0.329457,36.7946,36.2946
GEN=9_MEMBER=97_DE,GEN=9_MEMBER=97_DE,OBJ_1,0.268556,5.52574,0.271441,5.38319,5.33936
GEN=9_MEMBER=97_DE,GEN=9_MEMBER=97_DE,OBJ_2,0.268556,36.8986,0.329457,37.1637,36.6637
GEN=9_MEMBER=98_DE,GEN=9_MEMBER=98_DE,OBJ_1,0.99,0.150894,0.271441,0.0083424,0.491626
GEN=9_MEMBER=98_DE,GEN=9_MEMBER=98_DE,OBJ_2,0.99,50.7339,0.329457,50.999,51.3791
GEN=9_MEMBER=99_DE,GEN=9_MEMBER=99_DE,OBJ_1,0.698313,10.1426,0.271441,10,10.4551
GEN=9_MEMBER=99_DE,GEN=9_MEMBER=99_DE,OBJ_2,0.698313,25.4825,0.329457,25.7476,25.4135
GEN=0_MEMBER=0,GEN=9_MEMBER=94_DE,OBJ_1,0.162064,0.724492,0.271441,2.43167,0.417262
GEN=0_MEMBER=0,GEN=9_MEMBER=94_DE,OBJ_2,0.162064,41.34,0.329457,36.4499,41.105
GEN=0_MEMBER=1,GEN=9_MEMBER=94_DE,OBJ_1,0.776914,0.724492,0.271441,1.88734,1.03703
GEN=0_MEMBER=1,GEN=9_MEMBER=94_DE,OBJ_2,0.776914,41.34,0.329457,43.9673,41.2709
GEN=0_MEMBER=2,GEN=9_MEMBER=90_DE,OBJ_1,0.735531,3.02422,0.271441,3.91425,3.33676
GEN=0_MEMBER=2,GEN=9_MEMBER=90_DE,OBJ_2,0.735531,32.343,0.329457,33.946,32.2739
GEN=0_MEMBER=3,GEN=9_MEMBER=98_DE,OBJ_1,0.440582,0.150894,0.271441,3.07913,-0.00876933
GEN=0_MEMBER=3,GEN=9_MEMBER=98_DE,OBJ_2,0.440582,50.7339,0.329457,40.7618,50.6276
GEN=0_MEMBER=4,GEN=9_MEMBER=94_DE,OBJ_1,0.685604,0.724492,0.271441,1.45905,1.03703
GEN=0_MEMBER=4,GEN=9_MEMBER=94_DE,OBJ_2,0.685604,41.34,0.329457,43.7686,41.2709
GEN=0_MEMBER=5,GEN=9_MEMBER=94_DE,OBJ_1,0.783721,0.724492,0.271441,3.66033,1.03703
GEN=0_MEMBER=5,GEN=9_MEMBER=94_DE,OBJ_2,0.783721,41.34,0.329457,39.9891,41.2709
GEN=0_MEMBER=6,GEN=9_MEMBER=93_DE,OBJ_1,0.722243,8.14255,0.271441,4.76846,8.45509
GEN=0_MEMBER=6,GEN=9_MEMBER=93_DE,OBJ_2,0.722243,33.7713,0.329457,37.5444,33.7022
GEN=0_MEMBER=7,GEN=9_MEMBER=98_DE,OBJ_1,0.129617,0.150894,0.271441,3.12341,-0.156335
GEN=0_MEMBER=7,GEN=9_MEMBER=98_DE,OBJ_2,0.129617,50.7339,0.329457,39.2196,50.499
GEN=0_MEMBER=8,GEN=9_MEMBER=98_DE,OBJ_1,0.0706925,0.150894,0.271441,1.81923,-0.156335
GEN=0_MEMBER=8,GEN=9_MEMBER=98_DE,OBJ_2,0.0706925,50.7339,0.329457,43.0001,50.499
GEN=0_MEMBER=9,GEN=9_MEMBER=99_DE,OBJ_1,0.875221,10.1426,0.271441,5.56538,10.4833
GEN=0_MEMBER=9,GEN=9_MEMBER=99_DE,OBJ_2,0.875221,25.4825,0.329457,36.7226,26.1277
GEN=1_MEMBER=10_DE,GEN=9_MEMBER=90_DE,OBJ_1,0.808579,3.02422,0.271441,2.36077,3.36495
GEN=1_MEMBER=10_DE,GEN=9_MEMBER=90_DE,OBJ_2,0.808579,32.343,0.329457,36.6212,32.9882
GEN=1_MEMBER=11_DE,GEN=9_MEMBER=98_DE,OBJ_1,0.34335,0.150894,0.271441,3.11716,-0.0354856
GEN=1_MEMBER=11_DE,GEN=9_MEMBER=98_DE,OBJ_2,0.34335,50.7339,0.329457,42.7335,50.499
GEN=1_MEMBER=12_DE,GEN=9_MEMBER=99_DE,OBJ_1,0.310244,10.1426,0.271441,5.16449,9.95617
GEN=1_MEMBER=12_DE,GEN=9_MEMBER=99_DE,OBJ_2,0.310244,25.4825,0.329457,32.2633,25.2476
GEN=1_MEMBER=13_DE,GEN=9_MEMBER=92_DE,OBJ_1,0.0321403,2.2417,0.271441,2.4653,1.93447
GEN=1_MEMBER=13_DE,GEN=9_MEMBER=92_DE,OBJ_2,0.0321403,34.0581,0.329457,38.156,33.8232
GEN=1_MEMBER=14_DE,GEN=9_MEMBER=90_DE,OBJ_1,0.685604,3.02422,0.271441,3.99657,3.33676
GEN=1_MEMBER=14_DE,GEN=9_MEMBER=90_DE,OBJ_2,0.685604,32.343,0.329457,35.3938,32.2739
GEN=1_MEMBER=15_DE,GEN=9_MEMBER=99_DE,OBJ_1,0.915163,10.1426,0.271441,6.70303,10.4833
GEN=1_MEMBER=15_DE,GEN=9_MEMBER=99_DE,OBJ_2,0.915163,25.4825,0.329457,32.5454,26.1277
GEN=1_MEMBER=16_DE,GEN=9_MEMBER=95_DE,OBJ_1,0.568018,2.53042,0.271441,1.86628,2.37076
GEN=1_MEMBER=16_DE,GEN=9_MEMBER=95_DE,OBJ_2,0.568018,37.9929,0.329457,40.7171,37.8866
GEN=1_MEMBER=17_DE,GEN=9_MEMBER=99_DE,OBJ_1,0.722243,10.1426,0.271441,6.44047,10.4551
GEN=1_MEMBER=17_DE,GEN=9_MEMBER=99_DE,OBJ_2,0.722243,25.4825,0.329457,35.9698,25.4135
GEN=1_MEMBER=18_DE,GEN=9_MEMBER=93_DE,OBJ_1,0.34335,8.14255,0.271441,5.4948,7.95617
GEN=1_MEMBER=18_DE,GEN=9_MEMBER=93_DE,OBJ_2,0.34335,33.7713,0.329457,36.2409,33.5364
GEN=1_MEMBER=19_DE,GEN=9_MEMBER=95_DE,OBJ_1,0.129617,2.53042,0.271441,4.88745,2.22319
GEN=1_MEMBER=19_DE,GEN=9_MEMBER=95_DE,OBJ_2,0.129617,37.9929,0.329457,33.7891,37.758
GEN=2_MEMBER=20_DE,GEN=9_MEMBER=90_DE,OBJ_1,0.224589,3.02422,0.271441,3.99203,2.83784
GEN=2_MEMBER=20_DE,GEN=9_MEMBER=90_DE,OBJ_2,0.224589,32.343,0.329457,32.9037,32.1081
GEN=2_MEMBER=21_DE,GEN=9_MEMBER=90_DE,OBJ_1,0.404324,3.02422,0.271441,2.70267,2.86456
GEN=2_MEMBER=21_DE,GEN=9_MEMBER=90_DE,OBJ_2,0.404324,32.343,0.329457,34.691,32.2367
GEN=2_MEMBER=22_DE,GEN=9_MEMBER=99_DE,OBJ_1,0.392392,10.1426,0.271441,5.49249,9.95617
GEN=2_MEMBER=22_DE,GEN=9_MEMBER=99_DE,OBJ_2,0.392392,25.4825,0.329457,32.7,25.2476
GEN=2_MEMBER=23_DE,GEN=9_MEMBER=90_DE,OBJ_1,0.305943,3.02422,0.271441,1.78975,2.83784
GEN=2_MEMBER=23_DE,GEN=9_MEMBER=90_DE,OBJ_2,0.305943,32.343,0.329457,35.824,32.1081
GEN=2_MEMBER=24_DE,GEN=9_MEMBER=93_DE,OBJ_1,0.392392,8.14255,0.271441,6.02258,7.95617
GEN=2_MEMBER=24_DE,GEN=9_MEMBER=93_DE,OBJ_2,0.392392,33.7713,0.329457,32.7165,33.5364
GEN=2_MEMBER=25_DE,GEN=9_MEMBER=99_DE,OBJ_1,0.334883,10.1426,0.271441,5.22047,9.95617
GEN=2_MEMBER=25_DE,GEN=9_MEMBER=99_DE,OBJ_2,0.334883,25.4825,0.329457,32.0498,25.2476
