generation,member,obj_1,obj_2,_risk_,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=9,10.3583,32.9082,0.875221,1,1e+30,0.104975,0.104975,1,-999
0,gen=0_member=8,2.74707,44.3221,0.0706925,1,1e+30,0.110447,0.110447,1,-999
0,gen=0_member=2,3.04113,31.1529,0.735531,1,1e+30,0.0813173,0.0813173,1,-999
0,gen=0_member=1,0.46914,54.8448,0.776914,1,1e+30,0.103412,0.103412,1,-999
0,gen=0_member=4,1.75665,52.9103,0.685604,1,0.859478,0.129723,0.129723,1,-999
0,gen=0_member=5,8.28704,40.0139,0.783721,1,0.603958,0.10636,0.10636,1,-999
0,gen=0_member=0,1.29653,47.2443,0.162064,1,0.492692,0.129723,0.129723,1,-999
1,gen=0_member=9,10.3583,32.9082,0.875221,1,1e+30,0.121428,0.121428,1,-999
1,gen=0_member=8,2.74707,44.3221,0.0706925,1,0.409292,0.1703,0.1703,1,-999
1,gen=0_member=2,3.04113,31.1529,0.735531,1,1e+30,3.10527,3.10527,1,-999
1,gen=0_member=1,0.46914,54.8448,0.776914,1,1e+30,0.0841784,0.0841784,1,-999
1,gen=0_member=4,1.75665,52.9103,0.685604,1,0.765117,0.101213,0.101213,1,-999
1,gen=0_member=5,8.28704,40.0139,0.783721,2,1e+30,0.172072,0.172072,1,-999
1,gen=0_member=0,1.29653,47.2443,0.162064,1,1.14244,0.129723,0.129723,1,-999
1,gen=1_member=15_de,7.21327,36.002,0.915163,1,1e+30,2.18449,2.18449,1,-999
1,gen=1_member=13_de,1.60308,45.0588,0.0321403,1,1e+30,0.141902,0.141902,1,-999
1,gen=1_member=14_de,4.22763,40.7976,0.685604,2,1e+30,0.166898,0.166898,1,-999
1,gen=1_member=10_de,4.81607,38.4392,0.808579,1,0.884397,2.21876,2.21876,1,-999
1,gen=1_member=18_de,7.20264,37.6031,0.34335,2,0.780519,0.218759,0.218759,1,-999
1,gen=1_member=19_de,5.92287,37.2268,0.129617,2,1e+30,0.253497,0.253497,1,-999
2,gen=1_member=15_de,7.21327,36.002,0.915163,1,1e+30,0.184495,0.184495,1,-999
2,gen=1_member=13_de,1.60308,45.0588,0.0321403,1,1e+30,0.214239,0.214239,1,-999
2,gen=0_member=9,10.3583,32.9082,0.875221,1,1e+30,0.104975,0.104975,1,-999
2,gen=0_member=2,3.04113,31.1529,0.735531,1,1e+30,7.10527,7.10527,1,-999
2,gen=0_member=1,0.46914,54.8448,0.776914,1,1e+30,0.0841784,0.0841784,1,-999
2,gen=0_member=0,1.29653,47.2443,0.162064,1,0.446066,0.145927,0.145927,1,-999
