member,map_to_member,constraint,risk,stack_mean,stack_stdev,pre_shift,post_shift
GEN=5_MEMBER=50_DE,GEN=5_MEMBER=50_DE,OBJ_1,0.298462,10.1426,0.271441,10,9.95617
GEN=5_MEMBER=50_DE,GEN=5_MEMBER=50_DE,OBJ_2,0.298462,26.4862,0.329457,26.7513,26.2513
GEN=5_MEMBER=51_DE,GEN=5_MEMBER=51_DE,OBJ_1,0.593955,0.142552,0.271441,0,-0.0171117
GEN=5_MEMBER=51_DE,GEN=5_MEMBER=51_DE,OBJ_2,0.593955,51.5743,0.329457,51.8394,51.4679
GEN=5_MEMBER=52_DE,GEN=5_MEMBER=52_DE,OBJ_1,0.759226,6.55089,0.271441,6.40834,6.86344
GEN=5_MEMBER=52_DE,GEN=5_MEMBER=52_DE,OBJ_2,0.759226,24.8632,0.329457,25.1283,24.7941
GEN=5_MEMBER=53_DE,GEN=5_MEMBER=53_DE,OBJ_1,0.850044,2.14255,0.271441,2,2.48328
GEN=5_MEMBER=53_DE,GEN=5_MEMBER=53_DE,OBJ_2,0.850044,40.2594,0.329457,40.5245,40.9046
GEN=5_MEMBER=54_DE,GEN=5_MEMBER=54_DE,OBJ_1,0.298462,6.55089,0.271441,6.40834,6.36451
GEN=5_MEMBER=54_DE,GEN=5_MEMBER=54_DE,OBJ_2,0.298462,23.9838,0.329457,24.2489,23.7489
GEN=5_MEMBER=55_DE,GEN=5_MEMBER=55_DE,OBJ_1,0.361493,10.1426,0.271441,10,9.95617
GEN=5_MEMBER=55_DE,GEN=5_MEMBER=55_DE,OBJ_2,0.361493,21.5772,0.329457,21.8423,21.3423
GEN=5_MEMBER=56_DE,GEN=5_MEMBER=56_DE,OBJ_1,0.759226,0.142552,0.271441,0,0.455093
GEN=5_MEMBER=56_DE,GEN=5_MEMBER=56_DE,OBJ_2,0.759226,45.7279,0.329457,45.993,45.6589
GEN=5_MEMBER=57_DE,GEN=5_MEMBER=57_DE,OBJ_1,0.331983,0.142552,0.271441,0,-0.043828
GEN=5_MEMBER=57_DE,GEN=5_MEMBER=57_DE,OBJ_2,0.331983,44.5505,0.329457,44.8156,44.3156
GEN=5_MEMBER=58_DE,GEN=5_MEMBER=58_DE,OBJ_1,0.99,5.01588,0.271441,4.87333,5.35661
GEN=5_MEMBER=58_DE,GEN=5_MEMBER=58_DE,OBJ_2,0.99,31.2237,0.329457,31.4888,31.8689
GEN=5_MEMBER=59_DE,GEN=5_MEMBER=59_DE,OBJ_1,0.705919,10.1426,0.271441,10,10.4551
GEN=5_MEMBER=59_DE,GEN=5_MEMBER=59_DE,OBJ_2,0.705919,26.1961,0.329457,26.4612,26.127
GEN=0_MEMBER=0,GEN=5_MEMBER=59_DE,OBJ_1,0.162064,10.1426,0.271441,5.53313,9.83532
GEN=0_MEMBER=0,GEN=5_MEMBER=59_DE,OBJ_2,0.162064,26.1961,0.329457,32.3111,25.9612
GEN=0_MEMBER=1,GEN=5_MEMBER=57_DE,OBJ_1,0.776914,0.142552,0.271441,1.83419,0.455093
GEN=0_MEMBER=1,GEN=5_MEMBER=57_DE,OBJ_2,0.776914,44.5505,0.329457,42.477,44.4814
GEN=0_MEMBER=2,GEN=5_MEMBER=53_DE,OBJ_1,0.735531,2.14255,0.271441,4.09488,2.45509
