       parameter            eig1            eig2            eig3            eig4            eig5 identifiability     sqrt(ident)
 rch_1           0.9955541       7.0528850E-04   1.5908692E-04   1.4226817E-04   9.1115344E-06   0.9965699       0.9982835    
 rch_2            0.000000       7.2701268E-30   3.5842867E-31   1.1736090E-30   2.8147797E-31   9.0836424E-30   3.0139082E-15
 rcond00         1.7730611E-09   2.7430627E-07   1.9988406E-06   1.0883650E-06   4.4029644E-07   3.8035814E-06   1.9502773E-03
 rcond01         4.5844396E-09   6.5485072E-07   4.2843595E-06   2.2879445E-06   8.9186227E-07   8.1236013E-06   2.8501932E-03
 rcond02         4.5844396E-09   6.5485072E-07   4.2843595E-06   2.2879445E-06   8.9186227E-07   8.1236013E-06   2.8501932E-03
 rcond03         9.2773341E-09   1.2679478E-06   7.7206723E-06   3.9520888E-06   1.3967239E-06   1.4346710E-05   3.7877051E-03
 rcond04         8.5164168E-09   1.2096692E-06   7.8117022E-06   4.0837228E-06   1.5135218E-06   1.4627133E-05   3.8245434E-03
 rcond05         4.0543789E-09   6.1316138E-07   4.3522384E-06   2.3883584E-06   9.8566493E-07   8.3434775E-06   2.8885078E-03
 rcond06         1.7730611E-09   2.7430627E-07   1.9988406E-06   1.0883650E-06   4.4029644E-07   3.8035814E-06   1.9502773E-03
 rcond07         1.6277067E-11   6.8551043E-10   2.6674967E-10   1.0782151E-09   2.3446897E-09   4.3914419E-09   6.6267955E-05
 rcond08         6.4122083E-09   6.4290976E-07   1.7734064E-06   2.9965749E-08   2.2356276E-07   2.6762569E-06   1.6359269E-03
 rcond09         4.3402700E-08   7.1845888E-07   5.2826086E-06   6.0174554E-06   6.9347258E-06   1.8996651E-05   4.3585148E-03
 rcond10         3.2409264E-10   1.5894246E-08   3.7576955E-09   1.1315872E-07   2.7625601E-06   2.8956948E-06   1.7016741E-03
 rcond11         1.9510749E-10   9.9780381E-09   6.0268078E-09   1.3632851E-07   2.6039408E-06   2.7564693E-06   1.6602618E-03
 rcond12         5.1201836E-10   2.8497403E-08   3.6082462E-08   6.0689724E-07   9.7452024E-06   1.0417192E-05   3.2275674E-03
 rcond13         5.1201836E-10   2.8497403E-08   3.6082462E-08   6.0689724E-07   9.7452024E-06   1.0417192E-05   3.2275674E-03
 rcond14         1.3392607E-09   7.2200694E-08   7.1602459E-08   1.3185079E-06   2.2424049E-05   2.3887699E-05   4.8875044E-03
 rcond15         7.8042997E-10   3.9912152E-08   2.4107231E-08   5.4531404E-07   1.0415763E-05   1.1025877E-05   3.3205236E-03
 rcond16         1.1051988E-09   5.3245001E-08   1.4538627E-08   4.8702468E-07   1.1108633E-05   1.1664547E-05   3.4153400E-03
 rcond17         3.7158123E-10   1.7123987E-08   1.8441624E-09   1.0800729E-07   2.9559532E-06   3.0833002E-06   1.7559329E-03
 rcond18         1.9510749E-10   9.9780381E-09   6.0268078E-09   1.3632851E-07   2.6039408E-06   2.7564693E-06   1.6602618E-03
 rcond19          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 rcond20         9.9002324E-10   6.5841527E-09   3.6210049E-08   6.0214329E-07   1.0011502E-05   1.0657430E-05   3.2645719E-03
