 Model predictive error variances for prediction "sw_gw_0" ---->
 ---------------------------------------------------------------
 Sing_val  variance_1          variance_2         variance_3          total_variance      standard_deviation
     0     77533.56            0.000000            2100.442            79634.00            282.1950    
     1     108687.1            13.77403            1677.260            110378.1            332.2320    
     2     106758.0            14.08484            1680.548            108452.6            329.3215    
     3     105651.2            14.37952            1694.022            107359.6            327.6578    
     4     102618.2            15.97257            1648.794            104282.9            322.9287    
     5     102247.6            16.21398            1636.577            103900.4            322.3358    
     6     100763.3            17.29784            1628.147            102408.8            320.0137    
     7     99459.07            18.38852            1593.965            101071.4            317.9173    
     8     89775.72            30.61537            1447.573            91253.90            302.0826    
     9     89258.74            31.35681            1464.003            90754.10            301.2542    
    10     89180.82            31.50010            1462.272            90674.59            301.1222    
    11     88235.12            33.32549            1432.504            89700.95            299.5012    
    12     87472.15            35.40222            1377.584            88885.14            298.1361    
    13     85218.92            43.14313            1249.928            86511.99            294.1292    
    14     85218.53           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    15     85217.77           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    16     85217.02           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    17     85214.79           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    18     85213.38           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    19     85211.07           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    20     85210.16           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    21     85209.78           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    22     85209.78           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    23     85208.82           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    24     85207.68           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    25     85206.41           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    26     85204.19           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    27     85201.98           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    28     85200.78           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    29     85200.10           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    30     85199.15           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    31     85198.77           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    32     85197.81           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    33     85196.50           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    34     85195.94           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    35     85195.59           1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
