name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
RCH_1,0,0.0217875,-0.0435751,0.0435751,0,0.0154242,-0.0308484,0.0308484
RCH_2,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
RCOND00,3.69058,0.5,2.69058,4.69058,3.69058,0.499988,2.69061,4.69056
RCOND01,3.69058,0.5,2.69058,4.69058,3.69058,0.499895,2.69079,4.69037
RCOND02,3.69058,0.5,2.69058,4.69058,3.69058,0.499895,2.69079,4.69037
RCOND03,3.69058,0.5,2.69058,4.69058,3.69058,0.499719,2.69115,4.69002
RCOND04,3.69058,0.5,2.69058,4.69058,3.69058,0.499819,2.69095,4.69022
RCOND05,3.69058,0.5,2.69058,4.69058,3.69058,0.49995,2.69068,4.69048
RCOND06,3.69058,0.5,2.69058,4.69058,3.69058,0.499988,2.69061,4.69056
RCOND07,3.69058,0.5,2.69058,4.69058,3.69058,0.499989,2.69061,4.69056
RCOND08,3.69058,0.5,2.69058,4.69058,3.69058,0.499999,2.69059,4.69058
RCOND09,3.69058,0.5,2.69058,4.69058,3.69058,0.499965,2.69065,4.69051
RCOND10,3.69058,0.5,2.69058,4.69058,3.69058,0.49998,2.69062,4.69054
RCOND11,3.69058,0.5,2.69058,4.69058,3.69058,0.499989,2.69061,4.69056
RCOND12,3.69058,0.5,2.69058,4.69058,3.69058,0.499977,2.69063,4.69054
RCOND13,3.69058,0.5,2.69058,4.69058,3.69058,0.499977,2.69063,4.69054
RCOND14,3.69058,0.5,2.69058,4.69058,3.69058,0.499935,2.69071,4.69045
RCOND15,3.69058,0.5,2.69058,4.69058,3.69058,0.499955,2.69067,4.69049
RCOND16,3.69058,0.5,2.69058,4.69058,3.69058,0.499918,2.69075,4.69042
RCOND17,3.69058,0.5,2.69058,4.69058,3.69058,0.499966,2.69065,4.69052
RCOND18,3.69058,0.5,2.69058,4.69058,3.69058,0.499989,2.69061,4.69056
RCOND19,3.69058,0.5,2.69058,4.69058,3.69058,0.5,2.69058,4.69058
RCOND20,3.69058,0.5,2.69058,4.69058,3.69058,0.499985,2.69061,4.69055
RCOND21,3.69058,0.5,2.69058,4.69058,3.69058,0.499979,2.69062,4.69054
RCOND22,3.69058,0.5,2.69058,4.69058,3.69058,0.499964,2.69066,4.69051
RCOND23,3.69058,0.5,2.69058,4.69058,3.69058,0.499935,2.69071,4.69045
RCOND24,3.69058,0.5,2.69058,4.69058,3.69058,0.499965,2.69065,4.69051
RCOND25,3.69058,0.5,2.69058,4.69058,3.69058,0.49997,2.69064,4.69052
RCOND26,3.69058,0.5,2.69058,4.69058,3.69058,0.499988,2.69061,4.69056
RCOND27,3.69058,0.5,2.69058,4.69058,3.69058,0.499973,2.69064,4.69053
RCOND28,3.69058,0.5,2.69058,4.69058,3.69058,0.499976,2.69063,4.69054
RCOND29,3.69058,0.5,2.69058,4.69058,3.69058,0.499906,2.69077,4.6904
RCOND30,3.69058,0.5,2.69058,4.69058,3.69058,0.499855,2.69087,4.69029
RCOND31,3.69058,0.5,2.69058,4.69058,3.69058,0.499947,2.69069,4.69048
RCOND32,3.69058,0.5,2.69058,4.69058,3.69058,0.499975,2.69063,4.69053
