 Model predictive error variances for prediction "travel_time" ---->
 -------------------------------------------------------------------
 Sing_val  variance_1          variance_2         variance_3          total_variance      standard_deviation
     0    3.6929890E+07        0.000000            238085.6           3.7167976E+07        6096.554    
     1    3.6927524E+07       4.1488444E-04        238085.7           3.7165610E+07        6096.360    
     2    3.6727912E+07        31.92489            238255.4           3.6966199E+07        6079.983    
     3    3.6693082E+07        41.17643            238358.6           3.6931482E+07        6077.128    
     4    3.6586340E+07        96.79402            239057.5           3.6825495E+07        6068.401    
     5    3.6412996E+07        209.3822            240102.0           3.6653308E+07        6054.198    
     6    3.5502257E+07        869.8518            253005.2           3.5756132E+07        5979.643    
     7    3.5327202E+07        1015.796            255313.9           3.5583531E+07        5965.193    
     8    3.5287002E+07        1066.004            253663.1           3.5541731E+07        5961.689    
     9    3.4946775E+07        1551.754            252675.3           3.5201002E+07        5933.043    
    10    3.4920521E+07        1599.883            252749.6           3.5174870E+07        5930.841    
    11    3.3708774E+07        3930.724            252026.8           3.3964732E+07        5827.927    
    12    3.3685914E+07        3992.548            251710.2           3.3941617E+07        5825.943    
    13    3.3628645E+07        4189.063            252459.9           3.3885294E+07        5821.108    
    14    3.3628642E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    15    3.3628636E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    16    3.3628630E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    17    3.3628615E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    18    3.3628606E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    19    3.3628591E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    20    3.3628587E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    21    3.3628584E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    22    3.3628580E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    23    3.3628562E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    24    3.3628544E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    25    3.3628530E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    26    3.3628518E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    27    3.3628500E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    28    3.3628436E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    29    3.3628068E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    30    3.3624077E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    31    3.3623856E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    32    3.3623146E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    33    3.3621829E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    34    3.3621395E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
    35    3.3621123E+07       1.0000000E+35       1.0000000E+35       2.0000001E+35       4.4721360E+17
