,percent_reduce,post,prior
base,0.0009284859581144747,79633.29520138435,79634.03459221341
rcond02,0.0009284859971368177,79633.29185453085,79634.03124535992
hkr34c13,0.00092080585832232,79594.26398300796,79594.99689840233
hkr35c17,0.0009284859580962014,79633.29520138436,79634.03459221341
rcond19,0.0009284859971185444,79633.29185453085,79634.0312453599
hkr35c16,0.0009284859596388214,79633.29506751025,79634.03445833929
rcond16,0.0009284859971368179,79633.29185453083,79634.0312453599
hkr24c10,0.0009233996523958419,79631.58982894308,79632.32515355674
hkr35c14,0.0009288134928298422,79605.21323017546,79605.9526210045
rcond14,0.0009284860143066498,79633.2903819153,79634.02977274437
hkr04c00,0.0009282626778071573,79633.2920323695,79634.03124536038
hkr04c01,0.0009278644620579724,79633.28913653565,79634.02803238147
hkr04c02,0.0009260011735502564,79633.27094103371,79634.0083528856
hkr04c03,0.0009235709323660786,79633.26484395908,79634.00032043832
hkr04c04,0.000919055784056297,79633.23189225304,79633.96377280317
hkr04c05,0.0009150362293831909,79633.2222413857,79633.95092088751
hkr04c06,0.0009135484266960547,79633.20950340033,79633.93699797889
hkr04c07,0.0009143078170944185,79633.20889866786,79633.93699797889
hkr04c08,0.0009124109199980273,79633.1954154769,79633.92200407729
hkr04c09,0.0009149579540624187,79633.20101792886,79633.92963490219
hkr19c19,0.0009284859580779278,79633.29520138438,79634.03459221341
hkr19c18,0.0009284859830704969,79633.29305939842,79634.03245022747
hkr24c14,0.0009272448167562137,79632.3739394843,79633.11233339083
rcond10,0.0009284859721442445,79633.2939965171,79634.03338734615
hkr08c03,0.0008893484428059813,79632.87601962751,79633.5842396689
hkr15c11,0.0009284108770382986,79633.29191435246,79634.03124536037
hkr15c10,0.0009284862968318361,79633.29520111461,79634.03459221341
hkr15c13,0.0009282753258064417,79633.26913003511,79634.0083528856
hkr15c12,0.0009283807318462687,79633.2887254092,79634.02803238145
hkr15c15,0.0009284859643397751,79633.29466588788,79634.03405671693
hkr15c14,0.000928365664132424,79633.28672931506,79634.02602426964
hkr15c17,0.0009284859643397751,79633.29466588788,79634.03405671693
hkr15c16,0.0009284859643397751,79633.29466588788,79634.03405671693
hkr15c19,0.0009284859580962014,79633.29520138436,79634.03459221341
hkr15c18,0.0009284859830704969,79633.29305939842,79634.03245022747
hkr12c19,0.0009284859721259691,79633.29399651727,79634.03338734631
hkr06c12,0.000925798618034532,79633.2711023368,79634.00835288562
hkr08c19,0.0009284859643397751,79633.29466588788,79634.03405671693
hkr08c18,0.0009284859643397751,79633.29466588788,79634.03405671693
hkr08c13,0.0009275139561576242,79633.27335091206,79634.0119674869
hkr08c12,0.0009267486751732722,79633.27396033601,79634.0119674869
hkr08c11,0.0009258076955998316,79633.2747096758,79634.0119674869
hkr08c10,0.0009249953489262177,79633.27174201219,79634.00835288562
hkr08c17,0.0009284859830522234,79633.29305939843,79634.03245022747
hkr08c16,0.0009284859721259689,79633.29399651728,79634.03338734632
hkr08c15,0.0009284859643215015,79633.2946658879,79634.03405671693
hkr08c14,0.0009281269312095401,79633.2869194277,79634.02602426964
hkr16c03,0.0009377149677797957,79633.19735389414,79633.94409330733
hkr16c02,0.0009381254745010522,79633.19702699145,79633.94409330733
hkr16c01,0.0009358817480321959,79633.21220104618,79633.95748071947
hkr16c00,0.0009344956823798922,79633.21959685,79633.96377280317
hkr16c09,0.0009284862968135625,79633.29520111463,79634.03459221341
hkr16c08,0.0009284859580962014,79633.29520138436,79634.03459221341
hkr39c05,0.0009267279801787884,79631.4325553411,79632.17052894662
hkr39c06,0.000928542904578661,79628.41133956022,79629.1507303893
hkr39c07,0.0009285343108857703,79629.14831659866,79629.88770742774
hkr39c08,0.0009285343108857703,79629.14831659866,79629.88770742774
hkr39c09,0.0009285095734901713,79631.26981980118,79632.00921063026
hkr19c15,0.0009284859721625157,79633.29399651727,79634.03338734634
hkr19c14,0.0009279007713479465,79633.2730428756,79634.0119674869
hkr19c17,0.0009284859580962014,79633.29520138436,79634.03459221341
hkr19c16,0.0009284859596570947,79633.29506751025,79634.0344583393
hkr36c05,0.0009380460705908323,79585.89324702458,79586.639806372
hkr36c04,0.0009310676713186856,79629.51471743864,79630.25612901004
hkr36c07,0.0009331606226957906,79621.24292026433,79621.98592128395
hkr36c06,0.0009348500086685317,79611.4399390983,79612.18419360914
hkr36c09,0.0009282151651789039,79633.25204221497,79633.99121699808
hkr19c11,0.0009274932009415797,79633.1502043909,79633.8888032952
hkr19c10,0.0009281400372629387,79633.22465810215,79633.96377280318
hkr01c03,0.0009271993599384288,79633.28765809005,79634.02602426964
hkr01c02,0.0009275521087747988,79633.285101343,79634.02374840959
hkr01c01,0.0009282626777888837,79633.29203236951,79634.03124536038
hkr01c00,0.0009284108770748453,79633.29191435245,79634.03124536038
hkr09c18,0.0009284859643397751,79633.29466588788,79634.03405671693
hkr09c19,0.0009284859643397751,79633.29466588788,79634.03405671693
hkr01c05,0.0009235709323660786,79633.26484395908,79634.00032043832
hkr01c04,0.0009251696395010619,79633.26772090403,79634.0044705361
hkr09c14,0.0009285025555941015,79633.2951881671,79634.03459221341
hkr09c15,0.0009284859830704969,79633.29305939842,79634.03245022747
hkr09c16,0.0009284859580962014,79633.29520138436,79634.03459221341
hkr01c08,0.0009218109912380169,79633.25218881742,79633.98626365556
hkr09c10,0.0009258475941737812,79633.27802472499,79634.01531433992
hkr09c11,0.0009256215785799853,79633.27485788823,79634.01196748689
hkr09c12,0.0009273007922426835,79633.28275789173,79634.02120480126
hkr09c13,0.000929056829689776,79633.29260481024,79634.03245022747
hkr19c13,0.0009284868571716909,79633.21808989043,79633.95748071949
hkr38c10,0.0009344243122275229,79614.16218120701,79614.90612224597
hkr38c11,0.0009370121315545409,79595.11376038079,79595.8595832413
hkr38c12,0.0009309738942436764,79629.7798604062,79630.52119977042
hkr38c13,0.0009304061738250314,79468.942761965,79469.68215279406
hkr38c14,0.0009301903550462285,79487.38097696155,79488.12036779062
hkr38c15,0.000928486857208238,79633.2180898904,79633.95748071949
hkr38c16,0.0009284859971733591,79633.2918545313,79634.0312453604
wf3_2,0.0009284961556523575,79633.29519326364,79634.03459221341
hkr25c00,0.000932947767290328,79633.05549651869,79633.79843826323
hkr25c03,0.0009329722996152641,79633.26900421418,79634.0119674869
wf3_1,0.0009318154507929406,79348.7528745094,79349.49226533846
hkr25c05,0.0009118925816563773,79632.57532735555,79633.30149752443
hkr25c04,0.0009189878451729611,79633.16567927435,79633.89750511305
hkr25c07,0.0009088799861540532,79631.01342149354,79631.73717841538
hkr25c06,0.0009094530438833483,79631.80616211344,79632.53038258493
hkr25c09,0.000917095402566837,79630.21127280769,79630.9415645118
hkr19c12,0.0009248183307590248,79632.79998106507,79633.53644660756
hkr37c13,0.0009127752775581677,79443.41154812477,79444.13669456399
hkr37c12,0.0009219120979655085,79605.2187240966,79605.95262100452
hkr37c15,0.0009284859581144745,79633.29520138436,79634.03459221343
hkr37c14,0.0009298437703533528,79517.00892652482,79517.74831735388
hkr37c17,0.0009284859580962014,79633.29520138436,79634.03459221341
hkr37c16,0.0009284859971368123,79633.29185453132,79634.03124536038
hkr13c19,0.0009284859721442424,79633.29399651727,79634.03338734632
hkr13c18,0.0009284859830704969,79633.29305939842,79634.03245022747
hkr13c17,0.0009284859596570947,79633.29506751025,79634.0344583393
hkr13c16,0.0009284859721442424,79633.29399651727,79634.03338734632
hkr13c15,0.0009284859596388214,79633.29506751025,79634.03445833929
hkr13c14,0.0009284860845285868,79633.28435758053,79634.02374840959
hkr13c13,0.000928320480389836,79633.27913454262,79634.01839344473
hkr13c12,0.0009283958028452986,79633.29045375499,79634.02977274504
hkr13c11,0.0009283666052068941,79633.29315446381,79634.03245022746
hkr13c10,0.0009284571306176612,79633.29509046796,79634.03445833929
hkr18c18,0.0009284859830704967,79633.29305939843,79634.03245022749
hkr32c18,0.0009284859596570948,79633.29506751023,79634.03445833929
hkr32c19,0.000928485958077928,79633.29520138436,79634.0345922134
hkr32c16,0.0009284859830522237,79633.29305939842,79634.03245022746
hkr32c17,0.0009284859596570948,79633.29506751023,79634.03445833929
hkr32c14,0.0009285671066539937,79626.33588905548,79627.07527988452
hkr32c15,0.0009284859830522237,79633.29305939842,79634.03245022746
hkr32c12,0.0009253738617268841,79627.33752506602,79628.07438245295
hkr32c13,0.0009230952851555743,79614.77362878656,79615.50855579229
hkr32c10,0.00091538283890909,79629.20577848758,79629.93469724443
hkr32c11,0.0009273452916424754,79633.24778163338,79633.98626365555
hkr24c19,0.0009284859643580482,79633.29466588788,79634.03405671695
hkr18c16,0.0009284859580962012,79633.29520138438,79634.03459221343
rcond18,0.0009284859721625177,79633.2939965171,79634.03338734616
hkr18c17,0.0009284859580962012,79633.29520138438,79634.03459221343
hkr24c11,0.0009248613854195639,79631.33805489364,79632.07454120148
rcond17,0.0009284860143066498,79633.2903819153,79634.02977274437
hkr24c13,0.0009217001974801791,79630.24816945096,79630.9821283705
hkr24c12,0.0009224597363661604,79630.89617875789,79631.63074848895
rcond12,0.0009284859643580493,79633.29466588779,79634.03405671686
rcond13,0.0009284859643580493,79633.29466588779,79634.03405671686
hkr24c17,0.0009284859596570947,79633.29506751025,79634.0344583393
rcond11,0.0009284859830705004,79633.29305939811,79634.03245022717
hkr31c08,0.000924398037414661,79632.67942854532,79633.41555827587
hkr18c15,0.0009284859643397751,79633.29466588788,79634.03405671693
hkr10c17,0.0009284859830339501,79633.29305939843,79634.03245022746
hkr18c12,0.0009281250213422554,79633.21837803461,79633.95748071947
hkr18c14,0.0009286071371467559,79633.28653702038,79634.02602426964
hkr18c13,0.0009284863092973572,79633.26507970704,79634.00447053609
hkr18c10,0.000928320480389836,79633.27913454262,79634.01839344473
hkr18c11,0.0009282302004695195,79633.25671579252,79633.99590259233
