name,x,y,z,mean_kh,sd_kh,major,anisotropy,bearing,layer,bearing_std,correlation_std,anisotropy_std,n_samples,data_coverage,radius_m
manual_001,1904353,5612903,-10,0.76,0.43,1280,3.65,68.3,1,56.3,116.62,0.77,5,0.966,300
manual_002,1902277,5613650,-10,38.57,20.32,1460,3.98,40.9,1,23.9,48.99,0.74,5,1,300
manual_003,1929019,5612736,-10,1826.29,231.14,1320,4.4,40,1,0.1,146.97,0.49,5,1,300
manual_004,1925579,5611148,-10,280.96,206.39,1140,6.8,82,1,9.8,185.47,2.29,5,1,300
manual_005,1924706,5609058,-10,697.29,168.4,460,1.53,18.4,1,54.8,48.99,0.16,5,1,300
manual_006,1923753,5609428,-10,204.12,82.76,1120,7.67,58.9,1,43.3,203.96,4.09,5,1,300
manual_007,1926717,5610513,-10,2151.96,284.3,1200,10.1,25.3,1,24.2,352.14,4.61,5,1,300
manual_008,1924574,5607523,-10,532.27,106.21,1240,3.09,49.9,1,11,80,1.04,5,1,300
manual_009,1924177,5606703,-10,470.27,95.84,740,7.4,72.4,1,39.5,307.25,3.07,5,1,300
manual_010,1923409,5608370,-10,598.24,194.65,920,5.37,30,1,6.3,193.91,3.89,5,1,300
manual_011,1922907,5607788,-10,490.59,209.67,1140,5.53,80,1,29.1,80,2.38,5,1,300
manual_012,1922325,5608661,-10,185.63,64.34,1160,9.4,26.6,1,26.3,80,3.25,5,1,300
manual_013,1921769,5608926,-10,123.96,53.12,1160,6.63,106.3,1,22.6,249.8,3.33,5,1,300
manual_014,1921293,5609534,-10,182,93.73,760,4.8,86.4,1,54.1,162.48,2.66,5,1,300
manual_015,1923145,5608846,-10,322.35,131.4,1280,5.65,20.1,1,11,74.83,3.21,5,1,300
manual_016,1923118,5609322,-10,199.63,47.12,1060,2.33,50.7,1,29.1,492.34,0.82,5,1,300
manual_017,1922960,5609957,-10,263.31,285.93,820,6.3,98,1,44.6,263.82,2.71,5,0.931,300
manual_018,1922616,5609005,-10,199.31,90.25,1120,3.78,42.2,1,25.7,386.78,1.28,5,1,300
manual_019,1922430,5609455,-10,142.71,80.28,1260,4.62,72.9,1,38.7,233.24,0.6,5,1,300
manual_020,1922166,5609825,-10,502.49,287.24,1040,6.3,138,1,7.5,80,2.38,5,1,300
manual_021,1931878,5615594,-10,618.69,196.25,1260,9.8,18.6,1,90,332.26,3.87,5,1,300
manual_022,1932870,5616817,-10,307.2,104.43,1400,2.12,53.8,1,26.9,154.92,0.16,5,1,300
manual_024,1937930,5606796,-10,0.84,0.74,1280,8.23,30,1,20.1,193.91,3.2,5,1,300
manual_027,1931183,5600843,-10,0.92,2.72,1080,6.73,59.2,1,53.3,256.12,2.35,5,1,300
manual_028,1930422,5602397,-10,19.49,18.46,1280,10.1,47,1,41.3,97.98,2.84,5,1,300
manual_029,1917888,5606333,-10,74.35,77.75,1120,6.7,79.3,1,47.7,318.75,2.68,5,1,300
manual_030,1930951,5613708,-10,878.41,175.31,1080,5.67,64.4,1,17.4,116.62,3.72,5,1,300
manual_031,1929496,5613312,-10,1043.51,355.73,1320,12.5,73.2,1,36.8,312.41,4.52,5,1,300
manual_032,1928173,5613278,-10,66.9,154.22,820,3.57,46,1,13.6,172.05,1.1,5,1,300
manual_033,1926850,5612782,-10,20.47,14.6,1020,4.43,100,1,29.1,74.83,0.97,5,1,300
manual_034,1925792,5612551,-10,155.16,116.66,1420,9.53,61.3,1,54.9,74.83,4.17,5,1,300
manual_035,1924568,5612419,-10,145.94,51.91,1220,3.91,82,1,9.8,116.62,1.2,5,1,300
manual_036,1935482,5611989,-10,365.31,125.63,1400,7.47,48.4,1,20.4,0.1,3.43,5,1,300
manual_037,1934358,5611989,-10,686.08,175.58,1340,12.2,61.8,1,37.5,101.98,3.19,5,1,300
manual_038,1933663,5611989,-10,701,193.8,1500,12,95.2,1,44.7,0.1,3.67,5,1,300
manual_039,1932605,5611922,-10,623.08,53.02,1440,4.78,72.6,1,42.4,48.99,1.24,5,1,300
manual_040,1931481,5611956,-10,1179.84,286.27,1060,9.7,81.1,1,72.4,224.5,3.34,5,1,300
manual_041,1934953,5609012,-10,573.67,118.38,1420,3.67,14,1,4.9,74.83,0.77,5,1,300
