name,x,y,z,mean_kh,sd_kh,major,transverse,normal,anisotropy,bearing,dip,layer
300_0,1682569.2711419624,5403674.589484582,10.00000001,2.778733,0.5,3000,300,5,9.999999999,85,0.5,4
300_1,1685170.7949142777,5413966.568,10.000000015000001,20.797330000000002,0.5,3000,300,5,9.999999999,142,0.5,4
300_2,1687245.922086844,5401585.2998034675,10.000000015000001,5.223497999999999,0.5,3000,300,5,9.999999999,80,0.5,4
300_3,1687719.1405320638,5399910.7776723225,10.000000024999999,5.940201,0.5,3000,300,5,9.999999999,60,0.5,4
300_4,1682730.9262653994,5412470.112514353,16.999999980000002,6.955375999999999,0.5,3000,300,5,9.999999999,142,0.5,5
300_5,1685657.162753461,5401028.485253247,17,65.85429,0.5,3000,300,5,9.999999999,60,0.5,5
300_6,1682569.2711419624,5403674.589484582,17.00000002,33.34105,0.5,3000,300,5,9.999999999,85,0.5,5
300_7,1678983.756485376,5412265.873680885,17.00000003,20.277549999999998,0.5,3000,300,5,9.999999999,85,0.5,5
300_8,1686991.3475219798,5416335.115318223,17.00000003,14.48703,0.5,3000,300,5,9.999999999,142,0.5,5
300_9,1687245.922086844,5401585.2998034675,17.00000003,20.89951,0.5,3000,300,5,9.999999999,80,0.5,5
300_10,1685170.7949142777,5413966.568,17.000000030000002,234.92950000000002,0.5,3000,300,5,9.999999999,142,0.5,5
300_11,1687719.1405320638,5399910.7776723225,17.00000005,2.8481840000000003,0.5,3000,300,5,9.999999999,60,0.5,5
300_12,1682730.9262653994,5412470.112514353,25.999999980000002,38.7516,0.5,3000,300,5,9.999999999,142,0.5,6
300_13,1682569.2711419624,5403674.589484582,26.00000002,316.9902,0.5,3000,300,5,9.999999999,85,0.5,6
300_14,1687245.922086844,5401585.2998034675,26.00000003,20.4303,0.5,3000,300,5,9.999999999,80,0.5,6
300_15,1685170.7949142777,5413966.568,26.000000030000002,157.4245,0.5,3000,300,5,9.999999999,142,0.5,6
300_16,1685657.162753461,5401028.485253247,26.000000049999997,6.129616,0.5,3000,300,5,9.999999999,60,0.5,6
300_17,1678983.756485376,5412265.873680885,26.00000005,3.9242519999999996,0.5,3000,300,5,9.999999999,85,0.5,6
300_18,1686991.3475219798,5416335.115318223,26.00000005,31.19183,0.5,3000,300,5,9.999999999,142,0.5,6
300_19,1687719.1405320638,5399910.7776723225,26.00000005,23.325960000000002,0.5,3000,300,5,9.999999999,60,0.5,6
300_20,1684939.2695517193,5404843.704,35.99999996,10.62328,0.5,3000,300,5,9.999999999,85,0.5,7
300_21,1682730.9262653994,5412470.112514353,35.99999998,2.313951,0.5,3000,300,5,9.999999999,142,0.5,7
300_22,1684273.0683848127,5410294.0507750325,35.99999999,10.18898,0.5,3000,300,5,9.999999999,85,0.5,7
300_23,1684409.3771350996,5406785.642836028,35.99999999,49.25010999999999,0.5,3000,300,5,9.999999999,85,0.5,7
300_24,1678983.756485376,5412265.873680885,36,11.19839,0.5,3000,300,5,9.999999999,85,0.5,7
300_25,1682473.9628949214,5405936.571881025,36,23.34987,0.5,3000,300,5,9.999999999,85,0.5,7
300_26,1686991.3475219798,5416335.115318223,36,7.3330850000000005,0.5,3000,300,5,9.999999999,142,0.5,7
300_27,1687761.3048595898,5405362.573,36,5.87852,0.5,3000,300,5,9.999999999,85,0.5,7
300_28,1681409.4659152287,5414023.385059585,36.00000000000001,5.749133,0.5,3000,300,5,9.999999999,90,0.5,7
300_29,1681395.075846033,5411367.899280492,36.000000009999994,1.344324,0.5,3000,300,5,9.999999999,85,0.5,7
300_30,1682141.8850635602,5408148.837474274,36.00000001,8.324654,0.5,3000,300,5,9.999999999,85,0.5,7
300_31,1685782.3285163667,5407974.430113734,36.000000019999995,28.453960000000002,0.5,3000,300,5,9.999999999,85,0.5,7
300_32,1682569.2711419624,5403674.589484582,36.00000002,4.441063,0.5,3000,300,5,9.999999999,85,0.5,7
300_33,1680464.5315931442,5405125.322272053,36.00000003,85.88189,0.5,3000,300,5,9.999999999,85,0.5,7
300_34,1685170.7949142777,5413966.568,36.00000003,1.65217,0.5,3000,300,5,9.999999999,142,0.5,7
300_35,1687245.922086844,5401585.2998034675,36.00000003,36.72094,0.5,3000,300,5,9.999999999,80,0.5,7
300_36,1685657.162753461,5401028.485253247,36.00000005,2.504426,0.5,3000,300,5,9.999999999,60,0.5,7
300_37,1687719.1405320638,5399910.7776723225,36.00000005,7.611434,0.5,3000,300,5,9.999999999,60,0.5,7
300_38,1678983.756485376,5412265.873680885,50.99999995,39.26069,0.5,3000,300,5,9.999999999,85,0.5,8
300_39,1686991.3475219798,5416335.115318223,50.99999995,40.423970000000004,0.5,3000,300,5,9.999999999,142,0.5,8
300_40,1684939.2695517193,5404843.704,50.99999996,2.7688800000000002,0.5,3000,300,5,9.999999999,85,0.5,8
300_41,1682730.9262653994,5412470.112514353,50.99999998,29.76087,0.5,3000,300,5,9.999999999,142,0.5,8
300_42,1684273.0683848127,5410294.0507750325,50.99999999,37.8841,0.5,3000,300,5,9.999999999,85,0.5,8
300_43,1684409.3771350996,5406785.642836028,50.99999999,8.206401,0.5,3000,300,5,9.999999999,85,0.5,8
300_44,1682473.9628949214,5405936.571881025,51,14.46459,0.5,3000,300,5,9.999999999,85,0.5,8
300_45,1687761.3048595898,5405362.573,51,11.170340000000001,0.5,3000,300,5,9.999999999,85,0.5,8
300_46,1681409.4659152287,5414023.385059585,51.00000000000001,25.70037,0.5,3000,300,5,9.999999999,90,0.5,8
300_47,1681395.075846033,5411367.899280492,51.000000009999994,5.179660999999999,0.5,3000,300,5,9.999999999,85,0.5,8
300_48,1682141.8850635602,5408148.837474274,51.00000001,17.638279999999998,0.5,3000,300,5,9.999999999,85,0.5,8
300_49,1685782.3285163667,5407974.430113734,51.000000019999995,17.24931,0.5,3000,300,5,9.999999999,85,0.5,8
300_50,1682569.2711419624,5403674.589484582,51.00000002,33.74293,0.5,3000,300,5,9.999999999,85,0.5,8
300_51,1680464.5315931442,5405125.322272053,51.00000003,51.159150000000004,0.5,3000,300,5,9.999999999,85,0.5,8
300_52,1685170.7949142777,5413966.568,51.00000003,5.658855000000001,0.5,3000,300,5,9.999999999,142,0.5,8
300_53,1687245.922086844,5401585.2998034675,51.00000003,4.689365,0.5,3000,300,5,9.999999999,80,0.5,8
300_54,1685657.162753461,5401028.485253247,51.00000005,23.59987,0.5,3000,300,5,9.999999999,60,0.5,8
300_55,1687719.1405320638,5399910.7776723225,51.00000005,16.65355,0.5,3000,300,5,9.999999999,60,0.5,8
300_56,1686991.3475219798,5416335.115318223,70.99999995,6.737953,0.5,3000,300,5,9.999999999,142,0.5,9
300_57,1684939.2695517193,5404843.704,70.99999996,2.500534,0.5,3000,300,5,9.999999999,85,0.5,9
300_58,1682730.9262653994,5412470.112514353,70.99999998,4.295808,0.5,3000,300,5,9.999999999,142,0.5,9
300_59,1684409.3771350996,5406785.642836028,70.99999998999999,2.228755,0.5,3000,300,5,9.999999999,85,0.5,9
300_60,1684273.0683848127,5410294.0507750325,70.99999999,2.8736650000000004,0.5,3000,300,5,9.999999999,85,0.5,9
300_61,1678983.756485376,5412265.873680885,71,10.65199,0.5,3000,300,5,9.999999999,85,0.5,9
300_62,1681409.4659152287,5414023.385059585,71,8.814223,0.5,3000,300,5,9.999999999,90,0.5,9
300_63,1682473.9628949214,5405936.571881025,71,2.732143,0.5,3000,300,5,9.999999999,85,0.5,9
300_64,1687761.3048595898,5405362.573,71,5.911583,0.5,3000,300,5,9.999999999,85,0.5,9
300_65,1681395.075846033,5411367.899280492,71.00000001000001,63.648740000000004,0.5,3000,300,5,9.999999999,85,0.5,9
300_66,1682141.8850635602,5408148.837474274,71.00000001000001,18.95451,0.5,3000,300,5,9.999999999,85,0.5,9
300_67,1682569.2711419624,5403674.589484582,71.00000001999999,7.026813,0.5,3000,300,5,9.999999999,85,0.5,9
300_68,1685782.3285163667,5407974.430113734,71.00000002,8.785492999999999,0.5,3000,300,5,9.999999999,85,0.5,9
300_69,1680464.5315931442,5405125.322272053,71.00000003,19.17783,0.5,3000,300,5,9.999999999,85,0.5,9
300_70,1685170.7949142777,5413966.568,71.00000003,2.284634,0.5,3000,300,5,9.999999999,142,0.5,9
300_71,1687245.922086844,5401585.2998034675,71.00000003,23.34677,0.5,3000,300,5,9.999999999,80,0.5,9
300_72,1685657.162753461,5401028.485253247,71.00000005,6.07711,0.5,3000,300,5,9.999999999,60,0.5,9
300_73,1687719.1405320638,5399910.7776723225,71.00000005,2.529114,0.5,3000,300,5,9.999999999,60,0.5,9
300_74,1684939.2695517193,5404843.704,90.99999976,2.049351,0.5,3000,300,5,9.999999999,85,0.5,10
300_75,1682141.8850635602,5408148.837474274,90.99999981,24.73234,0.5,3000,300,5,9.999999999,85,0.5,10
