Name,x,y,z,mean_kh,logsdkh,kvmul,porosity,sd_kvmul,sd_porosity,major,transverse,avert,bearing,dip,rake,type_index,type,layer,ahmax_e,ahmax_n,hmax_e,hmax_n
192_0,1677295.727,5403403.355,0.5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,55,0,0,192,swamp,1,737.2368399,516.2187927,0.819152044,0.573576436
192_5,1677295.727,5403403.355,2,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,55,0,0,192,swamp,2,737.2368399,516.2187927,0.819152044,0.573576436
192_10,1677295.727,5403403.355,5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,55,0,0,192,swamp,3,737.2368399,516.2187927,0.819152044,0.573576436
192_15,1677295.727,5403403.355,10,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,55,0,0,192,swamp,4,737.2368399,516.2187927,0.819152044,0.573576436
192_1,1678261.35,5405076.67,0.5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,105,0,0,192,swamp,1,869.3332437,-232.9371406,0.965925826,-0.258819045
192_6,1678261.35,5405076.67,2,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,105,0,0,192,swamp,2,869.3332437,-232.9371406,0.965925826,-0.258819045
192_11,1678261.35,5405076.67,5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,105,0,0,192,swamp,3,869.3332437,-232.9371406,0.965925826,-0.258819045
192_16,1678261.35,5405076.67,10,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,105,0,0,192,swamp,4,869.3332437,-232.9371406,0.965925826,-0.258819045
192_2,1678358.563,5408696.633,0.5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,96,0,0,192,swamp,1,895.0697058,-94.07561694,0.994521895,-0.104528463
192_7,1678358.563,5408696.633,2,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,96,0,0,192,swamp,2,895.0697058,-94.07561694,0.994521895,-0.104528463
192_12,1678358.563,5408696.633,5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,96,0,0,192,swamp,3,895.0697058,-94.07561694,0.994521895,-0.104528463
192_17,1678358.563,5408696.633,10,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,96,0,0,192,swamp,4,895.0697058,-94.07561694,0.994521895,-0.104528463
192_3,1678696.282,5406784.756,0.5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,125,0,0,192,swamp,1,737.2368399,-516.2187927,0.819152044,-0.573576436
192_8,1678696.282,5406784.756,2,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,125,0,0,192,swamp,2,737.2368399,-516.2187927,0.819152044,-0.573576436
192_13,1678696.282,5406784.756,5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,125,0,0,192,swamp,3,737.2368399,-516.2187927,0.819152044,-0.573576436
192_18,1678696.282,5406784.756,10,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,125,0,0,192,swamp,4,737.2368399,-516.2187927,0.819152044,-0.573576436
192_4,1679114.985,5410451.531,0.5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,80,0,0,192,swamp,1,886.3269777,156.2833599,0.984807753,0.173648178
192_9,1679114.985,5410451.531,2,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,80,0,0,192,swamp,2,886.3269777,156.2833599,0.984807753,0.173648178
192_14,1679114.985,5410451.531,5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,80,0,0,192,swamp,3,886.3269777,156.2833599,0.984807753,0.173648178
192_19,1679114.985,5410451.531,10,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,80,0,0,192,swamp,4,886.3269777,156.2833599,0.984807753,0.173648178
123_0,1679938.859,5413977.32,0.5,0.1,0.1,0.9,0.1,0.3,0.5,900,900,3,150,0,0,123,north_silts,1,450,-779.4228634,0.5,-0.866025404
123_1,1679938.859,5413977.32,2,0.1,0.1,0.9,0.1,0.3,0.5,900,900,3,150,0,0,123,north_silts,2,450,-779.4228634,0.5,-0.866025404
123_2,1679938.859,5413977.32,5,0.1,0.1,0.9,0.1,0.3,0.5,900,900,3,150,0,0,123,north_silts,3,450,-779.4228634,0.5,-0.866025404
123_3,1679938.859,5413977.32,10,0.1,0.1,0.9,0.1,0.3,0.5,900,900,3,150,0,0,123,north_silts,4,450,-779.4228634,0.5,-0.866025404
292_0,1680464.532,5405125.322,0.5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,135,0,0,292,confined,1,636.3961031,-636.3961031,0.707106781,-0.707106781
292_4,1680464.532,5405125.322,2,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,135,0,0,292,confined,2,636.3961031,-636.3961031,0.707106781,-0.707106781
292_8,1680464.532,5405125.322,5,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,135,0,0,292,confined,3,636.3961031,-636.3961031,0.707106781,-0.707106781
292_13,1680464.532,5405125.322,10,0.1,0.1,0.09,0.1,0.3,0.5,900,900,3,135,0,0,292,confined,4,636.3961031,-636.3961031,0.707106781,-0.707106781
