time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-644.22,-478.38,1206.1
32.00000000000,-860.19,-628.99,1622.8
61.00000000000,-1029.5,-758.24,1927.7
92.00000000000,-1110.9,-818.81,2059.4
122.0000000000,-1082.0,-794.21,1981.7
153.0000000000,-935.95,-681.19,1692.1
183.0000000000,-723.75,-520.27,1290.5
214.0000000000,-493.01,-349.64,871.34
245.0000000000,-308.44,-218.11,553.24
275.0000000000,-211.49,-154.12,407.05
306.0000000000,-226.81,-167.74,463.59
336.0000000000,-356.96,-264.61,722.61
367.0000000000,-573.50,-426.47,1127.7
398.0000000000,-808.19,-601.47,1551.2
426.0000000000,-979.22,-729.10,1847.0
457.0000000000,-1059.6,-785.87,1965.3
487.0000000000,-1016.3,-750.70,1857.4
518.0000000000,-857.63,-630.33,1547.1
548.0000000000,-638.64,-467.83,1141.3
579.0000000000,-414.48,-305.31,744.48
610.0000000000,-254.86,-192.31,478.81
640.0000000000,-211.29,-162.42,427.45
671.0000000000,-281.71,-214.05,580.64
701.0000000000,-457.80,-343.65,916.94
732.0000000000,-691.75,-517.00,1345.3
