,best_obs,sw_gw_1_variance,unc_reduce_iter_base,unc_reduce_initial_base
or13c01_0,or13c01_0,530919.5943323924,0.00756611261451968,0.00756611261451968
or12c00_0,or12c00_0,530899.8488649537,0.0037191069324802044,0.011284938155181118
or12c01_0,or12c01_0,530888.0505810042,0.0022223181970608395,0.013507005565007809
or33c11_0,or33c11_0,530879.2427829151,0.001659068814879339,0.015165850289369993
or01c00_0,or01c00_0,530870.7377399124,0.0016020673474051513,0.0167676746696397
or13c03_0,or13c03_0,530864.389598187,0.0011957980114771435,0.017963272173596577
or32c11_0,or32c11_0,530859.0934692288,0.0009976425358127865,0.018960735500165336
or35c09_0,or35c09_0,530853.8145951971,0.0009944021109699068,0.019954949065181173
or37c12_0,or37c12_0,530848.8794942455,0.0009296534782074659,0.020884417031510578
or12c02_0,or12c02_0,530844.3508115126,0.0008531020612248863,0.021737340927343293
