,best_obs,sw_gw_1_variance,unc_reduce_iter_base,unc_reduce_initial_base
or13c01_0,or13c01_0,530919.5943323929,0.007566112614322359,0.007566112614322359
or12c00_0,or12c00_0,530899.8488649537,0.0037191069325679094,0.011284938155071504
or12c01_0,or12c01_0,530888.050581004,0.0022223181971046954,0.013507005564942047
or33c11_0,or33c11_0,530879.2427829154,0.001659068814791626,0.015165850289216532
or01c00_0,or01c00_0,530870.7377399118,0.001602067347558652,0.016767674669639722
or13c03_0,or13c03_0,530864.389598187,0.001195798011367499,0.017963272173486967
or32c11_0,or32c11_0,530859.0934692287,0.000997642535834716,0.018960735500077652
or35c09_0,or35c09_0,530853.8145951967,0.000994402111013766,0.019954949065137343
or37c12_0,or37c12_0,530848.8794942456,0.0009296534781197473,0.02088441703137905
or12c02_0,or12c02_0,530844.3508115128,0.0008531020612029561,0.02173734092718984
