name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
STAGE,0.70797,0.36928,-0.0305907,1.44653,1.09841,0.186468,0.725475,1.47135
K_01,-1.11022e-16,0.5,-1,1,-0.0528652,0.4937,-1.04027,0.934536
K_02,-1.11022e-16,0.5,-1,1,-0.10573,0.4743,-1.05433,0.84287
K_03,-1.11022e-16,0.5,-1,1,-0.10573,0.4743,-1.05433,0.84287
K_04,-1.11022e-16,0.5,-1,1,-0.076082,0.454741,-0.985565,0.833401
K_05,-1.11022e-16,0.5,-1,1,-0.0464337,0.310751,-0.667935,0.575068
K_06,-1.11022e-16,0.5,-1,1,-0.0232169,0.460045,-0.943307,0.896873
K_07,-1.11022e-16,0.5,-1,1,-1.11022e-16,0.5,-1,1
K_08,-1.11022e-16,0.5,-1,1,-1.11022e-16,0.5,-1,1
K_09,-1.11022e-16,0.5,-1,1,-1.11022e-16,0.5,-1,1
K_10,-1.11022e-16,0.5,-1,1,-1.11022e-16,0.5,-1,1
