       parameter            eig1            eig2            eig3            eig4            eig5 identifiability     sqrt(ident)
 mult1           0.9907986       4.2845105E-03   6.8144626E-04   3.0472483E-05   6.6735910E-05   0.9958617       0.9979287    
 kr01c01          0.000000       2.1256611E-34   2.7281785E-31   3.1449056E-33   7.0550114E-31   9.8167646E-31   9.9079587E-16
 kr01c02          0.000000        0.000000       5.4976150E-31   1.7846546E-33   1.9630752E-32   5.7117715E-31   7.5576263E-16
 kr01c03          0.000000        0.000000        0.000000       5.7686057E-34   8.7368055E-34   1.4505563E-33   3.8086169E-17
 kr01c04          0.000000        0.000000        0.000000       5.6635761E-32   1.7880286E-31   2.3543932E-31   4.8522090E-16
 kr01c05          0.000000        0.000000        0.000000       9.7950369E-34   9.5110310E-32   9.6089814E-32   3.0998357E-16
 kr01c06          0.000000        0.000000        0.000000        0.000000       3.1709316E-34   3.1739119E-34   1.7815476E-17
 kr01c07          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr01c08          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr01c09          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr01c10          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr01c11          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr01c12          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr01c13          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr01c14          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr01c15          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr01c16         1.5165383E-13   1.7308792E-11   2.6571394E-10   2.3494850E-09   6.6700541E-12   2.6393294E-09   5.1374404E-05
 kr01c17         1.5165383E-13   1.7308792E-11   2.6571394E-10   2.3494850E-09   6.6700541E-12   2.6393294E-09   5.1374404E-05
 kr01c18         1.6897097E-12   3.4356742E-10   4.0401166E-10   6.1254690E-09   5.5757200E-10   7.4323098E-09   8.6210845E-05
 kr01c19         6.7711856E-12   1.7689857E-09   8.2040368E-11   4.0361130E-10   8.6106304E-12   2.2700192E-09   4.7644718E-05
 kr01c20         2.8560757E-12   7.8724983E-10   2.9941064E-10   1.8229535E-09   2.5084804E-09   5.4209504E-09   7.3627104E-05
 kr01c21         2.8550347E-12   7.9610692E-10   3.7592356E-10   2.5656549E-09   3.6555146E-09   7.3960550E-09   8.6000320E-05
 kr01c22         2.8538453E-12   8.0628997E-10   4.7401584E-10   3.5694811E-09   5.2300774E-09   1.0082718E-08   1.0041274E-04
