name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
MULT1,0,0.25,-0.5,0.5,0,0.0617668,-0.123534,0.123534
KR01C01,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C02,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C03,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C04,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C05,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C06,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C07,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C08,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C09,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C10,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C11,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C12,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C13,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C14,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C15,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C16,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C17,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C18,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C19,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C20,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C21,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C22,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C23,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C24,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C25,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C26,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C27,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR01C28,2.30103,0.5,1.30103,3.30103,2.30103,0.499999,1.30103,3.30103
KR01C29,2.30103,0.5,1.30103,3.30103,2.30103,0.499999,1.30103,3.30103
KR01C30,2.30103,0.5,1.30103,3.30103,2.30103,0.499998,1.30103,3.30103
KR01C31,2.30103,0.5,1.30103,3.30103,2.30103,0.499996,1.30104,3.30102
KR01C32,2.30103,0.5,1.30103,3.30103,2.30103,0.499993,1.30104,3.30102
KR01C33,2.30103,0.5,1.30103,3.30103,2.30103,0.49999,1.30105,3.30101
KR01C34,2.30103,0.5,1.30103,3.30103,2.30103,0.499987,1.30106,3.301
