 Inversion problem specifications ----->

   Number of parameters                                                 : 7
   Number of adjustable parameters                                      : 6
   Number of observations                                               : 1015
   Number of prior information equations                                : 0
   Number of observations plus prior information equations              : 1015
   Number of observations plus prior info. eqns. with non-zero weight   : 1015


 Cook's D ----->

 Observation_name       Stud_res        Leverage        var(h)/var(f)   Cooks_D         Hadis_stat
 oid:_1_poor            -7.4223749E-03   1.3923022E-08   1.3923022E-08   1.2784037E-13   3.4152452E-07
 oid:_12_poor            1.9414423E-02   5.3930193E-05   5.3933101E-05   3.3880759E-09   5.6174449E-05
 oid:_13_fair           -0.1710078       3.9517758E-04   3.9533381E-04   1.9268350E-06   5.6923578E-04
 oid:_16_fair           -0.2800526       5.5312831E-04   5.5343443E-04   7.2342622E-06   1.0198501E-03
 oid:_18_fair           -0.1067201       2.5359894E-04   2.5366327E-04   4.8150318E-07   3.2138964E-04
 oid:_23_fair            6.0104666E-02   2.4533759E-04   2.4539780E-04   1.4775283E-07   2.6687996E-04
 oid:_36_fair            0.1089014       6.1486703E-08   6.1486707E-08   1.2153377E-10   7.0584711E-05
 oid:_39_fair           -5.2567061E-02   4.5112455E-04   4.5132816E-04   2.0785887E-07   4.6776009E-04
 oid:_46_fair            4.3179074E-02   7.4260575E-05   7.4266091E-05   2.3077351E-08   8.5352924E-05
 oid:_50_fair           -9.8181850E-03   3.0465353E-04   3.0474637E-04   4.8960936E-09   3.0531959E-04
 oid:_52_fair           -0.2191732       4.8796623E-04   4.8820445E-04   3.9086359E-06   7.7386843E-04
 oid:_55_best             8.974249       2.7479796E-02   2.8256273E-02   0.3792799       0.5474733    
 oid:_56_best            3.8688347E-02   2.9699455E-02   3.0608511E-02   7.6357429E-06   3.0617412E-02
 oid:_57_poor            0.1169085       1.9740054E-05   1.9740444E-05   4.4967441E-08   1.0101572E-04
 oid:_58_best            0.6882408       1.8109245E-02   1.8443238E-02   1.4560180E-03   2.1261239E-02
 oid:_59_best           -0.4589736       7.1045577E-04   7.1096087E-04   2.4961450E-05   1.9638887E-03
 oid:_60_best            -1.280720       1.0303094E-03   1.0313721E-03   2.8195039E-04   1.0800921E-02
 oid:_62_best            -1.396845       1.1624280E-02   1.1760993E-02   3.8246266E-03   2.3385840E-02
 oid:_63_best           -0.1252487       7.3378554E-04   7.3432438E-04   1.9199187E-06   8.2760963E-04
 oid:_64_best            7.7815227E-03   1.9472168E-07   1.9472172E-07   1.9651347E-12   5.5479367E-07
 oid:_65_best            2.8233464E-02   7.0902641E-03   7.1408949E-03   9.4870181E-07   7.1456350E-03
 oid:_66_best           -0.7514176       1.3323341E-03   1.3341116E-03   1.2554622E-04   4.6935416E-03
 oid:_68_best           -0.1291750       2.8052166E-03   2.8131079E-03   7.8233379E-06   2.9123336E-03
 oid:_69_best           -5.4245985E-02   6.4190346E-03   6.4605048E-03   3.1684759E-06   6.4780031E-03
 oid:_70_best            -1.001868       6.9038641E-04   6.9086337E-04   1.1557440E-04   6.6655174E-03
 oid:_71_best           -0.8231389       2.6488599E-03   2.6558950E-03   2.9992031E-04   6.6876791E-03
 oid:_72_best            0.6951969       7.1080940E-04   7.1131501E-04   5.7296272E-05   3.5866182E-03
 oid:_74_best             1.183306       5.3244367E-04   5.3272731E-04   1.2432195E-04   8.8706324E-03
 oid:_75_best            0.1961712       1.1531096E-02   1.1665614E-02   7.4821557E-05   1.1894462E-02
 oid:_76_best             2.983347       3.7627934E-03   3.7770055E-03   5.6027853E-03   5.7172061E-02
 oid:_81_fair            0.1016337       1.4727511E-03   1.4749233E-03   2.5391813E-06   1.5363476E-03
 oid:_84_fair            0.1265441       3.8756200E-04   3.8771227E-04   1.0347657E-06   4.8293721E-04
 oid:_92_poor            3.5046783E-02   2.7284834E-07   2.7284842E-07   5.5855571E-11   7.5767838E-06
 oid:_94_fair            0.1160351       1.8238144E-04   1.8241471E-04   4.0934278E-07   2.6248002E-04
 oid:_96_poor           -2.6891249E-02   7.7631100E-06   7.7631703E-06   9.3564219E-10   1.2063308E-05
 oid:_102_fair           0.6693041       2.7854270E-04   2.7862031E-04   2.0802163E-05   2.9436366E-03
 oid:_103_best           6.6736737E-02   5.8277864E-03   5.8619485E-03   4.3513167E-06   5.8884330E-03
 oid:_104_best           0.2542680       2.9156822E-03   2.9242083E-03   3.1509436E-05   3.3086862E-03
 oid:_106_best            1.172539       7.2072312E-04   7.2124294E-04   1.6526662E-04   8.9079008E-03
 oid:_107_best          -0.8951976       8.2814778E-03   8.3506334E-03   1.1153366E-03   1.3119773E-02
 oid:_108_fair          -5.9024131E-02   1.4966266E-03   1.4988698E-03   8.7030580E-07   1.5195866E-03
 oid:_109_best          -0.1380192       6.7864494E-04   6.7910582E-04   2.1560820E-06   7.9238428E-04
 oid:_110_best          -2.2423232E-02   6.7936459E-03   6.8401153E-03   5.7320320E-07   6.8431052E-03
 oid:_112_best           0.5404677       1.2700005E-02   1.2863370E-02   6.2624322E-04   1.4600866E-02
 oid:_113_fair           0.2627350       1.4325413E-04   1.4327465E-04   1.6483669E-06   5.5378638E-04
 oid:_114_fair          -0.2076991       3.1047195E-04   3.1056838E-04   2.2329309E-06   5.6710416E-04
 oid:_117_best          -0.8971800       1.3571286E-03   1.3589729E-03   1.8231345E-04   6.1493023E-03
 oid:_118_best          -0.5854923       1.3187445E-02   1.3363678E-02   7.6351413E-04   1.5402822E-02
 oid:_119_fair          -7.2329284E-02   2.8619203E-05   2.8620022E-05   2.4954395E-08   5.9729353E-05
 oid:_121_best          -6.1687908E-02   1.1121054E-03   1.1133435E-03   7.0611921E-07   1.1359723E-03
 oid:_122_fair           7.5410355E-02   2.4934039E-04   2.4940257E-04   2.3638050E-07   2.8321875E-04
 oid:_123_fair          -0.2238086       1.3884289E-07   1.3884291E-07   1.1591132E-09   2.9801451E-04
 oid:_124_best           0.5750900       1.2333632E-03   1.2348863E-03   6.8068680E-05   3.2022013E-03
 oid:_125_best          -0.7089212       1.2637992E-02   1.2799755E-02   1.0721272E-03   1.5789745E-02
 oid:_127_best           -1.848969       5.7749393E-03   5.8084829E-03   3.3095625E-03   2.6206345E-02
 oid:_128_best           0.6196381       4.2120767E-03   4.2298934E-03   2.7067887E-04   6.5139184E-03
 oid:_129_best          -0.5771477       7.5428537E-04   7.5485475E-04   4.1906957E-05   2.7362785E-03
 oid:_131_fair           0.1319340       4.1272056E-04   4.1289097E-04   1.1978367E-06   5.1640067E-04
 oid:_132_fair          -7.3335746E-02   2.6904898E-04   2.6912138E-04   2.4122837E-07   3.0110251E-04
 oid:_133_best            1.009479       2.7179666E-03   2.7253740E-03   4.6288104E-04   8.7912324E-03
 oid:_134_best           -1.540285       7.6825843E-03   7.7420633E-03   3.0613108E-03   2.1882947E-02
 oid:_135_best           -1.512124       7.0008738E-03   7.0502316E-03   2.6867491E-03   2.0677645E-02
 oid:_136_fair          -0.3763189       4.9046769E-04   4.9070837E-04   1.1582020E-05   1.3329430E-03
 oid:_137_fair           3.2822771E-02   4.3261128E-05   4.3263000E-05   7.7681187E-09   4.9669355E-05
 oid:_138_best          -0.9713858       7.7747292E-03   7.8356492E-03   1.2322739E-03   1.3451904E-02
 oid:_139_best          -0.7116116       1.6856466E-03   1.6884928E-03   1.4250630E-04   4.7012479E-03
 oid:_140_best           0.6245138       4.5155358E-02   4.7290790E-02   3.0740396E-03   4.9610879E-02
 oid:_141_best          -0.5924754       7.6713262E-03   7.7306304E-03   4.5227683E-04   9.8187277E-03
 oid:_142_best            1.133205       1.0354383E-02   1.0462718E-02   2.2392899E-03   1.8108545E-02
 oid:_143_poor          -4.7203320E-02   1.7282661E-05   1.7282959E-05   6.4181807E-09   3.0532662E-05
 oid:_144_best          -0.7964895       7.0348339E-04   7.0397863E-04   7.4433487E-05   4.4787719E-03
 oid:_145_best           -1.829768       2.2243319E-02   2.2749340E-02   1.2694326E-02   4.2723269E-02
 oid:_146_best           0.3176947       2.8188398E-03   2.8268081E-03   4.7551601E-05   3.4270461E-03
 oid:_148_best            2.324964       1.4949262E-02   1.5176134E-02   1.3672328E-02   4.7490122E-02
